pwr,lat,cp,lut,ff,dsp,bram
0.25,965,5.429,2040,1978,0,1
0.323,765,8.067,6825,8585,0,6
0.415,1899,8.109,10300,19572,0,2
0.332,714,7.78,7138,8687,0,6
0.352,636,9.651,10989,21664,0,2
0.375,1002,8.791,10727,18916,0,2
0.321,2286,8.838,8797,17745,0,2
0.322,2052,8.135,8169,10451,0,5
0.251,1148,5.839,1947,1941,0,1
0.356,957,8.219,8526,10679,0,4
0.254,989,3.672,2131,2421,0,4
0.455,1977,8.235,11584,20660,0,2
0.398,1716,8.214,9121,20165,0,2
0.309,2271,7.989,8957,11166,0,4
0.334,748,7.537,7359,10134,0,6
0.415,1801,7.874,10101,16118,0,2
0.274,1588,5.54,2209,1867,0,1
0.325,2412,8.934,9218,17199,0,2
0.361,885,7.885,8296,10048,0,4
0.25,1182,4.26,2197,2323,0,3
0.256,989,3.75,2287,2408,0,4
0.254,989,4.481,2373,2377,0,4
0.254,989,4.311,2249,2422,0,4
0.253,2169,4.429,1313,1426,0,2
0.256,2194,4.937,1354,1256,0,1
0.251,2035,3.638,1114,1114,0,2
0.319,2065,7.21,6572,7407,0,5
0.25,921,4.206,2149,2076,0,4
0.251,2035,4.004,1113,1114,0,2
0.304,1925,7.869,6090,7345,0,5
0.251,2035,4.004,1113,1114,0,2
0.253,1985,4.414,1230,1126,0,1
0.254,2022,4.475,1152,1120,0,2
0.25,921,3.735,2150,2076,0,4
0.32,660,7.604,7164,8387,0,6
0.251,2035,4.0,1113,1114,0,2
0.249,1007,5.138,2341,2060,0,1
0.322,812,7.669,7425,9110,0,6
0.357,501,8.62,10282,16137,0,2
0.25,908,4.107,2176,2099,0,4
0.25,965,5.357,2043,1974,0,1
0.25,965,5.357,2043,1974,0,1
0.25,929,4.133,2377,2303,0,4
0.25,1015,5.141,2627,2033,0,1
0.25,965,5.357,2043,1974,0,1
0.32,660,7.604,7164,8387,0,6
0.337,714,8.514,8633,9611,0,4
0.25,921,3.771,2300,2286,0,4
0.251,2055,4.019,1156,1117,0,2
0.256,2302,3.488,1001,820,0,1
0.251,2035,3.975,1102,1114,0,2
0.326,960,7.891,7397,8557,0,6
0.255,2143,4.43,1309,1201,0,1
0.249,982,5.505,1857,1683,0,1
0.249,982,5.505,1857,1683,0,1
0.25,1101,4.903,1994,1822,0,1
0.324,644,7.865,7152,8370,0,6
0.249,982,5.505,1857,1683,0,1
0.25,921,4.221,2124,2076,0,4
0.25,921,3.983,2297,2286,0,4
0.248,931,4.331,1901,1765,0,1
0.248,931,4.331,1901,1765,0,1
0.294,1909,7.955,6083,7324,0,5
0.372,589,8.606,10089,16206,0,2
0.375,560,7.923,9976,16244,0,2
0.37,544,7.682,10030,16233,0,2
0.25,921,4.031,2274,2286,0,4
0.304,1925,7.869,6090,7345,0,5
0.251,920,3.812,2138,2294,0,4
0.251,2035,3.975,1102,1114,0,2
0.259,2142,3.988,1151,877,0,1
0.358,485,8.676,9750,16113,0,2
0.375,560,8.019,9975,16244,0,2
0.333,699,7.902,7054,8519,0,6
0.25,1101,4.903,1994,1822,0,1
0.313,622,7.77,7026,8323,0,6
0.298,2008,6.765,6600,8069,0,5
0.25,921,3.983,2297,2286,0,4
0.41,1722,7.631,9611,16909,0,2
0.248,933,4.678,2036,1662,0,1
0.25,921,4.206,2149,2076,0,4
0.256,2246,3.819,1061,810,0,1
0.254,2135,4.796,1257,1191,0,1
0.255,985,3.717,2298,2331,0,4
0.252,2061,3.612,1117,1113,0,2
0.25,921,3.735,2150,2076,0,4
0.253,2139,3.662,1137,1146,0,2
0.248,933,4.678,2036,1662,0,1
0.352,593,8.206,9736,15781,0,2
0.25,921,3.735,2150,2076,0,4
0.25,921,4.221,2124,2076,0,4
0.25,921,4.221,2124,2076,0,4
0.339,729,7.815,7096,8512,0,6
0.248,931,4.776,1865,1708,0,1
0.36,761,7.826,7388,10351,0,4
0.253,1250,3.889,1854,1956,0,2
0.247,2437,2.811,462,309,0,2
0.247,2597,2.638,458,369,0,2
0.309,751,7.997,5887,8119,0,6
0.317,780,7.579,6769,8459,0,7
