pwr,lat,cp,lut,ff,dsp,bram
0.333,1955,7.68,8501,10028,0,4
0.483,2045,8.051,14405,26462,0,2
0.456,1875,8.312,11730,22981,0,2
0.364,2020,8.095,8708,9788,0,4
0.369,837,7.989,9656,10728,0,4
0.436,561,7.941,12141,20659,0,2
0.265,2358,4.887,1782,1549,0,1
0.32,2224,7.831,8404,10753,0,5
0.254,1014,4.302,1809,1929,0,3
0.398,719,8.654,11990,20882,0,2
0.249,1014,4.235,1885,1990,0,3
0.249,1014,4.235,1885,1990,0,3
0.263,1014,4.013,1947,1967,0,3
0.263,1014,4.013,1947,1967,0,3
0.263,1014,4.013,1947,1967,0,3
0.263,1014,4.013,1947,1967,0,3
0.249,1014,4.235,1885,1990,0,3
0.249,1014,4.128,1982,2342,0,3
0.257,1336,3.975,1962,2020,0,3
0.372,1036,8.065,10813,20064,0,2
0.258,1336,3.978,1964,2018,0,3
0.363,877,7.697,10161,13537,0,4
0.249,1014,4.128,1982,2342,0,3
0.249,1014,4.128,1982,2342,0,3
0.373,702,8.107,9337,13899,0,4
0.263,1014,4.013,1947,1967,0,3
0.251,2592,3.232,848,650,0,1
0.25,2592,3.231,852,658,0,1
0.25,2592,3.231,852,658,0,1
0.39,1748,8.475,10651,21466,0,2
0.25,2592,3.231,852,658,0,1
0.25,2592,3.231,852,658,0,1
0.25,2592,3.231,852,658,0,1
0.495,1915,7.948,13443,25169,0,2
0.388,1744,8.13,10047,21547,0,2
0.489,2062,8.496,12783,25729,0,2
0.487,1929,7.847,12569,27017,0,2
0.38,1857,8.389,9494,19241,0,2
0.49,1929,8.398,12979,26495,0,2
0.248,2297,5.487,1303,1220,0,1
0.384,2108,7.583,10126,19252,0,2
0.251,2297,5.487,1302,1225,0,1
0.251,2592,3.211,838,655,0,1
0.251,2601,3.262,821,646,0,1
0.379,1690,8.118,9751,19338,0,2
0.493,2000,8.382,13828,25547,0,2
0.335,2090,8.821,9592,18718,0,2
0.475,2062,7.923,13980,23959,0,2
0.318,860,7.676,8140,8837,0,6
0.332,754,7.569,8059,9155,0,6
0.249,1014,4.235,1885,1990,0,3
0.328,874,7.67,7676,9897,0,6
0.328,874,7.67,7676,9897,0,6
0.328,874,7.67,7676,9897,0,6
0.328,874,7.67,7676,9897,0,6
0.249,1014,4.128,1982,2342,0,3
0.249,1014,4.128,1982,2342,0,3
0.346,712,7.713,8838,9131,0,6
0.344,875,7.789,7996,12388,0,5
0.249,1014,4.128,1982,2342,0,3
0.328,874,7.417,6728,9814,0,6
0.452,798,7.97,14470,25488,0,2
0.337,2331,8.548,9156,17762,0,2
0.372,1036,8.043,10880,19943,0,2
0.245,2736,3.441,579,455,0,3
0.347,751,8.481,7800,12081,0,5
0.244,984,4.17,1983,2082,0,3
0.366,827,7.751,7982,10127,0,5
0.25,960,3.969,2423,2462,0,4
0.251,960,3.676,2338,2424,0,4
0.251,960,3.676,2338,2424,0,4
0.251,960,3.676,2338,2424,0,4
0.251,960,3.676,2338,2424,0,4
0.251,960,3.676,2338,2424,0,4
0.259,982,5.325,2198,2235,0,0
0.341,673,8.125,8390,8626,0,6
0.341,673,8.125,8390,8626,0,6
0.251,960,3.674,2472,2717,0,4
0.249,960,4.101,2444,2436,0,4
0.251,960,3.676,2338,2424,0,4
0.364,830,8.065,9685,11740,0,4
0.251,960,3.676,2338,2424,0,4
0.251,960,3.674,2472,2717,0,4
0.256,2326,4.66,1468,1407,0,2
0.249,960,4.101,2444,2436,0,4
0.249,2342,4.636,1425,1374,0,2
0.387,692,7.969,9684,13509,0,3
0.254,2286,4.377,1541,1051,0,1
0.249,960,4.101,2444,2436,0,4
0.257,2485,3.935,1326,814,0,1
0.261,2469,3.884,1327,804,0,1
0.248,984,3.915,1922,1983,0,3
0.261,2620,3.278,1222,891,0,1
0.254,2482,3.203,948,628,0,1
0.254,2482,3.203,948,628,0,1
0.254,2482,3.203,948,628,0,1
0.254,2482,3.203,948,628,0,1
0.246,2560,3.383,551,378,0,3
0.379,690,7.808,9476,13344,0,4
0.25,960,4.068,2455,2418,0,4
