pwr,lat,cp,lut,ff,dsp,bram
0.252,2150,3.904,1021,788,0,1
0.251,1027,5.205,2312,2319,0,0
0.471,590,7.304,14233,24313,0,2
0.315,2230,7.667,7257,8518,0,5
0.451,936,8.827,14902,26788,0,2
0.257,2550,3.214,757,597,0,2
0.25,1260,4.151,2239,2353,0,4
0.346,951,7.955,8270,9896,0,6
0.249,1228,5.111,2063,1949,0,1
0.251,2324,4.334,1130,957,0,1
0.314,728,7.884,7740,10095,0,7
0.247,2053,4.323,1316,1371,0,1
0.252,954,4.305,2162,2262,0,4
0.248,2011,4.656,1306,1306,0,1
0.251,2136,4.847,1429,1283,0,1
0.389,1739,7.909,10198,21299,0,2
0.346,1968,7.204,7391,9070,0,4
0.241,982,5.032,1954,1823,0,1
0.249,963,5.591,1963,1747,0,1
0.253,2149,4.809,1422,1334,0,1
0.252,2328,3.983,1317,999,0,1
0.241,982,5.032,1954,1823,0,1
0.241,982,5.032,1954,1823,0,1
0.241,969,5.192,1980,1860,0,1
0.241,969,5.268,1982,1841,0,1
0.249,995,5.509,2047,1767,0,1
0.253,2150,3.903,1090,927,0,1
0.246,1217,5.431,1901,1878,0,1
0.241,982,5.416,1817,1783,0,1
0.243,981,5.425,2256,2201,0,1
0.247,968,5.683,2182,2205,0,1
0.254,2540,3.678,743,556,0,2
0.252,2085,4.071,1084,902,0,1
0.412,1859,7.261,10149,17696,0,2
0.253,2126,4.786,1371,1354,0,1
0.251,2594,2.853,562,432,0,2
0.263,2171,4.315,1246,1267,0,1
0.258,2337,3.491,772,676,0,1
0.246,2577,3.155,523,400,0,2
0.251,1294,5.845,2012,1583,0,1
0.249,1094,6.062,2255,2112,0,1
0.259,2461,3.727,769,705,0,1
0.251,1294,6.164,1995,1564,0,1
0.254,2135,4.456,1228,1221,0,1
0.25,2738,3.122,578,453,0,2
0.249,2055,3.983,1129,1154,0,2
0.414,1719,7.77,10190,18506,0,2
0.425,1757,8.387,12498,19624,0,2
0.252,2209,4.061,1210,987,0,1
0.253,2079,4.223,1200,859,0,1
0.249,2261,4.517,1055,770,0,1
0.251,2137,4.494,1054,798,0,1
0.256,2292,3.988,1332,916,0,1
0.267,2500,3.224,910,645,0,1
0.263,2488,4.536,1075,788,0,1
0.252,2168,3.957,1012,771,0,1
0.252,2196,3.87,1010,824,0,1
0.253,2248,3.949,1045,955,0,1
0.253,2150,3.975,1074,898,0,1
0.246,933,4.718,1947,2237,0,1
0.252,1182,4.969,1765,1641,0,1
0.331,1900,7.318,7109,9691,0,4
0.246,2011,4.177,1202,1149,0,1
0.252,2167,5.276,1305,1171,0,1
0.25,1029,4.692,2188,2147,0,0
0.253,2109,4.621,1255,1292,0,1
0.325,1966,7.406,7746,8773,0,4
0.252,2109,4.637,1270,1316,0,1
0.256,1043,5.295,2181,2361,0,1
0.252,2150,3.901,1003,815,0,1
0.254,987,4.581,2074,2143,0,0
0.457,685,9.157,13925,25556,0,3
0.246,974,5.233,1958,1882,0,1
0.241,982,5.073,1963,1806,0,1
0.256,1094,5.629,2571,2194,0,1
0.254,1080,6.318,2560,2522,0,1
0.244,981,5.371,2254,2260,0,1
0.252,915,5.756,2274,2245,0,1
0.246,936,5.579,2254,2173,0,1
0.252,915,5.812,2236,2224,0,1
0.382,792,7.874,9741,10661,0,4
0.248,929,4.609,1954,1926,0,1
0.248,929,4.686,1956,1903,0,1
0.246,982,5.34,1967,1848,0,1
0.252,1094,5.591,2580,2223,0,1
0.252,2208,4.26,1364,1046,0,1
0.253,1168,5.086,1730,1616,0,1
0.246,963,5.609,1943,1947,0,1
0.253,1182,4.964,1716,1599,0,1
0.251,1094,6.022,2295,2117,0,1
0.241,982,5.073,1963,1806,0,1
0.251,909,4.33,2148,2296,0,4
0.254,910,4.349,2248,2314,0,4
0.251,909,4.33,2148,2296,0,4
0.251,909,4.33,2148,2296,0,4
0.246,942,5.086,1954,1918,0,1
0.255,2068,3.875,1164,1141,0,2
0.253,2042,3.999,1168,1166,0,2
0.253,894,4.337,2144,2379,0,4
0.447,1969,7.844,11282,21035,0,2
