pwr,lat,cp,lut,ff,dsp,bram
0.442,1174,8.175,14300,25096,0,2
0.261,2476,3.872,881,769,0,1
0.247,931,4.678,1815,1742,0,1
0.371,254,8.514,9867,14727,0,2
0.385,231,7.511,11941,16938,0,2
0.33,2464,8.98,8894,17533,0,2
0.256,2280,4.708,1245,1213,0,2
0.328,2258,7.949,7611,11044,0,6
0.342,775,7.936,7575,8600,0,6
0.326,2176,9.089,8725,18365,0,2
0.247,931,4.678,1815,1742,0,1
0.25,2264,4.538,1261,1016,0,1
0.371,433,7.739,10410,19728,0,2
0.446,1844,7.804,10712,20925,0,2
0.261,2439,3.989,1319,1074,0,1
0.248,2235,4.209,1054,930,0,1
0.262,2398,4.508,1329,1097,0,1
0.251,2235,4.378,1078,975,0,1
0.246,931,4.664,1820,1747,0,1
0.249,931,4.853,1798,1884,0,1
0.241,2054,5.033,1241,1221,0,1
0.249,2209,3.951,1102,889,0,1
0.249,2209,3.951,1102,889,0,1
0.245,933,5.101,1902,2023,0,0
0.246,902,4.73,1825,1746,0,1
0.249,2272,4.072,1069,870,0,1
0.249,2108,4.221,1102,883,0,1
0.249,2180,4.016,1119,900,0,1
0.254,1011,5.079,2145,2440,0,0
0.246,902,4.73,1825,1746,0,1
0.246,902,4.73,1825,1746,0,1
0.254,2226,4.501,1183,1159,0,2
0.249,1030,5.637,1748,1676,0,1
0.413,1699,8.143,10058,15448,0,2
0.249,2259,4.155,1077,891,0,1
0.261,2379,3.84,885,655,0,1
0.248,2235,4.222,1090,773,0,1
0.249,1087,5.471,2245,2187,0,1
0.256,1144,6.344,2323,2073,0,1
0.239,982,5.523,1813,1658,0,1
0.239,982,5.491,1844,1676,0,1
0.248,2111,4.199,1135,827,0,1
0.238,982,5.495,1789,1737,0,1
0.238,982,5.495,1789,1737,0,1
0.259,1043,5.552,2272,2191,0,0
0.254,1031,6.504,2535,2453,0,1
0.247,949,5.285,2042,2100,0,1
0.457,499,8.118,13674,21857,0,2
0.252,1032,6.681,2415,2168,0,1
0.258,2218,5.063,1541,1400,0,1
0.257,2264,4.263,1379,1036,0,1
0.247,988,5.517,1736,1673,0,1
0.246,981,5.428,2247,2186,0,1
0.25,1328,6.331,2273,2021,0,1
0.255,1193,4.004,1867,1739,0,1
0.255,1193,4.004,1867,1739,0,1
0.249,1101,4.339,1651,1560,0,1
0.249,2442,3.551,833,640,0,1
0.249,1101,4.339,1651,1560,0,1
0.261,2379,3.84,885,655,0,1
0.251,2472,3.412,847,625,0,1
0.249,1131,4.241,1641,1553,0,1
0.4,664,8.383,12064,20840,0,2
0.246,931,4.667,1807,1742,0,1
0.249,1131,4.249,1626,1561,0,1
0.25,2342,3.552,863,603,0,1
0.252,1129,4.206,1705,1633,0,1
0.252,1129,4.229,1700,1612,0,1
0.247,929,4.351,1894,1828,0,1
0.247,2142,3.918,1048,822,0,1
0.247,2142,3.913,1059,825,0,1
0.252,1129,4.206,1705,1633,0,1
0.238,982,5.495,1789,1737,0,1
0.253,1129,4.648,1680,1695,0,1
0.245,981,5.884,2050,2072,0,1
0.247,929,4.351,1894,1828,0,1
0.238,982,5.499,1790,1732,0,1
0.246,1182,5.752,1554,1469,0,1
0.252,1129,4.206,1705,1633,0,1
0.442,2053,7.924,11447,22225,0,2
0.247,929,4.343,1904,1836,0,1
0.248,900,4.543,1908,1838,0,1
0.247,929,4.343,1904,1836,0,1
0.246,2142,3.907,1066,837,0,1
0.248,2155,3.912,1027,845,0,1
0.251,919,4.284,2044,2302,0,4
0.259,2252,4.175,1437,1051,0,1
0.246,929,4.59,1954,1816,0,1
0.475,2103,7.591,11561,20523,0,2
0.248,2111,4.199,1135,827,0,1
0.247,2142,3.918,1048,822,0,1
0.403,1929,8.347,9638,17097,0,2
0.247,918,4.701,1944,1753,0,1
0.242,950,5.651,1694,1720,0,1
0.256,1011,5.074,2426,2305,0,1
0.247,929,4.292,1894,1833,0,1
0.249,931,4.858,1781,1914,0,1
0.246,929,4.416,1866,1795,0,1
0.251,2435,3.141,748,636,0,1
0.248,2235,4.213,1085,783,0,1
