pwr,lat,cp,lut,ff,dsp,bram
0.421,1744,8.732,11437,16310,0,2
0.219,2246,5.371,1771,905,0,0
0.426,458,7.662,12646,19116,0,2
0.374,1009,7.554,7708,12507,0,5
0.364,2217,8.817,9995,21024,0,3
0.413,647,8.49,11050,20281,0,2
0.441,1002,9.414,16318,26162,0,4
0.359,2329,7.883,8648,10497,0,5
0.302,2299,6.625,1808,4233,0,6
0.357,2492,8.283,4478,2956,0,2
0.343,1278,8.144,8376,10120,0,7
0.329,1335,8.646,1824,5656,0,7
0.366,685,8.293,9154,13349,0,4
0.416,739,7.952,11542,16532,0,5
0.328,2391,7.59,10403,19332,0,2
0.365,2227,7.372,8538,10726,0,5
0.441,1898,7.994,10017,19941,0,8
0.331,2359,6.844,2302,4705,0,7
0.284,2538,6.56,7508,4696,0,1
0.491,1849,7.687,13620,25348,0,3
0.33,1984,7.526,7781,10589,0,5
0.437,772,9.493,17101,28049,0,4
0.479,2229,8.45,16260,24626,0,3
0.376,710,8.302,9621,19631,0,2
0.337,2167,7.275,7759,9726,0,5
0.463,605,8.527,16757,26899,0,2
0.368,402,8.487,11710,18347,0,2
0.415,1798,8.136,11428,20995,0,8
0.372,1209,5.561,5231,2902,0,1
0.356,662,7.716,10193,26152,0,7
0.398,1864,7.285,15331,25191,0,9
0.384,754,8.066,9547,13835,0,4
0.361,752,7.617,8170,18045,0,7
0.343,777,8.078,9298,10723,0,5
0.379,850,7.929,10418,12806,0,5
0.353,2332,6.851,3874,1600,0,1
0.408,887,8.351,11452,13185,0,5
0.247,2849,2.91,542,478,0,3
0.417,852,7.905,10911,13221,0,5
0.335,2216,7.096,9499,19098,0,2
0.33,2083,6.886,3074,5230,0,7
0.4,850,7.862,11487,16543,0,5
0.37,2086,8.209,9365,11235,0,5
0.329,1014,6.85,2760,5824,0,7
0.244,976,5.393,2172,1990,0,1
0.461,683,8.772,15152,24888,0,2
0.244,2131,4.902,1691,1515,0,3
0.387,987,7.71,9557,13050,0,6
0.382,1817,7.283,10953,19568,0,8
0.348,1786,7.346,7821,10077,0,5
0.377,1378,4.785,4980,2381,0,1
0.337,1216,8.993,4084,3730,0,2
0.444,855,7.635,13062,24381,0,8
0.321,1904,7.445,6666,7927,0,6
0.365,2492,8.277,4788,3122,0,2
0.356,2251,8.2,6794,2136,0,0
0.351,827,7.91,8234,12948,0,5
0.254,983,5.69,2551,2613,0,1
0.379,899,8.285,12364,19667,0,8
0.321,2043,7.522,7850,10256,0,5
0.41,863,8.09,11174,17587,0,5
0.471,759,8.67,14505,24198,0,2
0.426,851,6.98,15716,26267,0,9
0.383,850,7.858,10805,14715,0,4
0.382,1011,6.263,5554,2696,0,1
0.342,2454,9.164,9778,18301,0,2
0.395,769,8.356,10126,15445,0,2
0.337,2190,6.802,4921,4154,0,2
0.245,2141,5.996,4105,-60,0,0
0.411,1225,10.087,13358,20797,0,2
0.374,455,9.037,13396,21440,0,4
0.261,2538,4.128,870,663,0,1
0.342,858,7.927,8695,11158,0,5
0.46,1860,7.658,11884,20720,0,2
0.343,895,8.154,8922,10911,0,6
0.343,767,7.753,8029,11710,0,7
0.411,1857,8.542,13555,21827,0,3
0.258,1211,5.001,2529,2058,0,1
0.325,2234,7.295,6953,8834,0,6
0.494,1849,7.098,13441,25425,0,3
0.378,622,9.067,10235,16047,0,8
0.371,1251,8.327,10034,10354,0,4
0.328,1927,7.532,7605,10535,0,4
0.253,930,4.671,2229,2370,0,1
0.38,2125,7.716,9003,12838,0,5
0.334,2017,7.748,9103,11367,0,6
0.383,1036,6.09,5320,3014,0,2
0.308,2040,6.615,3837,4305,0,7
0.422,1961,9.459,12680,21823,0,7
0.255,2272,4.762,1085,709,0,1
0.325,937,8.156,3814,1926,0,0
0.485,1941,7.848,14260,24228,0,3
0.428,698,7.218,13859,24249,0,8
0.386,549,8.672,10729,17930,0,2
0.367,967,7.511,9022,10468,0,5
0.457,1034,8.428,15673,26769,0,2
0.37,188,8.634,10054,14647,0,2
0.362,1171,7.821,9950,11577,0,4
0.469,2106,7.717,15366,23491,0,2
0.346,2066,8.743,8805,19083,0,2
