pwr,lat,cp,lut,ff,dsp,bram
0.252,2150,3.904,1021,788,0,1
0.252,2150,3.904,1021,788,0,1
0.252,2150,3.905,1002,811,0,1
0.251,2098,4.219,1077,911,0,1
0.251,2098,4.219,1073,914,0,1
0.247,982,5.231,1974,1904,0,1
0.247,982,5.232,1924,1925,0,1
0.246,982,5.22,1851,1850,0,1
0.246,982,5.22,1851,1850,0,1
0.251,1094,6.156,2292,2210,0,1
0.251,2098,4.219,1073,914,0,1
0.252,2150,3.937,996,747,0,1
0.251,2098,4.268,1064,889,0,1
0.251,2085,4.578,1189,965,0,1
0.246,982,5.257,1846,1852,0,1
0.249,963,4.856,1996,2230,0,1
0.249,963,4.865,1984,2244,0,1
0.249,963,4.865,1984,2244,0,1
0.249,963,4.856,1996,2230,0,1
0.254,987,4.536,2096,2150,0,0
0.254,987,4.534,2104,2156,0,0
0.339,1870,7.315,7142,9314,0,4
0.25,965,4.55,2160,2096,0,0
0.414,1675,7.954,10143,18140,0,2
0.246,982,5.551,1928,1667,0,1
0.246,982,5.513,1898,1666,0,1
0.246,982,5.513,1898,1666,0,1
0.246,982,5.513,1898,1666,0,1
0.246,982,5.513,1898,1666,0,1
0.246,982,5.513,1898,1666,0,1
0.246,982,5.513,1898,1666,0,1
0.251,2137,4.534,1064,796,0,1
0.246,982,5.551,1928,1667,0,1
0.247,981,5.73,2202,2051,0,1
0.247,981,5.731,2180,2051,0,1
0.246,982,5.513,1898,1666,0,1
0.248,965,4.551,2150,2122,0,0
0.248,965,4.551,2150,2124,0,0
0.248,965,4.551,2150,2122,0,0
0.248,965,4.551,2150,2124,0,0
0.248,965,4.551,2150,2122,0,0
0.248,965,4.551,2150,2122,0,0
0.25,965,5.19,2013,1955,0,0
0.25,965,4.521,2141,2110,0,0
0.248,963,5.23,1999,2029,0,0
0.253,1064,6.253,2357,1976,0,1
0.242,982,5.519,1824,1693,0,1
0.247,969,5.414,1880,1869,0,1
0.247,969,5.673,1932,1676,0,1
0.247,969,5.673,1932,1676,0,1
0.242,969,5.64,1840,1784,0,1
0.243,969,5.722,1836,1692,0,1
0.244,969,5.655,1839,1673,0,1
0.241,969,5.766,1847,1775,0,1
0.247,937,5.416,1933,1846,0,1
0.241,937,5.871,1910,1830,0,1
0.247,969,5.516,1871,1844,0,1
0.241,937,5.796,1891,1772,0,1
0.24,969,5.818,1814,1781,0,1
0.241,937,5.796,1891,1772,0,1
0.241,937,5.871,1910,1830,0,1
0.241,937,5.955,1939,1782,0,1
0.241,937,5.871,1910,1830,0,1
0.241,937,5.796,1891,1772,0,1
0.241,937,5.688,1891,1831,0,1
0.241,937,5.796,1891,1772,0,1
0.241,937,5.871,1910,1830,0,1
0.241,937,5.688,1891,1831,0,1
0.242,950,5.493,1871,1783,0,1
0.242,937,5.146,1960,1820,0,1
0.242,937,5.146,1960,1820,0,1
0.241,969,5.113,1942,1814,0,1
0.242,950,4.942,1963,1809,0,1
0.242,937,5.146,1968,1815,0,1
0.242,937,5.146,1968,1815,0,1
0.241,969,5.09,1951,1824,0,1
0.242,937,5.146,1968,1815,0,1
0.241,969,5.09,1951,1824,0,1
0.242,937,5.146,1968,1815,0,1
0.388,470,7.938,9356,14594,0,2
0.388,470,7.938,9356,14594,0,2
0.242,937,5.146,1968,1815,0,1
0.242,937,5.146,1968,1815,0,1
0.241,969,5.09,1951,1824,0,1
0.242,937,5.146,1968,1815,0,1
0.244,963,5.335,1984,1716,0,1
0.242,937,5.146,1968,1815,0,1
0.245,963,5.305,1980,1708,0,1
0.242,937,5.146,1968,1815,0,1
0.242,937,5.169,1954,1805,0,1
0.242,937,5.144,1951,1826,0,1
0.242,937,5.146,1968,1815,0,1
0.242,937,5.146,1968,1815,0,1
0.246,936,5.457,2252,2173,0,1
0.242,937,5.146,1968,1815,0,1
0.242,937,5.146,1968,1815,0,1
0.242,937,5.146,1968,1815,0,1
0.242,937,5.146,1968,1815,0,1
0.242,937,5.146,1968,1815,0,1
0.242,937,5.146,1968,1815,0,1
