pwr,cp,lut,ff,dsp,bram
0.257,5.353,926,874,0,0
0.255,4.152,783,885,0,0
0.253,6.585,1557,1699,0,0
0.254,5.246,1107,1019,0,0
0.254,5.498,975,1688,0,0
0.261,6.496,770,1327,10,0
0.266,6.17,2015,3721,0,0
0.257,5.226,1500,3263,0,0
0.25,4.867,1004,1066,0,0
0.265,6.72,1222,1688,10,0
0.255,6.109,1488,2011,0,0
0.264,6.496,1155,1682,10,0
0.264,5.944,1957,3770,0,0
0.26,5.629,1534,2209,0,0
0.255,4.521,962,1739,0,0
0.265,6.496,1174,1326,10,0
0.257,5.327,1069,917,0,0
0.262,6.496,1035,1538,10,0
0.247,4.01,558,1155,0,0
0.255,3.727,929,1054,0,0
0.255,6.272,1479,1339,0,0
0.261,6.496,827,1392,10,0
0.251,3.517,625,743,0,0
0.253,5.833,1115,1180,0,0
0.263,6.496,1462,1572,10,0
0.251,3.942,628,745,0,0
0.248,5.569,446,572,0,0
0.261,6.496,796,1079,10,0
0.256,5.105,908,984,0,0
0.252,4.804,617,743,0,0
0.254,5.917,1258,2010,0,0
0.252,5.742,592,673,0,0
0.261,6.496,862,1516,10,0
0.254,5.917,1258,2010,0,0
0.252,5.352,605,687,0,0
0.261,6.496,1063,1531,10,0
0.251,3.895,625,743,0,0
0.25,4.207,854,1182,0,0
0.253,6.039,1113,1196,0,0
0.257,5.297,871,872,0,0
0.256,5.575,805,869,0,0
0.253,3.539,601,751,0,0
0.249,4.98,484,629,0,0
0.252,4.186,617,743,0,0
0.252,5.393,543,787,0,0
0.248,3.664,344,570,0,0
0.248,5.457,446,572,0,0
0.248,5.253,1020,1067,0,0
0.255,4.73,623,984,0,0
0.253,5.222,707,909,0,0
0.248,5.415,447,564,0,0
0.26,6.496,869,1376,10,0
0.248,5.457,446,572,0,0
0.247,4.686,818,1128,0,0
0.254,4.443,614,954,0,0
0.257,5.208,871,872,0,0
0.262,6.496,1002,1430,10,0
0.261,6.986,845,1128,10,0
0.248,3.989,335,563,0,0
0.253,6.087,756,918,0,0
0.25,5.542,747,1285,0,0
0.247,3.827,353,562,0,0
0.254,4.378,617,968,0,0
0.248,5.863,432,558,0,0
0.251,3.802,488,685,0,0
0.252,5.134,602,679,0,0
0.248,3.664,344,570,0,0
0.248,5.415,447,564,0,0
0.248,5.964,446,572,0,0
0.26,6.496,740,1134,10,0
0.26,6.496,671,1051,10,0
0.26,6.496,679,1043,10,0
0.26,6.496,776,1053,10,0
0.247,3.827,353,562,0,0
0.261,6.496,770,1037,10,0
0.261,6.647,766,1038,10,0
0.26,6.496,792,1072,10,0
0.25,5.148,382,703,0,0
0.252,5.15,559,720,0,0
0.27,6.496,800,987,10,0
0.26,6.496,744,1105,10,0
0.249,4.701,496,637,0,0
0.251,4.948,567,709,0,0
0.261,6.496,770,1037,10,0
0.248,4.111,366,578,0,0
0.249,4.829,466,622,0,0
0.249,6.081,465,580,0,0
0.249,4.76,495,637,0,0
0.249,3.729,438,635,0,0
0.25,3.777,458,698,0,0
0.248,3.782,339,562,0,0
0.248,6.242,463,565,0,0
0.252,4.553,599,708,0,0
0.252,4.251,624,749,0,0
0.249,5.421,739,1050,0,0
0.248,6.242,463,565,0,0
0.248,6.242,463,565,0,0
0.261,6.496,783,1044,10,0
0.251,4.829,599,700,0,0
0.248,6.242,463,565,0,0
