pwr,cp,lut,ff,dsp,bram
0.267,5.617,1661,1675,0,0
0.256,5.721,813,921,0,0
0.256,5.11,884,2017,0,0
0.251,6.136,1190,1538,0,0
0.257,5.048,830,848,0,0
0.259,6.69,847,1158,10,0
0.256,5.369,2002,3336,0,0
0.257,4.219,912,1061,0,0
0.251,4.647,1360,1910,0,0
0.253,5.919,815,1071,0,0
0.25,4.169,680,701,0,0
0.25,4.169,680,701,0,0
0.25,4.169,680,701,0,0
0.25,4.169,680,701,0,0
0.25,4.169,680,701,0,0
0.25,4.169,680,701,0,0
0.25,4.169,680,701,0,0
0.25,4.169,680,701,0,0
0.25,6.513,1055,1246,10,0
0.25,4.169,680,701,0,0
0.25,4.169,680,701,0,0
0.25,4.169,680,701,0,0
0.25,4.169,680,701,0,0
0.25,4.169,680,701,0,0
0.25,4.169,680,701,0,0
0.25,4.169,680,701,0,0
0.254,5.921,1287,1171,0,0
0.25,4.169,680,701,0,0
0.25,4.169,680,701,0,0
0.263,6.613,1048,1516,10,0
0.25,4.169,680,701,0,0
0.25,4.169,680,701,0,0
0.25,4.169,680,701,0,0
0.25,4.169,680,701,0,0
0.257,5.563,559,589,0,0
0.263,6.772,1579,1462,0,0
0.263,6.772,1579,1462,0,0
0.263,6.772,1579,1462,0,0
0.263,6.772,1579,1462,0,0
0.254,6.184,1460,2487,0,0
0.257,6.096,1613,1864,0,0
0.257,5.563,559,589,0,0
0.257,5.563,559,589,0,0
0.257,5.563,559,589,0,0
0.256,4.644,1404,1519,0,0
0.253,6.574,1341,1250,0,0
0.257,6.52,870,942,10,0
0.245,4.044,454,541,0,0
0.255,5.259,896,975,0,0
0.267,6.499,1250,2043,10,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.258,5.165,955,929,0,0
0.25,4.322,607,1017,0,0
0.266,6.534,1082,1277,10,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.262,5.408,956,1726,0,0
0.245,4.044,454,541,0,0
0.235,3.477,530,576,0,0
0.245,4.044,454,541,0,0
0.266,6.534,1082,1277,10,0
0.235,3.477,530,576,0,0
0.247,5.013,548,510,0,0
0.257,4.364,913,1636,0,0
0.254,4.551,659,801,0,0
0.265,6.504,772,995,10,0
0.248,4.711,699,560,0,0
0.256,5.388,616,686,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
0.235,3.477,530,576,0,0
