pwr,cp,lut,ff,dsp,bram
0.25,5.641,1583,1808,0,0
0.259,6.684,987,1645,10,0
0.25,4.991,1074,1717,0,0
0.267,5.452,1386,2789,0,0
0.257,4.788,1882,3146,0,0
0.276,6.329,1295,2427,10,0
0.253,6.453,1645,1524,0,0
0.245,5.901,786,1041,0,0
0.263,4.715,1148,1453,0,0
0.262,5.276,977,1173,0,0
0.265,6.293,1085,1238,0,0
0.254,4.519,892,1813,0,0
0.248,4.283,786,1658,0,0
0.259,4.365,1074,2129,0,0
0.251,4.577,977,1578,0,0
0.256,5.357,1038,1103,0,0
0.259,4.331,1058,2089,0,0
0.255,5.81,938,1253,0,0
0.252,5.229,662,989,0,0
0.263,6.684,826,906,11,0
0.26,6.456,1015,1563,9,0
0.249,4.382,847,1527,0,0
0.253,4.313,854,1569,0,0
0.251,4.115,604,1000,0,0
0.25,4.179,635,758,0,0
0.252,3.915,636,643,0,0
0.254,4.108,855,1029,0,0
0.259,4.9,768,588,0,0
0.252,3.915,636,643,0,0
0.255,3.993,853,920,0,0
0.255,4.324,1074,1860,0,0
0.255,3.702,905,1044,0,0
0.255,4.077,904,920,0,0
0.252,3.915,636,643,0,0
0.267,4.242,1392,1486,0,0
0.255,6.11,1016,957,0,0
0.254,4.473,809,1107,0,0
0.265,6.457,1033,1265,10,0
0.256,4.603,1290,1162,0,0
0.253,4.423,948,1111,0,0
0.25,4.675,550,508,0,0
0.25,4.675,550,508,0,0
0.255,4.467,624,587,0,0
0.269,6.494,934,1123,10,0
0.26,5.623,1665,1680,0,0
0.26,4.966,1053,802,0,0
0.253,3.619,563,590,0,0
0.256,4.644,1404,1519,0,0
0.262,6.842,1974,2172,0,0
0.257,4.48,1040,863,0,0
0.261,6.596,965,1102,10,0
0.256,4.219,1028,915,0,0
0.259,4.234,981,1524,0,0
0.26,4.681,878,811,0,0
0.257,4.943,1114,1921,0,0
0.257,6.232,769,909,0,0
0.26,6.596,873,1156,10,0
0.259,4.456,1090,1658,0,0
0.26,5.01,808,874,0,0
0.259,4.583,1100,1770,0,0
0.259,4.234,981,1524,0,0
0.264,5.905,1626,3577,0,0
0.252,3.907,632,925,0,0
0.252,4.591,690,586,0,0
0.253,4.342,756,1651,0,0
0.244,3.564,486,548,0,0
0.253,4.223,518,857,0,0
0.244,3.564,486,548,0,0
0.24,3.984,711,662,0,0
0.235,4.607,521,515,0,0
0.235,4.607,521,515,0,0
0.24,3.984,711,662,0,0
0.24,3.984,711,662,0,0
0.235,4.607,521,515,0,0
0.235,4.607,521,515,0,0
0.235,4.607,521,515,0,0
0.235,4.607,521,515,0,0
0.252,4.177,630,960,0,0
0.248,3.916,440,780,0,0
0.242,4.217,539,619,0,0
0.242,4.217,539,619,0,0
0.252,4.458,793,880,0,0
0.256,3.981,647,744,0,0
0.251,4.125,727,853,0,0
0.253,4.475,600,850,0,0
0.253,4.791,748,1204,0,0
0.257,3.987,550,793,0,0
0.244,4.333,540,508,0,0
0.255,5.19,1113,2033,0,0
0.252,3.895,781,783,0,0
0.242,3.522,414,590,0,0
0.26,4.274,800,801,0,0
0.247,4.029,642,932,0,0
0.246,3.906,525,882,0,0
0.256,4.341,766,1191,0,0
0.258,4.259,921,939,0,0
0.252,4.082,819,1204,0,0
0.255,4.061,663,777,0,0
0.242,3.522,414,590,0,0
0.235,4.607,521,515,0,0
