pwr,cp,lut,ff,dsp,bram
0.252,5.565,667,548,0,0
0.262,6.301,856,1366,10,0
0.251,4.259,537,842,0,0
0.26,4.502,1145,1803,0,0
0.252,3.695,400,549,0,0
0.26,5.412,1807,2455,0,0
0.26,5.97,2035,2820,0,0
0.255,4.831,1521,1828,0,0
0.252,5.63,875,949,0,0
0.255,4.924,1412,3145,0,0
0.252,3.695,400,549,0,0
0.245,4.178,465,556,0,0
0.255,4.166,332,568,0,0
0.252,3.695,400,549,0,0
0.255,4.166,332,568,0,0
0.262,4.562,716,868,0,0
0.255,4.166,332,568,0,0
0.24,3.738,446,571,0,0
0.253,4.962,744,702,0,0
0.252,3.695,400,549,0,0
0.242,4.158,580,571,0,0
0.24,3.738,446,571,0,0
0.252,3.695,400,549,0,0
0.252,3.695,400,549,0,0
0.256,4.655,729,891,0,0
0.252,3.695,400,549,0,0
0.255,4.166,332,568,0,0
0.252,3.695,400,549,0,0
0.24,3.738,446,571,0,0
0.255,4.603,530,651,0,0
0.244,3.983,499,563,0,0
0.249,3.644,428,560,0,0
0.252,4.161,382,607,0,0
0.246,3.327,449,627,0,0
0.254,3.947,369,615,0,0
0.258,6.523,671,1159,10,0
0.246,3.327,449,627,0,0
0.256,4.914,625,819,0,0
0.251,4.076,422,524,0,0
0.257,4.497,634,963,0,0
0.255,6.446,850,1269,10,0
0.253,3.704,644,782,0,0
0.256,5.173,411,710,0,0
0.257,6.633,839,908,10,0
0.253,3.736,698,770,0,0
0.253,5.461,467,598,0,0
0.252,4.753,639,984,0,0
0.259,4.998,582,920,0,0
0.264,6.447,730,1417,9,0
0.258,4.913,677,537,0,0
0.252,3.911,639,769,0,0
0.248,4.332,318,546,0,0
0.249,3.834,309,605,0,0
0.242,3.522,414,590,0,0
0.249,3.834,309,605,0,0
0.246,3.327,449,627,0,0
0.249,3.834,309,605,0,0
0.249,3.834,309,605,0,0
0.246,3.327,449,627,0,0
0.259,4.998,582,920,0,0
0.254,3.947,369,615,0,0
0.255,4.166,332,568,0,0
0.246,3.327,449,627,0,0
0.253,3.792,357,533,0,0
0.254,3.367,380,534,0,0
0.251,5.081,796,1740,0,0
0.256,5.048,447,638,0,0
0.254,4.667,480,579,0,0
0.261,6.49,1085,1515,10,0
0.251,4.067,946,1332,0,0
0.254,3.899,793,1368,0,0
0.258,4.513,1069,1702,0,0
0.245,3.855,448,566,0,0
0.242,3.808,394,565,0,0
0.256,3.981,647,744,0,0
0.262,6.764,691,1760,11,0
0.249,4.139,546,582,0,0
0.245,4.192,594,1281,0,0
0.253,3.792,357,533,0,0
0.25,3.687,466,575,0,0
0.255,4.166,332,568,0,0
0.242,3.808,394,565,0,0
0.257,6.413,732,1093,10,0
0.253,5.018,512,623,0,0
0.251,4.508,564,661,0,0
0.256,3.936,620,777,0,0
0.253,4.632,494,1049,0,0
0.255,4.817,569,591,0,0
0.251,4.179,497,1085,0,0
0.25,3.687,466,575,0,0
0.256,4.961,486,625,0,0
0.249,4.986,408,633,0,0
0.253,3.939,369,582,0,0
0.255,4.736,527,552,0,0
0.252,4.274,625,927,0,0
0.246,4.09,697,970,0,0
0.252,3.695,400,549,0,0
0.244,4.208,663,856,0,0
0.252,4.274,625,927,0,0
0.262,4.437,476,541,0,0
