pwr,cp,lut,ff,dsp,bram
0.27,6.425,922,953,10,0
0.269,6.324,851,975,10,0
0.269,6.324,851,975,10,0
0.268,6.744,786,950,10,0
0.268,6.744,786,950,10,0
0.268,6.744,786,950,10,0
0.269,6.324,851,975,10,0
0.269,6.324,851,975,10,0
0.264,5.451,1069,872,0,0
0.264,5.451,1069,872,0,0
0.252,3.929,872,841,0,0
0.261,5.34,1138,910,0,0
0.258,4.077,1012,883,0,0
0.255,5.555,1302,1863,0,0
0.255,5.555,1302,1863,0,0
0.26,5.4,1358,2177,0,0
0.255,5.555,1302,1863,0,0
0.252,4.638,1479,1962,0,0
0.252,4.638,1479,1962,0,0
0.261,4.407,1255,1827,0,0
0.258,4.938,1293,1746,0,0
0.264,5.232,1124,887,0,0
0.261,6.044,1135,857,0,0
0.261,6.044,1135,857,0,0
0.261,6.044,1135,857,0,0
0.261,6.044,1135,857,0,0
0.26,5.678,1137,936,0,0
0.264,5.451,1069,872,0,0
0.261,6.044,1135,857,0,0
0.264,5.451,1069,872,0,0
0.264,5.451,1069,872,0,0
0.261,5.34,1138,910,0,0
0.261,5.34,1138,910,0,0
0.261,5.34,1138,910,0,0
0.261,5.34,1138,910,0,0
0.261,5.34,1138,910,0,0
0.262,5.365,1127,958,0,0
0.262,5.365,1127,958,0,0
0.262,5.365,1127,958,0,0
0.259,5.348,990,910,0,0
0.258,5.34,1016,831,0,0
0.256,4.398,1295,1416,0,0
0.264,4.346,1571,1422,0,0
0.258,4.061,1566,1370,0,0
0.258,4.061,1566,1370,0,0
0.258,4.061,1566,1370,0,0
0.258,4.061,1566,1370,0,0
0.258,4.061,1566,1370,0,0
0.252,4.021,1354,1340,0,0
0.252,4.021,1354,1340,0,0
0.252,4.021,1354,1340,0,0
0.252,4.021,1354,1340,0,0
0.252,4.021,1354,1340,0,0
0.251,4.105,1364,1360,0,0
0.267,5.664,1703,1649,0,0
0.252,4.021,1354,1340,0,0
0.252,4.021,1354,1340,0,0
0.256,4.117,1218,1306,0,0
0.252,4.021,1354,1340,0,0
0.252,4.021,1354,1340,0,0
0.267,3.821,1332,1420,0,0
0.267,3.821,1332,1420,0,0
0.258,4.061,1566,1370,0,0
0.264,4.346,1571,1422,0,0
0.267,3.821,1332,1420,0,0
0.267,3.821,1332,1420,0,0
0.267,3.821,1332,1420,0,0
0.267,3.821,1332,1420,0,0
0.267,3.821,1332,1420,0,0
0.255,4.051,808,698,0,0
0.253,3.678,774,797,0,0
0.253,3.678,774,797,0,0
0.251,3.858,1070,1387,0,0
0.251,3.858,1070,1387,0,0
0.251,3.858,1070,1387,0,0
0.25,4.017,1124,1371,0,0
0.25,4.017,1124,1371,0,0
0.254,3.596,692,804,0,0
0.254,3.596,692,804,0,0
0.254,3.596,692,804,0,0
0.257,4.997,921,882,0,0
0.254,3.596,692,804,0,0
0.257,4.997,921,882,0,0
0.254,3.596,692,804,0,0
0.254,3.596,692,804,0,0
0.257,4.997,921,882,0,0
0.25,4.017,1124,1371,0,0
0.257,4.997,921,882,0,0
0.257,4.997,921,882,0,0
0.249,4.138,1087,1421,0,0
0.249,4.138,1087,1421,0,0
0.257,4.997,921,882,0,0
0.25,4.017,1124,1371,0,0
0.254,3.596,692,804,0,0
0.254,3.596,692,804,0,0
0.257,4.997,921,882,0,0
0.254,3.596,692,804,0,0
0.254,3.596,692,804,0,0
0.254,3.596,692,804,0,0
0.254,3.596,692,804,0,0
