pwr,cp,lut,ff,dsp,bram
0.361,8.522,3661,3627,48,0
0.353,8.737,3799,3410,48,0
0.346,8.768,3351,3888,48,0
0.387,9.148,4676,4261,54,0
0.376,8.521,3791,4027,48,0
0.376,8.745,7343,3069,28,0
0.336,8.623,10615,8310,28,0
0.269,8.586,8498,5826,27,0
0.3,8.208,4300,3621,48,0
0.344,8.422,5510,4828,48,0
0.418,9.633,8583,6072,48,0
0.402,9.1,9676,4460,25,0
0.306,8.862,8957,7719,48,0
0.415,8.923,9698,5626,25,0
0.479,8.757,8652,3452,28,0
0.283,9.201,7945,3299,28,0
0.347,8.933,8006,3343,25,0
0.293,8.026,5984,3522,17,0
0.347,8.821,2700,2938,48,0
0.455,8.86,8215,3617,25,0
0.356,8.31,4178,4130,48,0
0.306,8.438,4297,3756,48,0
0.3,8.629,4219,3362,48,0
0.304,7.988,7422,4222,28,0
0.301,8.155,3741,3485,48,0
0.353,8.64,3329,3580,48,0
0.304,8.75,7055,5112,48,0
0.365,8.625,3180,3196,48,0
0.347,8.65,8684,4001,28,0
0.357,8.531,3272,3566,48,0
0.267,8.684,5350,4481,48,0
0.305,8.217,4372,3876,48,0
0.317,9.026,11951,7408,48,0
0.386,9.908,10424,5156,28,0
0.304,8.068,3420,3176,48,0
0.353,8.679,3846,3827,48,0
0.298,8.058,2409,2647,48,0
0.329,8.302,2418,2724,48,0
0.333,8.005,2401,2717,48,0
0.346,8.079,2967,2983,48,0
0.333,8.005,2401,2717,48,0
0.283,7.58,3342,3079,27,0
0.336,8.813,3381,3288,48,0
0.305,8.255,4975,3703,48,0
0.346,8.279,2970,2976,48,0
0.33,8.572,3397,3295,48,0
0.336,8.813,3381,3288,48,0
0.283,7.58,3342,3079,27,0
0.331,8.062,2811,3029,48,0
0.284,7.852,3376,3016,27,0
0.306,7.701,4265,3568,48,0
0.308,7.852,4242,3569,48,0
0.306,7.701,4265,3568,48,0
0.325,8.256,6763,5346,48,0
0.308,8.422,4245,3568,48,0
0.325,8.305,6729,5217,48,0
0.283,7.58,3342,3079,27,0
0.278,7.791,3219,2759,27,0
0.281,7.818,2662,2626,27,0
0.299,8.018,4218,3307,48,0
0.28,7.355,4965,3994,27,0
0.281,7.818,2662,2626,27,0
0.278,7.791,3219,2759,27,0
0.286,8.153,5273,2806,17,0
0.306,7.701,4265,3568,48,0
0.26,7.881,3735,3645,27,0
0.28,7.816,4508,3975,27,0
0.284,7.939,3916,3153,27,0
0.347,8.168,3959,4074,48,0
0.305,8.255,4975,3703,48,0
0.331,8.062,2811,3029,48,0
0.281,7.818,2662,2626,27,0
0.281,7.818,2662,2626,27,0
0.336,8.813,3381,3288,48,0
0.331,8.062,2811,3029,48,0
0.293,7.95,5923,3265,17,0
0.284,7.805,3069,2708,27,0
0.303,8.14,7420,3912,28,0
0.283,7.58,3342,3079,27,0
0.281,7.818,2662,2626,27,0
0.266,8.451,4994,3886,48,0
0.281,7.818,2662,2626,27,0
0.283,7.58,3342,3079,27,0
0.281,7.818,2662,2626,27,0
0.336,8.104,2432,2898,48,0
0.281,7.818,2662,2626,27,0
0.283,7.58,3342,3079,27,0
0.266,8.451,4994,3886,48,0
0.353,9.127,4163,4224,48,0
0.331,8.062,2811,3029,48,0
0.281,7.818,2662,2626,27,0
0.283,7.58,3342,3079,27,0
0.281,7.818,2662,2626,27,0
0.306,7.701,4265,3568,48,0
0.304,8.461,3596,3314,48,0
0.331,8.512,3126,3352,48,0
0.281,7.818,2662,2626,27,0
0.283,7.58,3342,3079,27,0
0.339,8.414,3279,3560,48,0
0.299,8.092,5514,3375,28,0
