pwr,cp,lut,ff,dsp,bram
0.3,8.603,10297,4860,25,0
0.377,8.533,3185,3513,48,0
0.345,8.69,3045,3031,48,0
0.35,8.521,3997,3863,48,0
0.275,8.475,6769,3872,17,0
0.444,8.823,8879,5093,28,0
0.401,8.816,8555,3872,28,0
0.348,8.375,3318,3234,48,0
0.37,8.667,4397,4599,48,0
0.439,9.192,10364,4790,25,0
0.347,8.435,3169,3180,48,0
0.316,8.604,5699,4896,48,0
0.287,8.456,7320,4311,17,0
0.347,8.435,3169,3180,48,0
0.287,8.489,7056,4315,17,0
0.347,8.435,3169,3180,48,0
0.271,8.253,4017,3538,27,0
0.347,8.238,3251,3140,48,0
0.347,8.238,3251,3140,48,0
0.347,8.238,3251,3140,48,0
0.389,8.498,4169,3795,48,0
0.275,8.328,5271,4737,27,0
0.295,8.357,4525,4717,48,0
0.347,8.238,3251,3140,48,0
0.271,8.253,4017,3538,27,0
0.299,8.354,7111,7519,48,0
0.347,8.238,3251,3140,48,0
0.271,8.253,4017,3538,27,0
0.285,8.677,12409,7333,17,0
0.393,9.303,9222,4339,25,0
0.339,8.241,2981,2866,48,0
0.339,8.241,2981,2866,48,0
0.372,8.592,4007,3616,48,0
0.413,8.854,9748,4185,34,0
0.372,8.592,4007,3616,48,0
0.358,8.406,3581,3669,54,0
0.422,8.893,8163,3465,28,0
0.341,8.126,3104,3120,54,0
0.341,8.126,3104,3120,54,0
0.341,8.126,3104,3120,54,0
0.341,8.126,3104,3120,54,0
0.341,8.126,3104,3120,54,0
0.341,8.126,3104,3120,54,0
0.357,8.437,3060,3175,48,0
0.459,8.922,9058,3911,34,0
0.332,8.165,2934,2954,48,0
0.316,8.745,13870,7405,28,0
0.306,8.487,5562,5020,48,0
0.29,8.888,8615,4877,28,0
0.281,8.076,4507,3695,27,0
0.281,8.076,4507,3695,27,0
0.332,8.165,2934,2954,48,0
0.28,8.48,4318,3633,27,0
0.34,8.365,3055,3275,48,0
0.28,8.48,4318,3633,27,0
0.34,8.365,3055,3275,48,0
0.351,8.402,3096,3275,48,0
0.358,8.302,4088,4024,54,0
0.292,8.052,8388,6441,27,0
0.291,8.16,10041,7567,27,0
0.292,8.68,7506,4344,28,0
0.271,8.253,4017,3538,27,0
0.27,7.978,4484,3696,27,0
0.36,8.908,4267,4033,48,0
0.4,8.851,7774,3460,25,0
0.314,8.041,6497,5131,48,0
0.326,8.715,4798,4625,48,0
0.288,7.974,3287,3409,27,0
0.287,8.168,9578,5559,17,0
0.433,8.653,8741,4231,25,0
0.291,8.312,3678,3640,27,0
0.34,8.404,2838,2963,48,0
0.302,8.64,11050,5000,25,0
0.363,8.479,2942,3281,48,0
0.291,8.312,3678,3640,27,0
0.295,8.75,7915,3534,25,0
0.347,8.691,3364,3630,48,0
0.315,8.307,4518,3935,48,0
0.291,8.312,3678,3640,27,0
0.416,8.734,7020,2996,25,0
0.328,8.106,7692,5753,48,0
0.288,7.974,3287,3409,27,0
0.288,7.974,3287,3409,27,0
0.306,8.447,5607,3635,28,0
0.344,8.56,3506,3473,48,0
0.389,8.498,4169,3795,48,0
0.29,8.143,3310,3439,27,0
0.389,8.72,8133,3292,25,0
0.295,7.903,3246,3285,27,0
0.295,7.903,3246,3285,27,0
0.274,8.019,5230,4130,27,0
0.274,8.019,5230,4130,27,0
0.295,7.903,3246,3285,27,0
0.274,8.019,5230,4130,27,0
0.295,7.903,3246,3285,27,0
0.28,8.224,3349,3493,27,0
0.331,8.234,2933,2945,48,0
0.28,8.224,3349,3493,27,0
0.331,8.344,4355,3752,48,0
0.28,8.224,3349,3493,27,0
