pwr,cp,lut,ff,dsp,bram
0.356,8.637,4209,3757,48,0
0.405,8.925,5469,5088,54,0
0.353,8.377,3647,3689,54,0
0.307,8.248,3564,3229,48,0
0.311,8.275,3946,3731,48,0
0.286,7.873,2247,2595,27,0
0.414,8.848,8171,3920,25,0
0.282,8.491,8471,4081,17,0
0.297,8.214,3094,3605,48,0
0.362,8.409,3557,3569,48,0
0.401,8.709,7977,3794,28,0
0.295,8.066,4753,2783,17,0
0.291,8.184,8654,6669,27,0
0.421,9.26,11406,6209,25,0
0.391,8.542,7462,3125,25,0
0.314,8.259,6005,6000,48,0
0.293,8.209,6372,2934,17,0
0.296,8.403,8732,5563,17,0
0.286,7.873,2247,2595,27,0
0.287,7.815,2348,2638,27,0
0.286,7.873,2247,2595,27,0
0.343,8.09,3491,3706,54,0
0.286,8.115,3027,2849,27,0
0.287,7.829,2429,2830,27,0
0.286,7.873,2247,2595,27,0
0.287,7.815,2348,2638,27,0
0.348,7.942,2753,2854,48,0
0.353,8.456,3210,3213,48,0
0.286,7.873,2247,2595,27,0
0.385,8.598,3693,3497,48,0
0.311,8.318,3656,3349,48,0
0.42,8.503,7417,3471,28,0
0.304,8.724,6191,5158,48,0
0.364,8.543,4019,3768,48,0
0.352,8.61,3704,3818,48,0
0.355,8.516,4044,3840,48,0
0.348,8.579,2954,3077,48,0
0.294,8.063,2610,2939,27,0
0.292,7.852,2398,3112,27,0
0.285,7.792,2248,2598,27,0
0.313,7.97,2382,2579,48,0
0.349,8.058,3034,2767,48,0
0.37,8.447,2754,3088,48,0
0.405,9.016,10562,4931,25,0
0.303,8.337,3194,3650,48,0
0.27,8.161,3371,3066,27,0
0.285,7.792,2248,2598,27,0
0.318,8.402,4044,4056,48,0
0.285,7.792,2248,2598,27,0
0.327,8.431,3710,3556,48,0
0.394,8.861,7504,3745,28,0
0.287,7.962,3147,2579,27,0
0.285,7.892,2787,2744,27,0
0.293,7.801,4139,2729,27,0
0.271,8.223,3420,3056,27,0
0.352,8.767,4658,4407,54,0
0.313,8.023,6051,2863,17,0
0.277,8.358,6265,3213,17,0
0.277,8.358,6265,3213,17,0
0.29,8.674,5846,3227,17,0
0.291,8.691,6167,3196,17,0
0.289,8.281,3503,3448,27,0
0.287,8.317,5788,5412,27,0
0.286,8.326,4779,3414,27,0
0.293,7.867,2753,2748,27,0
0.298,7.978,5181,2999,17,0
0.29,8.694,5946,3534,17,0
0.29,8.084,2218,2761,27,0
0.274,8.594,3424,3184,27,0
0.275,8.408,7124,3670,17,0
0.293,7.885,2586,2786,27,0
0.395,8.747,5369,5055,54,0
0.389,8.856,7751,3637,28,0
0.349,8.509,4265,4142,48,0
0.285,8.305,7441,4011,17,0
0.363,8.154,3645,3918,48,0
0.328,9.064,5810,5123,54,0
0.388,9.349,10162,5024,34,0
0.275,8.132,4625,3674,27,0
0.29,7.857,4227,3028,27,0
0.291,8.341,5645,3162,28,0
0.362,8.576,3570,3501,48,0
0.282,8.629,8670,5798,17,0
0.375,8.417,3075,3235,48,0
0.272,8.387,4848,3898,27,0
0.363,8.838,4879,4556,48,0
0.36,8.63,2893,3406,48,0
0.336,8.252,2736,2918,48,0
0.319,8.12,2846,3190,48,0
0.36,8.163,2869,3030,48,0
0.286,7.873,2247,2595,27,0
0.357,8.179,3710,3660,54,0
0.292,8.143,2948,2813,27,0
0.427,8.694,7968,3714,25,0
0.347,8.258,2562,2751,48,0
0.302,8.157,5550,5945,48,0
0.296,8.532,5946,3772,28,0
0.298,7.923,2633,2806,27,0
0.276,8.18,5577,4556,27,0
0.306,8.863,9186,4931,28,0
