pwr,cp,lut,ff,dsp,bram
0.439,9.161,10054,4878,25,0
0.331,8.255,2738,2901,48,0
0.394,8.831,7637,3343,25,0
0.314,8.513,7435,5320,28,0
0.343,8.537,2975,3040,48,0
0.318,8.682,9705,6913,48,0
0.322,8.065,4844,4954,48,0
0.336,8.742,3822,3767,48,0
0.413,8.769,7811,3839,28,0
0.388,8.854,7769,3599,28,0
0.327,7.933,2749,2888,48,0
0.313,8.574,4431,4381,48,0
0.339,8.402,2686,2920,48,0
0.271,8.424,3366,3396,27,0
0.281,8.562,6716,3466,17,0
0.335,8.219,2812,2858,48,0
0.274,8.493,3326,3336,27,0
0.341,8.178,2740,2986,48,0
0.386,8.651,7463,3232,28,0
0.329,8.731,3500,3432,48,0
0.339,8.529,3322,3375,48,0
0.289,8.083,8209,6604,27,0
0.271,8.424,3366,3396,27,0
0.294,8.452,8497,5558,17,0
0.283,8.459,3370,3463,27,0
0.272,8.263,3466,3560,27,0
0.339,8.11,3686,3050,54,0
0.356,8.326,4299,4040,54,0
0.273,8.078,4189,3529,27,0
0.374,8.638,3504,3508,48,0
0.274,8.283,3416,3116,27,0
0.274,8.283,3416,3116,27,0
0.344,8.2,3596,3691,54,0
0.329,8.747,4643,4194,48,0
0.285,7.934,2209,2691,27,0
0.298,9.064,9117,4815,28,0
0.305,8.568,9752,4879,28,0
0.324,8.563,11501,8051,48,0
0.293,8.664,7653,3550,25,0
0.318,8.785,4883,4287,48,0
0.288,8.58,7350,3489,28,0
0.283,8.237,3907,3954,27,0
0.295,8.519,7244,4192,28,0
0.358,9.227,9015,4442,28,0
0.3,8.846,9184,5078,28,0
0.273,8.473,6776,4847,27,0
0.32,7.944,5715,3090,17,0
0.309,8.312,8586,5094,28,0
0.287,7.979,2930,2656,27,0
0.289,7.959,5374,4235,27,0
0.295,8.341,2506,3059,48,0
0.331,8.524,4936,4561,48,0
0.289,8.154,5020,4538,27,0
0.282,8.271,9933,6469,17,0
0.291,8.07,6615,4730,17,0
0.301,8.161,5853,4511,17,0
0.29,8.606,6075,3694,17,0
0.333,8.004,2787,2875,48,0
0.383,8.865,8927,4160,28,0
0.37,8.93,8451,3722,28,0
0.282,8.029,2680,2639,27,0
0.286,7.979,2624,2805,27,0
0.347,8.303,2827,2946,48,0
0.341,8.521,3694,3569,48,0
0.341,8.27,2790,2906,48,0
0.391,8.675,8963,4028,34,0
0.338,8.404,3857,3761,48,0
0.331,8.255,2738,2901,48,0
0.274,8.595,4327,3834,27,0
0.385,9.069,8988,7089,54,0
0.273,8.428,3332,3190,27,0
0.288,8.278,7183,6530,27,0
0.383,8.267,3934,3937,48,0
0.362,8.298,2990,3196,48,0
0.374,8.626,3461,3503,48,0
0.442,8.803,8969,4375,28,0
0.382,8.532,7251,3155,25,0
0.308,8.958,7176,4250,28,0
0.305,8.751,8050,3927,28,0
0.286,8.11,8168,5978,27,0
0.275,8.612,6731,3518,17,0
0.326,8.033,4970,4747,48,0
0.336,8.199,2561,2768,48,0
0.339,8.905,8128,3690,28,0
0.3,8.79,6909,3816,17,0
0.369,8.972,7160,6225,48,0
0.375,8.944,8861,4432,28,0
0.279,8.523,3574,3189,27,0
0.282,8.122,4750,3573,27,0
0.297,8.333,5857,3311,48,0
0.301,8.242,3807,3274,48,0
0.351,8.335,3174,3302,48,0
0.305,8.733,3749,3938,48,0
0.281,8.296,7276,6107,27,0
0.295,8.105,2961,3110,48,0
0.277,8.066,4399,3717,27,0
0.289,8.205,3692,3539,27,0
0.286,8.019,2463,2527,27,0
0.276,8.128,4873,4193,27,0
0.304,8.394,7003,3360,28,0
