pwr,cp,lut,ff,dsp,bram
0.356,8.637,4209,3757,48,0
0.405,8.925,5469,5088,54,0
0.353,8.377,3647,3689,54,0
0.307,8.248,3564,3229,48,0
0.311,8.275,3946,3731,48,0
0.286,7.873,2247,2595,27,0
0.414,8.848,8171,3920,25,0
0.282,8.491,8471,4081,17,0
0.297,8.214,3094,3605,48,0
0.362,8.409,3557,3569,48,0
0.302,8.658,8378,4604,28,0
0.387,8.62,4765,4274,48,0
0.363,8.626,3878,3572,48,0
0.373,8.78,5502,4807,48,0
0.358,8.37,2555,2765,48,0
0.396,9.152,10300,4806,25,0
0.373,8.724,9413,4173,34,0
0.466,9.416,11708,5633,25,0
0.451,8.843,8324,3770,28,0
0.367,9.074,5108,4848,48,0
0.403,8.796,7943,3758,25,0
0.326,8.764,8243,7492,48,0
0.383,8.872,5611,5036,54,0
0.298,8.532,6354,3915,28,0
0.397,8.771,7783,3737,28,0
0.335,8.384,3919,3508,48,0
0.35,8.785,3532,3718,48,0
0.304,8.418,10743,5845,28,0
0.397,9.164,10445,4932,34,0
0.287,8.242,4958,3056,28,0
0.446,8.99,8834,4477,28,0
0.457,9.055,9022,4605,28,0
0.277,8.094,3070,2797,27,0
0.413,9.074,10140,4780,25,0
0.391,9.043,5512,4731,48,0
0.397,8.823,4642,4190,48,0
0.314,9.017,9575,6991,48,0
0.37,9.094,5406,5021,48,0
0.383,8.841,5493,5051,54,0
0.317,8.249,3750,3539,48,0
0.377,9.091,10079,4976,25,0
0.36,8.312,3150,3084,48,0
0.414,8.504,8432,3466,28,0
0.336,8.37,2817,2901,48,0
0.394,8.707,7509,3075,28,0
0.356,8.343,3224,3261,48,0
0.407,8.234,8432,3483,28,0
0.362,8.402,3515,3579,48,0
0.302,8.318,7144,3314,28,0
0.439,8.755,7702,3441,28,0
0.391,9.043,5512,4731,48,0
0.347,8.238,3251,3140,48,0
0.314,8.409,3828,3349,48,0
0.398,8.579,4684,4517,54,0
0.354,8.093,3791,3751,54,0
0.311,8.638,11961,7304,28,0
0.328,8.39,3802,3627,54,0
0.389,8.693,8047,3370,28,0
0.343,8.952,5664,4962,54,0
0.437,8.804,9038,4186,25,0
0.398,9.439,10708,5026,25,0
0.287,8.254,4955,3052,28,0
0.392,8.676,7375,2982,25,0
0.338,8.07,3066,3079,54,0
0.274,8.01,2441,2544,27,0
0.282,7.85,2046,2763,27,0
0.369,8.512,2792,3121,48,0
0.354,8.097,2959,3340,54,0
0.397,8.845,9815,4146,34,0
0.353,8.755,3794,3829,48,0
0.376,8.326,4218,4029,54,0
0.39,8.706,5103,4606,48,0
0.34,8.063,3095,3105,54,0
0.389,8.839,7155,3377,25,0
0.388,9.147,9213,7096,54,0
0.346,8.129,2964,3348,54,0
0.407,8.234,8432,3483,28,0
0.335,8.187,3098,2946,48,0
0.284,8.267,3548,3856,27,0
0.292,8.341,5847,4054,28,0
0.383,8.841,5493,5051,54,0
0.397,8.823,4642,4190,48,0
0.365,9.034,8147,3479,28,0
0.386,8.502,4563,4284,48,0
0.414,8.504,8432,3466,28,0
0.358,8.574,4102,3777,48,0
0.371,9.009,8881,4184,25,0
0.369,7.721,3209,2978,54,0
0.345,8.982,5569,4882,48,0
0.316,8.47,6714,3311,28,0
0.387,8.717,4461,4288,48,0
0.341,8.438,2792,2884,48,0
0.359,8.625,3551,3528,48,0
0.303,8.204,5110,2826,28,0
0.373,8.415,4102,3966,54,0
0.365,8.589,3728,3545,48,0
0.368,8.815,4334,4262,48,0
0.304,8.623,4183,3983,48,0
0.371,8.559,3223,3371,48,0
0.369,8.341,4088,3824,48,0
