pwr,cp,lut,ff,dsp,bram
0.356,8.637,4209,3757,48,0
0.356,8.637,4209,3757,48,0
0.356,8.637,4209,3757,48,0
0.356,8.637,4209,3757,48,0
0.356,8.637,4209,3757,48,0
0.383,8.955,8553,3793,25,0
0.383,8.955,8553,3793,25,0
0.356,8.637,4209,3757,48,0
0.383,8.955,8553,3793,25,0
0.353,8.604,3411,3477,48,0
0.388,8.878,7851,3494,25,0
0.388,8.878,7851,3494,25,0
0.388,8.878,7851,3494,25,0
0.388,8.878,7851,3494,25,0
0.388,8.878,7851,3494,25,0
0.388,8.878,7851,3494,25,0
0.356,8.637,4209,3757,48,0
0.353,8.604,3411,3477,48,0
0.353,8.604,3411,3477,48,0
0.388,8.878,7851,3494,25,0
0.342,8.284,3054,3126,48,0
0.355,8.574,3959,3828,48,0
0.355,8.574,3959,3828,48,0
0.444,9.316,10628,5045,25,0
0.381,8.937,5394,4841,48,0
0.4,8.971,5665,5028,48,0
0.4,8.971,5665,5028,48,0
0.4,8.971,5665,5028,48,0
0.4,8.971,5665,5028,48,0
0.4,8.971,5665,5028,48,0
0.356,8.637,4209,3757,48,0
0.4,8.971,5665,5028,48,0
0.4,8.971,5665,5028,48,0
0.4,8.971,5665,5028,48,0
0.4,8.971,5665,5028,48,0
0.4,8.971,5665,5028,48,0
0.381,8.937,5394,4841,48,0
0.381,8.937,5394,4841,48,0
0.355,8.574,3959,3828,48,0
0.355,8.574,3959,3828,48,0
0.355,8.574,3959,3828,48,0
0.355,8.574,3959,3828,48,0
0.355,8.487,3949,3797,48,0
0.355,8.487,3949,3797,48,0
0.355,8.487,3949,3797,48,0
0.355,8.487,3949,3797,48,0
0.355,8.487,3949,3797,48,0
0.355,8.574,3959,3828,48,0
0.355,8.574,3959,3828,48,0
0.355,8.487,3949,3797,48,0
0.355,8.574,3959,3828,48,0
0.355,8.574,3959,3828,48,0
0.355,8.574,3959,3828,48,0
0.355,8.574,3959,3828,48,0
0.355,8.574,3959,3828,48,0
0.355,8.574,3959,3828,48,0
0.355,8.574,3959,3828,48,0
0.384,8.604,7525,2989,25,0
0.387,8.834,9340,4010,28,0
0.347,8.209,3255,3177,48,0
0.347,8.209,3255,3177,48,0
0.355,8.487,3949,3797,48,0
0.347,8.209,3255,3177,48,0
0.347,8.209,3255,3177,48,0
0.347,8.209,3255,3177,48,0
0.371,8.586,4489,3842,48,0
0.347,8.209,3255,3177,48,0
0.347,8.209,3255,3177,48,0
0.347,8.209,3255,3177,48,0
0.384,8.604,7525,2989,25,0
0.347,8.209,3255,3177,48,0
0.347,8.209,3255,3177,48,0
0.347,8.209,3255,3177,48,0
0.347,8.209,3255,3177,48,0
0.347,8.209,3255,3177,48,0
0.347,8.209,3255,3177,48,0
0.336,8.289,3102,3163,48,0
0.343,8.289,3099,3158,48,0
0.342,8.284,3054,3126,48,0
0.342,8.284,3054,3126,48,0
0.345,8.275,3106,3125,48,0
0.366,8.553,2844,3012,48,0
0.399,8.494,8413,3479,28,0
0.423,8.622,7219,3351,25,0
0.345,8.275,3106,3125,48,0
0.345,8.275,3106,3125,48,0
0.342,8.284,3054,3126,48,0
0.401,8.806,7100,2987,25,0
0.335,8.488,3148,3305,48,0
0.335,8.488,3148,3305,48,0
0.335,8.488,3148,3305,48,0
0.342,8.284,3054,3126,48,0
0.342,8.284,3054,3126,48,0
0.342,8.284,3054,3126,48,0
0.368,8.605,3514,3575,48,0
0.342,8.284,3054,3126,48,0
0.335,8.488,3148,3305,48,0
0.342,8.284,3054,3126,48,0
0.342,8.284,3054,3126,48,0
0.317,8.566,3707,3480,48,0
