pwr,lat,cp,lut,ff,dsp,bram
0.531,131368,8.682,14734,15477,6,0
0.323,1101953,7.826,3585,1462,3,0
0.336,839777,7.75,4044,1998,0,0
0.293,2893921,7.057,1837,1742,10,0
0.432,2109537,7.882,6588,2288,3,0
0.577,85761,9.508,13163,24926,52,0
0.31,148353,9.886,12203,34660,20,0
0.301,147329,9.695,12053,26434,20,0
0.3,131277,9.537,13747,22904,0,0
0.289,3151969,6.719,1254,1423,13,0
0.279,1310729,6.932,1044,1185,13,0
0.305,1349633,7.66,4122,2186,3,0
0.338,65833,9.901,26358,29549,12,0
0.349,2891777,7.471,3356,1142,3,0
0.389,1847425,7.889,6156,1759,0,0
0.313,1049281,8.0,4045,2283,0,0
0.36,2103425,7.279,3815,1774,3,0
0.32,1087489,7.646,3901,1791,0,0
0.535,151169,8.508,15045,19308,6,0
0.331,2891873,7.556,3546,1301,3,0
0.372,65771,9.187,25154,29395,0,0
0.289,131307,8.626,12868,14864,0,0
0.353,131308,8.336,8157,13544,20,0
0.64,147265,9.497,19125,40525,20,0
0.297,147265,9.631,14937,18486,0,0
0.341,2109441,7.881,3564,1363,3,0
0.296,148353,8.02,9663,22756,20,0
0.317,131308,8.402,8027,14497,20,0
0.323,65788,8.753,11385,18030,40,0
0.349,65788,9.246,12689,19746,40,0
0.27,1048585,7.036,1051,1060,10,0
0.279,843777,7.687,1147,1108,10,0
0.296,131308,8.397,9032,16535,20,0
0.279,843777,7.687,1147,1108,10,0
0.296,131308,8.397,9032,16535,20,0
0.279,843777,7.687,1147,1108,10,0
0.278,843777,7.257,1147,1108,10,0
0.278,843777,7.257,1147,1108,10,0
0.278,843777,7.257,1147,1108,10,0
0.279,1105921,6.98,1169,1239,13,0
0.278,843777,7.257,1147,1108,10,0
0.283,839681,7.158,1081,916,10,0
0.308,131308,8.273,9405,16537,20,0
0.323,65788,9.083,11283,18030,40,0
0.304,131308,8.522,8518,14498,20,0
0.317,131308,8.402,8027,14497,20,0
0.288,131308,7.768,7643,13538,20,0
0.283,839681,7.158,1081,916,10,0
0.282,839681,7.015,1039,915,10,0
0.282,839681,7.015,1039,915,10,0
0.325,65833,9.327,16552,29686,52,0
0.288,131369,7.613,7564,13713,26,0
0.321,131369,7.676,7989,13993,26,0
0.303,131308,8.279,8013,14497,20,0
0.263,1048585,6.959,956,1057,10,0
0.306,131276,9.707,8283,21763,20,0
0.3,131308,8.061,7842,14439,20,0
0.291,131308,8.196,7695,14154,20,0
0.323,131369,7.891,7993,13990,26,0
0.288,131308,7.768,7643,13538,20,0
0.265,1048585,6.998,968,1057,10,0
0.277,839681,7.188,965,1021,10,0
0.277,1048585,7.399,893,924,10,0
0.282,839681,7.015,1039,915,10,0
0.283,839681,6.988,1036,915,10,0
0.285,1097729,6.702,915,955,13,0
0.278,843777,7.336,1102,1107,10,0
0.288,131308,7.768,7643,13538,20,0
0.283,839681,6.988,1036,915,10,0
0.294,131369,7.705,8109,14955,26,0
0.318,131308,8.492,7790,13193,20,0
0.314,131308,8.501,8098,13477,20,0
0.283,1048585,7.042,883,924,10,0
0.303,131308,8.279,8013,14497,20,0
0.638,151169,8.587,14781,23910,26,0
0.317,131308,8.402,8027,14497,20,0
0.304,131308,8.522,8518,14498,20,0
0.296,131276,9.568,8761,22511,20,0
0.304,131308,8.522,8518,14498,20,0
0.322,65772,9.728,14893,27862,40,0
0.283,1048585,7.042,883,924,10,0
0.263,1048585,6.959,956,1057,10,0
0.263,1048585,6.959,956,1057,10,0
0.283,839681,6.988,1036,915,10,0
0.278,843777,7.336,1102,1107,10,0
0.283,839681,6.988,1036,915,10,0
0.283,839681,6.994,1035,915,10,0
0.263,1048585,6.959,956,1057,10,0
0.288,131308,7.768,7643,13538,20,0
0.269,1048585,7.054,967,1070,10,0
0.3,131308,8.061,7842,14439,20,0
0.3,1048584,7.745,3382,1108,0,0
0.314,131308,8.501,8098,13477,20,0
0.289,2895873,6.913,851,842,10,0
0.379,131368,8.262,10564,11148,6,0
0.265,1355905,6.944,1078,1219,13,0
0.291,1978369,6.877,889,919,10,0
0.294,1978369,7.063,952,985,10,0
0.428,148353,9.558,7780,18301,20,0
0.308,131278,9.645,8633,21876,20,0
