pwr,lat,cp,lut,ff,dsp,bram
0.385,150593,9.486,20525,24845,6,0
0.363,65835,8.774,13934,26586,52,0
0.367,145409,9.421,10051,25738,20,0
0.367,151105,9.691,22951,28871,6,0
0.266,1093633,7.153,1193,1236,10,0
0.348,1349729,7.448,4685,2927,4,0
0.319,131368,9.082,13254,14824,6,0
0.294,131337,10.359,14745,22797,6,0
0.576,86657,8.651,25677,63755,52,0
0.348,2627585,7.723,3791,1255,0,0
0.328,2633729,7.584,3183,1064,0,0
0.266,1093633,7.153,1193,1236,10,0
0.266,1093633,7.153,1193,1236,10,0
0.266,1093633,7.153,1193,1236,10,0
0.266,1093633,7.153,1193,1236,10,0
0.276,2895873,7.132,911,878,10,0
0.276,1097729,7.236,1281,1573,10,0
0.295,2895873,7.073,888,870,10,0
0.268,1097857,6.985,1236,1577,10,0
0.268,1097857,6.985,1236,1577,10,0
0.346,86657,9.175,19531,17591,12,0
0.346,86657,9.175,19531,17591,12,0
0.338,85633,9.897,21914,26103,12,0
0.414,87745,8.982,10427,20736,52,0
0.346,86657,9.175,19531,17591,12,0
0.277,2889857,6.882,1070,950,10,0
0.415,86593,9.191,24906,27985,12,0
0.268,1097857,6.985,1236,1577,10,0
0.299,131369,8.092,7278,12978,26,0
0.299,131369,8.092,7278,12978,26,0
0.299,131369,8.092,7278,12978,26,0
0.363,65835,8.774,13934,26586,52,0
0.363,65835,8.774,13934,26586,52,0
0.299,131369,8.092,7278,12978,26,0
0.363,65835,8.774,13934,26586,52,0
0.299,131369,8.092,7278,12978,26,0
0.364,131339,9.06,9173,21199,26,0
0.389,131369,8.253,9134,14988,26,0
0.307,131338,9.968,15728,22134,6,0
0.298,131369,8.576,9960,17052,26,0
0.327,131368,8.931,14119,17224,6,0
0.295,2891905,6.811,862,829,10,0
0.27,1093729,6.934,1407,1809,9,0
0.27,1093729,7.139,1490,1930,10,0
0.287,1093729,7.11,1361,1930,10,0
0.284,2895969,7.043,1142,1115,10,0
0.261,1093633,7.112,1032,1200,10,0
0.261,1093633,7.112,1032,1200,10,0
0.261,1093633,7.112,1032,1200,10,0
0.281,2891777,7.054,790,848,10,0
0.261,1093633,7.112,1032,1200,10,0
0.278,2891777,6.975,855,822,10,0
0.279,1091585,6.931,1179,1632,10,0
0.35,131339,8.995,9327,20956,26,0
0.327,1089537,7.702,3781,1445,0,0
0.316,131369,8.143,8381,14086,26,0
0.277,2889729,7.204,1148,956,10,0
0.275,131368,8.394,10235,11415,6,0
0.351,1089633,7.716,3894,2110,0,0
0.351,1089633,7.716,3894,2110,0,0
0.351,1089633,7.716,3894,2110,0,0
0.322,1089537,7.821,3765,1424,0,0
0.321,1089537,7.788,3707,1422,0,0
0.299,2889729,7.245,858,965,10,0
0.267,1097729,7.148,1104,1451,10,0
0.334,2629633,7.626,3479,1053,0,0
0.266,1093633,7.199,1093,1199,10,0
0.3,131337,9.422,9095,22316,26,0
0.336,1093633,7.668,3538,1504,0,0
0.283,131369,8.03,5793,10862,26,0
0.283,131369,8.03,5793,10862,26,0
0.283,131369,8.03,5793,10862,26,0
0.283,131369,8.03,5793,10862,26,0
0.283,131369,8.03,5793,10862,26,0
0.312,152257,9.079,8496,18705,26,0
0.309,131337,9.159,9202,21711,26,0
0.283,131369,8.03,5793,10862,26,0
0.296,152257,8.893,10728,23083,26,0
0.283,131369,8.03,5793,10862,26,0
0.28,2889729,7.164,876,984,10,0
0.283,131369,8.03,5793,10862,26,0
0.302,151233,8.985,7705,14787,26,0
0.261,1093633,7.112,1032,1200,10,0
0.283,131369,8.03,5793,10862,26,0
0.281,2891777,7.054,790,848,10,0
0.325,149185,9.27,9828,26507,26,0
0.28,1101825,7.226,1260,1825,10,0
0.284,131368,8.408,10999,11097,6,0
0.266,1093761,6.866,1089,1234,10,0
0.342,85121,9.578,23236,25785,12,0
0.312,152257,9.079,8496,18705,26,0
0.329,152193,9.565,13858,19252,6,0
0.266,1093761,6.866,1089,1234,10,0
0.312,152257,9.079,8496,18705,26,0
0.342,2633857,7.662,3280,1049,0,0
0.412,150209,9.17,20399,52360,26,0
0.261,1093633,7.112,1032,1200,10,0
0.338,131308,8.089,6886,12073,20,0
0.348,2896001,7.651,3451,1135,3,0
0.285,1091585,7.115,1529,1906,10,0
