pwr,lat,cp,lut,ff,dsp,bram
0.283,2889825,6.927,1332,1237,10,0
0.277,3151873,6.942,1167,1155,13,0
0.295,837633,6.8,1352,1385,10,0
0.27,1310729,6.993,1092,1182,13,0
0.354,2633729,7.761,3284,1137,0,0
0.294,3158017,6.765,901,973,13,0
0.316,1049281,7.786,4146,1838,0,0
0.356,145409,9.446,11286,29947,20,0
0.411,83841,9.016,13698,23153,40,0
0.309,1093633,7.59,3856,1792,0,0
0.312,131278,8.847,10566,24950,19,0
0.293,1353825,6.79,2820,2796,13,0
0.354,1095681,7.079,3343,1615,3,0
0.283,837633,6.985,1348,1541,10,0
0.282,837761,7.059,1423,1518,10,0
0.305,3151873,6.965,918,1189,13,0
0.272,1049281,6.959,1094,1062,10,0
0.268,1093761,6.829,989,1034,10,0
0.268,1093761,6.829,989,1034,10,0
0.31,148289,9.404,13617,18711,0,0
0.27,1093633,7.125,1170,1176,10,0
0.386,65774,8.75,16280,28132,40,0
0.295,837633,6.8,1352,1385,10,0
0.343,1091585,7.575,3734,2296,0,0
0.337,65773,9.534,24512,26397,0,0
0.275,837633,6.911,1194,1306,10,0
0.358,65772,8.746,12862,24576,40,0
0.329,2631681,7.899,3486,1244,0,0
0.305,829441,7.523,3082,1292,0,0
0.335,829537,7.365,3703,1843,0,0
0.29,2889729,7.195,928,991,10,0
0.292,837633,6.865,1116,1389,10,0
0.276,833537,7.022,1162,1137,10,0
0.295,837633,6.8,1352,1385,10,0
0.281,1095681,6.774,1149,1131,13,0
0.282,1099777,6.72,1338,1372,13,0
0.364,65772,8.826,17390,30703,40,0
0.275,2893825,7.057,1040,1009,10,0
0.37,2103297,7.724,3899,1687,3,0
0.289,2895873,6.84,986,896,10,0
0.291,3155969,6.963,958,1131,13,0
0.391,65773,9.199,23974,28893,0,0
0.376,65771,9.262,23771,23769,0,0
0.385,65771,9.207,23879,26081,0,0
0.268,833537,7.025,1154,1078,10,0
0.283,2889729,7.235,797,980,10,0
0.296,839681,7.566,3578,1353,0,0
0.323,829441,7.454,2909,1319,0,0
0.286,1976321,7.128,1084,1079,10,0
0.34,65773,8.401,10914,20361,40,0
0.34,65773,8.401,10914,20361,40,0
0.275,2893825,7.134,1037,1011,10,0
0.504,85761,9.077,32989,66494,52,0
0.286,833537,6.893,1672,1197,10,0
0.28,833537,7.083,1156,1101,10,0
0.284,833537,6.928,1482,1154,10,0
0.275,833665,7.132,1101,1146,10,0
0.285,1978369,7.048,1037,1056,10,0
0.303,2889729,7.127,760,969,10,0
0.278,1091713,6.906,1707,1642,10,0
0.279,833537,7.094,1490,1162,10,0
0.404,148225,9.605,18894,31979,0,0
0.328,1091585,7.299,3301,1390,3,0
0.277,1353729,6.601,1288,1757,13,0
0.268,1091713,6.915,1265,1840,10,0
0.276,841729,6.944,1489,1554,10,0
0.271,1353729,6.676,1379,1739,12,0
0.269,1101825,6.93,1238,1668,10,0
0.266,1091585,6.955,1496,1886,10,0
0.277,1091585,6.96,1226,1602,9,0
0.27,1097729,6.936,1233,1630,10,0
0.284,833537,6.928,1482,1154,10,0
0.28,1095681,6.772,1144,1123,13,0
0.292,837633,6.865,1116,1389,10,0
0.296,837761,6.871,1376,1302,10,0
0.314,829441,7.472,3175,1306,0,0
0.283,2889729,7.235,797,980,10,0
0.28,1106049,7.193,1191,1952,10,0
0.28,833537,7.083,1156,1101,10,0
0.28,837633,7.093,1353,1365,10,0
0.56,82753,9.115,31637,67408,40,0
0.266,1357825,6.675,1467,2082,13,0
0.287,2893825,7.241,1278,1114,10,0
0.289,1353729,7.538,4366,2191,2,0
0.326,65771,9.477,23937,26879,0,0
0.701,82881,9.899,36092,87221,40,0
0.343,1349633,7.59,4065,1873,3,0
0.268,833537,7.025,1154,1078,10,0
0.38,49398,9.082,18716,29934,60,0
0.392,65833,8.501,16401,29415,52,0
0.278,837633,6.805,1417,1324,10,0
0.376,65774,8.62,13113,25938,40,0
0.278,837633,6.805,1417,1324,10,0
0.27,837633,6.894,1159,1292,10,0
0.395,65774,8.618,15751,28158,40,0
0.395,65774,8.618,15751,28158,40,0
0.376,65774,8.62,13113,25938,40,0
0.275,837633,6.911,1194,1306,10,0
0.27,837633,6.894,1159,1292,10,0
0.37,65835,8.412,11072,21257,52,0
