pwr,lat,cp,lut,ff,dsp,bram
0.27,1097857,7.059,1278,1564,10,0
0.313,2234369,7.064,1296,1701,23,0
0.352,131337,9.034,12765,27120,26,0
0.366,150209,10.108,14628,26907,6,0
0.398,1843297,7.744,5769,1875,0,0
0.365,65832,9.274,24846,27791,12,0
0.285,1978369,7.204,1216,1155,10,0
0.278,1097729,6.837,804,855,13,0
0.503,91649,9.292,33462,56667,0,0
0.35,82881,9.652,23786,32575,0,0
0.278,1097729,6.837,804,855,13,0
0.365,74039,8.707,11393,20430,52,0
0.274,1097729,6.847,1035,842,13,0
0.285,1103873,6.89,1370,1861,13,0
0.277,839681,7.158,1193,1051,10,0
0.376,65788,8.341,12173,18937,40,0
0.297,2889729,7.067,1178,1108,10,0
0.402,82241,8.803,21127,31715,40,0
0.288,1972225,7.21,1486,1763,20,0
0.289,1048587,6.973,1161,1345,10,0
0.346,2889729,7.514,3609,1389,3,0
0.376,65788,8.341,12173,18937,40,0
0.286,841729,7.1,1341,1731,10,0
0.289,1048586,7.072,1333,1379,10,0
0.275,1101953,7.072,1246,1841,10,0
0.292,3158017,6.82,1061,1022,13,0
0.275,1110017,6.89,1226,1360,13,0
0.3,131308,8.43,8978,16034,20,0
0.283,2895873,6.625,918,862,10,0
0.275,839681,7.063,978,998,10,0
0.276,835585,7.037,974,830,10,0
0.272,1091585,7.039,1312,1600,10,0
0.361,65772,9.01,16754,31808,40,0
0.279,1091585,6.931,1179,1632,10,0
0.288,833633,7.044,1837,1840,11,0
0.288,1091585,7.039,1478,1660,10,0
0.311,1087617,7.546,3691,1815,0,0
0.279,1091585,6.931,1179,1632,10,0
0.296,131308,8.232,6582,12130,20,0
0.287,131307,8.755,12492,12744,0,0
0.263,1093633,7.054,1080,1172,10,0
0.266,1093633,6.909,895,1041,10,0
0.272,1093761,6.948,936,1001,10,0
0.261,1093633,6.992,978,1057,10,0
0.566,148289,9.281,17872,52813,20,0
0.266,1093729,6.956,1253,1552,10,0
0.254,1355777,6.766,930,1156,13,0
0.254,1355777,6.766,930,1156,13,0
0.263,1093633,6.966,971,1049,10,0
0.3,131308,8.424,9390,16317,20,0
0.268,1091585,6.957,1579,1617,10,0
0.289,131275,9.773,14979,20949,0,0
0.26,1093633,6.942,983,1034,10,0
0.267,1093633,6.766,1037,1066,10,0
0.352,1087489,7.622,4082,2013,0,0
0.305,2236417,6.945,1140,1436,23,0
0.275,835585,7.013,925,818,10,0
0.276,839681,7.115,990,993,10,0
0.277,835585,7.079,823,827,10,0
0.387,148353,9.2,9667,30198,20,0
0.291,1048588,6.899,1382,1386,10,0
0.254,1355777,6.766,930,1156,13,0
0.254,1355777,6.766,930,1156,13,0
0.274,1097729,6.818,908,885,13,0
0.266,1310729,7.073,834,984,13,0
0.288,1105921,6.967,1047,1267,13,0
0.283,1974401,7.099,995,1032,10,0
0.254,1355777,6.621,954,1157,13,0
0.361,65772,9.483,18899,31975,40,0
0.388,73976,8.405,11314,17471,40,0
0.295,835585,7.543,3274,1293,0,0
0.33,131307,8.696,12112,12542,0,0
0.309,131337,9.159,9202,21711,26,0
0.403,65772,8.969,15758,27949,40,0
0.311,65771,9.206,24252,23906,0,0
0.296,131308,8.232,6582,12130,20,0
0.275,2889825,6.986,1221,1245,10,0
0.298,2889729,6.932,1206,1074,10,0
0.48,147265,9.138,14530,31597,20,0
0.289,1972225,7.25,1251,1647,20,0
0.31,131276,9.549,9975,22552,20,0
0.281,2889729,7.181,848,1016,10,0
0.351,65788,8.108,8474,15264,40,0
0.269,1093633,6.932,1190,1118,10,0
0.267,1310729,6.951,849,1000,13,0
0.285,2891777,6.812,713,825,10,0
0.372,65833,8.506,12045,22717,52,0
0.293,2236417,6.972,1226,1426,23,0
0.287,3151873,6.701,862,1049,13,0
0.301,131308,8.257,6593,12220,20,0
0.271,1097857,6.997,1062,1299,10,0
0.279,1095681,6.69,1039,1126,13,0
0.358,65773,8.318,16743,27780,40,0
0.282,1095809,6.754,1108,1100,13,0
0.284,2889729,6.969,931,958,10,0
0.297,829441,7.413,3622,1281,0,0
0.283,2889729,6.867,823,926,10,0
0.308,131308,8.076,5513,10352,20,0
0.308,131308,8.076,5513,10352,20,0
0.321,131308,8.357,8459,14155,20,0
