pwr,lat,cp,lut,ff,dsp,bram
0.311,131369,8.652,10729,18064,26,0
0.368,147265,9.295,21313,39030,20,0
0.272,2236545,6.647,1280,1402,23,0
0.272,1095809,6.723,1159,1090,13,0
0.303,131308,8.682,11361,17339,20,0
0.381,65772,8.435,15737,27431,40,0
0.268,1355777,6.648,1097,1337,13,0
0.328,131369,8.384,9244,16797,26,0
0.353,1349633,7.578,3968,1846,3,0
0.413,86721,10.193,36778,52589,11,0
0.288,131307,8.883,14511,17162,0,0
0.318,131308,7.905,6030,10575,20,0
0.352,2889729,7.797,3730,1347,3,0
0.545,94721,9.121,20971,34817,52,0
0.342,65787,8.768,20435,17848,0,0
0.451,65833,9.148,15702,27985,52,0
0.318,1311361,7.984,3882,1582,3,0
0.271,1974369,7.155,1261,1286,10,0
0.357,131278,9.36,10820,22333,20,0
0.344,2893825,7.513,3592,1291,3,0
0.41,1841281,8.019,5826,1875,0,0
0.382,149153,9.518,19926,50981,26,0
0.332,131368,9.268,15806,19070,6,0
0.427,152129,9.41,26460,45065,6,0
0.308,131308,8.309,8799,14541,20,0
0.301,1101825,7.488,3679,1444,3,0
0.345,2893825,7.735,3381,1334,3,0
0.364,149121,9.887,14541,26923,6,0
0.282,3155969,6.731,1059,1322,13,0
0.361,65787,8.803,19610,16000,0,0
0.267,1974369,6.998,1176,1201,10,0
0.322,1097857,7.541,3522,1239,3,0
0.278,2893921,6.912,1429,1394,10,0
0.32,1845345,7.932,4632,1965,0,0
0.326,151105,9.485,22266,36763,6,0
0.285,1357953,6.78,1815,2817,13,0
0.34,1097825,7.562,3551,1662,3,0
0.394,65849,8.208,13290,19578,52,0
0.257,1355777,6.778,940,1154,13,0
0.266,2891905,6.896,890,813,10,0
0.297,131369,8.108,7205,12696,26,0
0.287,131307,8.654,10550,10609,0,0
0.502,145249,9.58,23351,59473,20,0
0.498,148289,9.386,14576,32759,20,0
0.277,1099873,6.579,1899,2201,14,0
0.281,2889825,6.84,1277,1301,10,0
0.344,65773,8.975,21450,21280,0,0
0.335,131368,8.909,12064,14965,6,0
0.282,131307,8.76,12518,12957,0,0
0.423,83841,8.97,9719,19894,40,0
0.295,131307,9.006,14901,16954,0,0
0.361,65787,8.803,19610,16000,0,0
0.27,2889857,6.883,884,917,10,0
0.533,81857,10.083,26185,57411,41,0
0.317,1097857,7.546,3618,1250,3,0
0.41,65832,9.659,25173,25319,12,0
0.351,65834,9.241,22044,26042,12,0
0.322,131369,8.829,11656,18855,26,0
0.401,151169,8.964,13955,24350,26,0
0.361,152193,9.202,19903,39911,26,0
0.568,86785,9.189,24996,51137,51,0
0.445,61057,9.335,23125,36654,91,0
0.309,131369,8.517,10196,17494,26,0
0.287,2895873,7.294,943,919,10,0
0.301,131307,9.101,15075,17867,0,0
0.578,83777,8.921,19762,54490,40,0
0.316,131336,9.626,16859,24280,6,0
0.289,3158017,6.842,908,1008,13,0
0.335,131368,8.909,12064,14965,6,0
0.316,131369,8.403,8511,14953,26,0
0.302,131308,8.356,8185,13587,20,0
0.634,61025,9.378,38662,65656,91,0
0.589,85633,9.911,36643,56511,11,0
0.319,1351681,7.503,3886,1401,3,0
0.476,151105,9.58,23730,36926,6,0
0.312,131368,9.386,14606,19166,6,0
0.266,2891905,6.896,890,813,10,0
0.552,82817,9.496,34490,51511,0,0
0.324,147329,9.138,12844,21904,20,0
0.272,1097825,7.12,1664,2766,10,0
0.366,2891873,7.698,3679,1313,3,0
0.304,1089633,7.579,4146,1824,1,0
0.338,2109537,7.722,4685,1864,3,0
0.312,1974273,7.085,1083,1257,20,0
0.282,1978369,6.953,931,1014,10,0
0.294,131337,9.671,15347,21056,6,0
0.361,149313,9.303,10495,22748,26,0
0.339,65832,9.623,24159,29650,12,0
0.3,131308,8.424,9390,16317,20,0
0.44,90177,8.941,19849,33615,39,0
0.338,131278,9.765,9035,22246,20,0
0.361,65849,8.126,12176,18236,52,0
0.288,1104001,6.834,1475,1842,13,0
0.33,148353,9.023,7932,18378,20,0
0.277,2895873,6.776,854,856,10,0
0.322,131308,8.021,6893,12447,20,0
0.274,1974401,6.979,1126,1272,20,0
0.327,1091585,7.424,3448,1393,3,0
0.365,65834,9.134,22930,23980,12,0
0.316,148353,9.087,8251,18284,20,0
