pwr,lat,cp,lut,ff,dsp,bram
0.311,131369,8.652,10729,18064,26,0
0.311,131369,8.652,10729,18064,26,0
0.311,131369,8.652,10729,18064,26,0
0.311,150721,8.826,8421,18797,26,0
0.368,150657,8.833,18190,31896,26,0
0.37,150657,8.924,17457,31734,26,0
0.311,150721,8.826,8421,18797,26,0
0.308,150721,8.995,9390,18766,26,0
0.368,150657,8.833,18190,31896,26,0
0.368,150657,8.833,18190,31896,26,0
0.311,150721,8.826,8421,18797,26,0
0.368,150657,8.833,18190,31896,26,0
0.368,150657,8.833,18190,31896,26,0
0.368,150657,8.833,18190,31896,26,0
0.353,150657,8.808,15786,31692,26,0
0.368,150657,8.833,18190,31896,26,0
0.308,150721,8.995,9390,18766,26,0
0.311,150721,8.826,8421,18797,26,0
0.311,150721,8.826,8421,18797,26,0
0.311,150721,8.826,8421,18797,26,0
0.319,151233,9.265,10075,26876,26,0
0.387,151169,9.604,23423,44378,26,1
0.311,150721,8.826,8421,18797,26,0
0.387,151169,9.604,23423,44378,26,1
0.319,151169,9.899,16826,27562,6,0
0.368,151105,10.228,27957,44914,6,0
0.387,151169,9.604,23423,44378,26,1
0.387,151169,9.604,23423,44378,26,1
0.339,151233,9.268,11306,26911,26,0
0.339,151233,9.268,11306,26911,26,0
0.339,151233,9.268,11306,26911,26,0
0.387,151169,9.604,23423,44378,26,1
0.387,151169,9.604,23423,44378,26,1
0.339,151233,9.268,11306,26911,26,0
0.311,150721,8.826,8421,18797,26,0
0.368,150657,8.833,18190,31896,26,0
0.311,150721,8.826,8421,18797,26,0
0.311,150721,8.826,8421,18797,26,0
0.368,150657,8.833,18190,31896,26,0
0.368,150657,8.833,18190,31896,26,0
0.368,150657,8.833,18190,31896,26,0
0.368,150657,8.833,18190,31896,26,0
0.368,150657,8.833,18190,31896,26,0
0.368,150657,8.833,18190,31896,26,0
0.311,150721,8.826,8421,18797,26,0
0.366,85185,8.76,15802,32357,52,0
0.368,150657,8.833,18190,31896,26,0
0.368,150657,8.833,18190,31896,26,0
0.366,85185,8.76,15802,32357,52,0
0.366,85185,8.76,15802,32357,52,0
0.49,85153,8.755,28799,58436,52,0
0.311,150721,8.826,8421,18797,26,0
0.49,85153,8.755,28799,58436,52,0
0.49,85153,8.755,28799,58436,52,0
0.49,85153,8.755,28799,58436,52,0
0.311,150721,8.826,8421,18797,26,0
0.368,150657,8.833,18190,31896,26,0
0.311,150721,8.826,8421,18797,26,0
0.279,1110145,6.803,1130,1373,13,0
0.264,3154017,6.607,1256,1167,13,0
0.286,2236513,6.982,1616,1818,23,0
0.259,1364097,6.787,1291,1951,13,0
0.387,151169,9.604,23423,44378,26,1
0.368,150657,8.833,18190,31896,26,0
0.279,1110145,6.803,1130,1373,13,0
0.289,1103969,6.846,1941,3145,13,0
0.286,2236513,6.982,1616,1818,23,0
0.368,150657,8.833,18190,31896,26,0
0.263,1364065,6.802,1759,3375,13,0
0.368,150657,8.833,18190,31896,26,0
0.311,150721,8.826,8421,18797,26,0
0.27,2236545,6.824,1179,1448,23,0
0.263,1364065,6.802,1759,3375,13,0
0.368,150657,8.833,18190,31896,26,0
0.264,3154017,6.607,1256,1167,13,0
0.368,150657,8.833,18190,31896,26,0
0.287,1110113,6.776,1723,2234,13,0
0.279,1110145,6.803,1130,1373,13,0
0.311,150721,8.826,8421,18797,26,0
0.293,2240609,6.989,1840,1838,23,0
0.311,150721,8.826,8421,18797,26,0
0.311,150721,8.826,8421,18797,26,0
0.387,151169,9.604,23423,44378,26,1
0.368,150657,8.833,18190,31896,26,0
0.311,150721,8.826,8421,18797,26,0
0.311,150721,8.826,8421,18797,26,0
0.457,150657,8.786,18973,32392,26,0
0.412,86209,8.575,11537,20814,52,0
0.311,150721,8.869,10961,18972,26,0
0.311,150721,8.826,8421,18797,26,0
0.368,150657,8.833,18190,31896,26,0
0.314,150721,8.742,9027,19102,26,0
0.368,150657,8.833,18190,31896,26,0
0.314,150721,8.742,9027,19102,26,0
0.311,150721,8.826,8421,18797,26,0
0.387,151169,9.604,23423,44378,26,1
0.368,150657,8.833,18190,31896,26,0
0.311,150721,8.826,8421,18797,26,0
0.311,150721,8.826,8421,18797,26,0
0.311,150721,8.826,8421,18797,26,0
