pwr,lat,cp,lut,ff,dsp,bram
1.025,2321,9.91,79403,67830,178,0
1.008,2318,9.835,87828,68573,150,0
0.435,42753,8.434,11313,9209,40,0
0.791,183553,8.634,18002,10964,80,0
1.365,2457,9.691,53478,50291,197,0
0.985,2319,9.732,77220,67827,184,0
0.913,2319,9.738,67999,67394,224,0
1.313,2317,9.81,91485,68643,124,0
0.572,38657,8.915,11942,7124,27,0
0.839,183553,8.761,17800,10611,68,0
1.116,2457,9.649,66538,49906,141,0
1.643,2321,9.41,61691,66711,234,0
0.937,2475,9.656,74233,49885,110,0
0.638,41473,8.989,15556,8771,20,0
0.841,2466,9.306,52328,49187,200,0
0.572,185089,9.621,11701,7224,37,0
1.173,2457,9.634,56681,49936,171,0
0.977,2319,9.968,96060,68914,110,0
1.054,2318,9.673,90923,67873,124,0
0.565,348801,8.922,9729,6466,37,0
0.477,43009,8.945,14533,10713,43,0
0.431,39425,8.571,9381,6836,37,0
0.496,39425,9.318,9631,6853,37,0
0.851,2464,9.509,54398,49989,197,0
0.595,39425,8.489,11979,7028,27,0
0.322,39937,8.976,9690,6994,37,0
0.629,38913,8.611,12291,7076,27,0
0.398,39041,8.458,11319,9595,37,0
0.85,2320,9.805,67918,63787,198,0
0.68,38273,8.89,13833,9832,37,0
0.54,39041,9.051,11249,9783,37,0
0.584,39553,9.082,11037,9124,37,0
0.314,39425,8.563,9729,7050,37,0
0.403,43265,8.666,11596,9470,40,0
0.95,2319,9.331,77043,68208,184,0
0.401,38913,8.934,12031,7108,37,0
1.82,2455,9.724,70810,50229,121,0
0.323,39041,8.962,11212,9578,37,0
0.399,42753,9.039,10942,9083,37,0
0.388,42625,8.682,16723,14971,40,0
0.397,39425,8.741,9720,7207,47,0
0.527,39681,8.837,9690,7217,50,0
0.51,40449,8.659,9655,7039,40,0
0.436,20569,8.932,9142,6751,37,0
2.025,2477,9.531,55819,49851,180,0
0.735,2456,9.394,52716,48924,191,0
2.339,2467,9.61,53001,50302,200,0
0.393,20566,8.49,9381,6789,37,0
0.397,39425,8.803,9587,6823,47,0
1.827,2457,9.811,39317,48956,235,0
1.354,2457,9.693,49146,49913,211,0
1.07,2457,9.503,39809,49245,241,0
1.513,2457,9.423,43445,48767,221,0
0.427,20568,8.235,6865,6576,37,0
0.413,39681,8.343,6915,6539,47,0
1.53,2458,9.71,38501,48900,247,0
0.483,40705,8.671,9395,6717,37,0
1.513,2457,9.423,43445,48767,221,0
0.571,20567,9.023,9378,6947,37,0
1.48,2457,9.72,44098,49680,221,0
1.545,2458,9.443,38825,49074,247,0
0.507,20568,8.806,9451,6856,37,0
1.009,2458,9.853,37921,48345,241,0
1.908,2457,9.902,53179,50126,197,0
1.423,2456,9.492,52517,49144,191,0
1.634,2458,9.369,43767,49323,227,0
0.755,2456,9.875,53140,49063,191,0
0.883,2457,9.892,48473,49648,217,0
0.411,39681,8.582,6914,6537,47,0
0.394,39425,8.77,9586,6823,47,0
1.098,2457,9.54,48134,49036,211,0
0.402,39937,8.621,9657,6833,37,0
0.412,20567,8.568,9508,6915,37,0
0.582,20567,8.974,9535,6941,37,0
1.09,2457,9.283,43635,48789,221,0
0.403,20567,8.486,6841,6576,37,0
1.294,2458,9.631,39309,49378,241,0
0.42,20567,8.472,7095,6919,37,0
0.405,20568,8.604,9389,6861,37,0
0.418,20567,8.381,7034,6598,37,0
0.402,39425,8.687,6751,6452,47,0
0.413,39681,8.343,6915,6539,47,0
0.429,20568,8.541,6862,6582,37,0
1.64,2458,9.395,43356,49608,221,0
0.412,20567,8.79,9512,6928,37,0
0.973,2458,9.103,38460,48787,247,0
0.404,39681,8.861,9385,6713,37,0
1.123,2457,9.779,48329,49018,211,0
0.494,20568,8.677,9293,6873,37,0
0.394,39169,8.82,9386,6863,47,0
0.401,39681,8.474,6819,6601,47,0
0.572,20567,8.776,9492,6930,37,0
0.405,20568,8.604,9389,6861,37,0
0.528,39425,8.619,9393,6801,47,0
0.522,39169,8.782,9457,6943,47,0
1.942,2458,9.653,39692,49989,247,0
0.58,20567,8.976,9427,6801,37,0
0.395,20566,8.312,6929,6514,37,0
1.326,2456,9.746,53337,49358,191,0
0.757,2456,9.483,52544,48177,191,0
