pwr,lat,cp,lut,ff,dsp,bram
0.533,39937,8.844,12602,7292,27,0
0.724,336641,8.763,13266,7190,37,0
0.649,328449,8.874,11330,5967,37,0
0.891,2319,9.601,84817,66396,144,0
0.901,2318,9.778,75256,66020,178,0
1.133,170753,8.769,27573,12293,31,0
0.812,2453,9.649,77035,50276,107,0
1.442,2463,9.532,59913,50931,171,0
1.039,2463,9.688,56814,48748,171,0
0.409,38529,8.983,12769,9833,37,0
0.428,42881,8.886,16381,13787,40,0
0.492,38529,8.913,13618,10273,37,0
0.379,39937,8.826,10382,7022,37,0
0.385,45057,8.692,12809,9423,40,0
0.384,44289,8.728,12859,9620,37,0
0.426,39937,8.648,10189,7266,47,0
1.469,2457,9.63,49628,49695,217,0
1.506,2457,9.645,50157,50507,211,0
0.616,349697,8.731,9136,5690,37,0
0.379,39937,8.826,10382,7022,37,0
0.379,39937,8.826,10382,7022,37,0
1.039,2463,9.688,56814,48748,171,0
1.345,2463,9.67,58306,49435,177,0
1.039,2463,9.688,56814,48748,171,0
0.426,39937,8.648,10189,7266,47,0
0.426,39937,8.632,10124,7202,47,0
1.039,2463,9.688,56814,48748,171,0
0.426,39937,8.632,10124,7202,47,0
1.039,2463,9.688,56814,48748,171,0
0.633,185601,8.734,10898,6790,37,0
0.422,39937,9.0,10037,7064,37,0
0.812,2453,9.649,77035,50276,107,0
0.812,2453,9.649,77035,50276,107,0
0.8,2453,9.604,78290,51028,107,0
0.877,2453,9.587,78564,50270,81,0
0.981,2316,9.77,96489,69806,110,0
0.99,2453,9.481,81121,50706,81,0
0.965,2316,9.721,95352,69707,104,0
0.913,2453,9.675,79303,51437,87,0
0.974,2316,9.684,94391,68270,104,0
0.932,2453,9.621,79533,51445,87,0
0.409,38529,8.983,12769,9833,37,0
0.409,38529,8.983,12769,9833,37,0
0.409,38529,8.983,12769,9833,37,0
0.801,178817,8.793,17829,8899,50,0
0.409,38529,8.983,12769,9833,37,0
0.413,38529,8.982,12736,9885,37,0
0.409,38529,8.983,12769,9833,37,0
0.808,178817,8.7,18800,8828,50,0
0.439,38529,8.962,13478,9580,27,0
0.456,38529,8.763,10630,9383,37,0
0.433,44545,8.76,14207,13305,40,0
0.384,39681,8.633,10535,7142,47,0
1.086,2318,9.507,86194,68670,144,0
1.184,2454,9.595,64775,50023,141,0
1.04,2317,9.613,87581,69929,144,0
0.625,345345,8.612,11737,6687,50,0
0.587,20564,8.686,10132,7671,37,0
1.145,179201,8.783,28247,12092,71,0
0.639,340993,8.751,11182,6015,37,0
0.776,336897,8.786,15226,6927,40,0
0.383,39681,8.655,10369,6883,37,0
0.383,39681,8.655,10369,6883,37,0
0.383,39681,8.655,10369,6883,37,0
0.384,39681,8.629,10052,6894,37,0
0.626,345601,8.451,11933,6437,37,0
0.626,345601,8.451,11933,6437,37,0
0.384,39681,8.629,10052,6894,37,0
0.404,43521,8.588,12182,9537,40,0
0.414,43265,8.801,11242,9179,27,0
0.414,43265,8.801,11242,9179,27,0
1.145,179201,8.783,28245,12091,71,0
0.416,43777,8.798,11009,9287,27,0
0.429,43521,8.813,12263,9232,27,0
0.64,43777,8.696,11662,9423,37,0
0.72,337153,8.721,15623,7007,40,0
0.398,43777,8.676,11298,9384,37,0
0.421,39681,8.738,9768,6945,37,0
0.43,42497,8.948,12322,9939,43,0
0.503,20564,8.662,9735,7605,37,0
0.426,39937,8.781,8843,7123,37,0
0.426,39937,8.781,8843,7123,37,0
0.427,39169,8.792,9437,6999,37,0
0.641,340993,8.783,11154,6031,37,0
0.414,40193,8.793,9547,7157,37,0
0.384,43009,8.812,11441,9173,40,0
0.421,39681,8.727,9455,6954,37,0
1.285,2456,9.577,53804,48938,191,0
0.697,341249,8.953,10917,6004,37,0
0.588,20567,8.46,8710,7447,37,0
1.285,2458,9.487,60729,51024,151,0
0.908,2321,9.629,80601,68341,164,0
1.314,2456,9.586,64802,50586,151,0
0.617,20567,8.455,9688,6623,27,0
0.386,39681,8.807,10512,6989,37,0
0.386,39681,8.807,10512,6989,37,0
0.556,40193,8.881,12269,7050,27,0
0.386,39681,8.807,10512,6989,37,0
0.556,40193,8.881,12269,7050,27,0
0.524,39681,8.838,11835,7061,37,0
