pwr,lat,cp,lut,ff,dsp,bram
1.291,2457,9.431,70896,51622,147,0
0.959,2322,9.737,80814,69465,164,0
1.307,2455,9.499,66387,50688,141,0
0.934,2453,9.658,78897,51685,107,0
0.826,2453,9.603,76486,50088,101,0
0.603,332417,8.416,10231,6565,40,0
0.958,2319,9.583,88271,68580,118,0
1.493,2457,9.558,53484,49769,191,0
0.448,38785,8.907,12517,10099,37,0
1.024,2469,9.516,46047,49222,229,0
0.491,38529,8.875,14632,10005,27,0
0.598,332673,8.727,12201,6996,37,0
0.464,42369,8.9,13558,13331,40,0
0.617,328321,8.619,14085,7200,37,0
0.442,38785,8.877,11414,9788,37,0
0.674,332673,8.97,12113,7486,50,0
0.524,332929,8.829,11385,7380,50,0
0.5,38529,8.888,11591,9826,37,0
0.481,38529,8.861,13053,9595,27,0
0.673,177281,9.012,12649,8353,50,0
0.464,38785,8.846,11367,9371,37,0
0.449,42625,8.756,14558,13813,38,0
0.43,38529,8.873,11031,9719,37,0
0.399,43649,8.922,15192,14681,37,0
0.427,43649,8.82,15294,14786,38,0
0.44,38785,8.788,10478,9072,37,0
0.475,39041,8.921,12163,9182,27,0
0.438,44161,8.692,13742,13067,43,0
0.413,41857,8.812,15363,13488,43,0
0.473,42881,8.761,17040,14079,40,0
0.449,38529,8.757,10768,9453,37,0
1.084,2458,9.551,42559,48521,221,0
1.001,2321,9.554,60420,66420,234,0
0.446,38657,8.655,10915,6741,27,0
1.464,2457,9.605,65236,51159,141,0
0.507,39169,8.568,12689,6935,27,0
1.235,2457,9.567,65245,51082,141,0
0.461,38657,8.659,11499,7049,37,0
1.28,2457,9.682,60647,50895,151,0
0.938,2457,9.533,61231,49798,157,0
0.552,38913,8.84,11152,7226,27,0
0.508,39681,8.672,11595,6927,27,0
0.503,38913,8.702,12330,7215,37,0
0.474,39041,8.769,12942,9154,27,0
0.488,39169,8.68,11554,6732,27,0
1.458,2457,9.55,64591,50981,141,0
0.563,38657,8.741,10869,6996,27,0
0.421,39937,8.625,11519,9151,37,0
1.423,2457,9.573,57535,50343,177,0
1.35,2457,9.627,54410,48571,177,0
1.295,2456,9.589,62502,49760,151,0
0.465,39041,8.902,12543,9325,28,0
0.457,38785,8.749,10759,9529,36,0
0.425,39297,8.835,11222,10072,27,0
0.522,38913,8.761,10853,7337,37,0
0.491,38529,8.925,10903,10229,37,0
0.526,38273,8.755,13715,9339,27,0
0.432,38529,8.863,11708,9903,27,0
0.413,39041,8.806,11697,9934,37,0
0.493,38785,8.73,12936,10447,37,0
0.495,39041,8.806,13000,9567,37,0
0.474,39553,8.91,12475,10268,36,0
0.427,39041,8.785,10715,9343,37,0
0.686,336513,8.531,14951,7641,37,0
0.443,39041,8.617,11646,10030,40,0
0.461,38017,8.795,14128,9857,17,0
0.444,39041,8.903,10473,9369,36,0
0.395,39169,8.728,9652,7050,37,0
0.683,341249,8.409,13518,6944,50,0
0.62,345089,8.549,10567,5907,37,0
0.647,341249,8.528,12245,6891,50,0
0.432,39681,8.852,9689,7019,37,0
0.493,38529,8.916,11303,9522,27,0
0.43,38785,8.817,10390,9618,37,0
0.405,40193,8.87,10471,6988,37,0
0.385,38913,8.776,10699,7217,37,0
0.389,39425,8.768,9682,7148,37,0
0.7,333057,8.58,12886,6236,37,0
0.429,43009,8.84,13404,9782,40,0
1.373,2465,9.602,68017,50833,147,0
1.398,2464,9.549,72791,50803,115,0
1.2,2453,9.674,78665,50850,87,0
0.581,332673,8.566,9823,5589,40,0
0.524,38401,8.934,14603,10660,17,0
0.413,42753,8.606,11837,8930,37,0
0.447,43009,8.719,14299,9421,33,0
0.452,39169,8.863,12427,7390,37,0
0.372,38913,8.673,9684,6779,37,0
1.483,2456,9.628,57634,50055,165,0
0.395,38913,8.646,9169,6926,47,0
0.398,38657,8.707,9171,6691,37,0
0.398,38657,8.663,9329,6682,37,0
0.394,38657,8.628,9657,6736,37,0
0.606,20563,8.381,12363,7307,27,0
0.675,336897,8.749,12038,6251,37,0
0.531,20561,8.479,12264,7333,27,0
0.531,20561,8.488,11950,7303,27,0
0.392,42497,8.731,11992,8574,27,0
0.644,336897,8.631,11408,6009,27,0
0.603,38657,8.75,12484,7148,37,0
