pwr,lat,cp,lut,ff,dsp,bram
0.472,41985,8.846,20550,15535,30,0
0.462,39425,8.887,12343,7050,27,0
0.991,185089,8.857,25214,13043,80,0
0.991,2318,9.604,68068,65213,198,0
0.475,42241,8.772,13267,8959,27,0
1.097,2476,9.615,75052,52193,130,0
1.346,2457,9.609,44550,47620,221,0
0.585,336641,8.709,12158,6972,37,0
0.998,2321,9.536,68488,65434,210,0
1.521,2456,9.461,65254,50294,141,0
0.586,42241,8.724,12929,9153,27,0
0.454,39425,8.88,12099,6972,27,0
1.075,2317,9.554,89771,69763,130,0
0.46,39425,8.857,12266,7085,27,0
0.667,341505,9.103,11625,5753,27,0
0.996,2457,9.58,63818,51657,157,0
0.824,345217,8.944,11136,8047,50,0
0.466,42113,8.965,19324,14150,33,0
0.749,181761,8.709,14549,7979,37,0
1.169,2453,9.592,79092,50417,81,0
1.376,2465,9.769,72928,51726,127,0
0.452,38657,8.548,11930,7271,27,0
0.911,2464,9.416,51041,49309,205,0
0.988,2465,9.382,60369,48797,165,0
0.959,2465,9.445,58756,49598,165,0
0.448,38657,8.625,11576,7092,27,0
1.297,2464,9.676,69365,51044,135,0
1.317,2464,9.522,56461,49941,197,0
0.813,2461,9.468,60636,49761,145,0
1.156,2455,9.746,70277,51819,141,0
0.523,20563,8.727,9777,7520,37,0
0.461,20563,8.76,9595,7487,37,0
0.46,20563,8.68,10136,7510,37,0
0.533,20563,8.661,10158,7541,37,0
0.511,42113,8.892,15216,14252,29,0
0.739,180865,8.794,14511,8203,50,0
0.444,43137,8.897,15177,14841,37,0
0.415,39425,8.812,9166,7153,37,0
0.439,39041,8.558,10209,9645,40,0
0.425,39169,8.92,9115,7095,37,0
0.583,42497,8.755,11222,9202,40,0
0.565,20563,8.552,10230,7255,37,0
0.429,39425,8.673,8498,6990,37,0
0.485,20563,8.641,9533,7387,37,0
0.911,2464,9.416,51041,49309,205,0
0.936,2464,9.381,49873,49192,205,0
0.919,2461,9.463,60714,49898,145,0
0.813,2461,9.468,60636,49761,145,0
0.935,2464,9.447,49732,49003,205,0
0.965,2464,9.486,50257,49334,205,0
0.813,2461,9.468,60636,49761,145,0
0.485,20563,8.641,9533,7387,37,0
0.509,20563,8.623,9113,7274,37,0
0.415,43009,8.844,11022,9349,37,0
0.475,20565,8.518,9014,7293,37,0
0.741,344833,8.867,14531,7089,40,0
0.491,20564,8.468,9018,6344,37,0
0.444,39041,8.787,11138,9717,36,0
0.638,348929,8.727,10353,5866,37,0
1.14,2463,9.639,61504,50409,171,0
0.508,348929,8.8,9827,6303,37,0
0.413,39169,8.751,10219,7203,37,0
0.427,20563,8.805,9007,7288,37,0
0.427,20563,8.805,9007,7288,37,0
0.442,20563,8.816,9267,7824,37,0
0.48,20563,8.775,9341,6533,37,0
0.56,20564,8.908,8524,7361,37,0
0.328,20563,8.597,9384,7291,37,0
0.607,340993,8.822,10325,6261,50,0
0.744,332545,8.681,16202,8003,50,0
1.268,2460,9.575,66953,50318,141,0
0.937,2461,9.672,63027,49681,145,0
0.913,2456,9.515,62773,50086,151,0
0.364,39169,8.474,12604,7503,37,0
0.72,332545,8.615,13227,6208,30,0
0.507,38913,8.689,11246,7070,37,0
0.476,38785,8.752,13851,9756,27,0
0.47,39041,8.874,11574,10217,37,0
0.514,20564,8.697,9820,7029,37,0
0.609,336641,8.435,10946,5958,37,0
0.672,344705,8.628,12241,7309,50,0
0.522,43137,8.944,15282,14979,40,0
0.829,336897,8.567,15611,6963,40,0
0.712,345089,8.937,12788,7120,37,0
0.707,328449,8.644,13044,6898,37,0
0.7,328321,8.642,13540,7049,37,0
1.264,2463,9.519,58451,49806,171,0
0.641,336641,8.737,9865,6460,50,0
0.366,44545,8.644,10890,9230,37,0
1.149,2475,9.53,62989,49734,150,0
0.443,39169,8.798,9647,7014,40,0
0.698,179201,8.923,15987,7491,27,0
0.489,39041,8.742,12869,10377,37,0
0.833,2461,9.64,60053,49544,145,0
0.597,341249,8.767,8745,5613,37,0
0.584,336897,8.625,9583,5960,37,0
0.977,2453,9.623,77049,50541,107,0
0.683,328321,8.702,11827,6583,30,0
0.546,20564,8.662,10644,7247,37,0
0.454,39169,8.804,12564,7512,37,0
