pwr,lat,cp,lut,ff,dsp,bram
1.124,2457,9.538,68328,50860,147,0
0.94,2338,9.837,91604,70409,133,0
0.901,2338,9.69,88010,66482,133,0
0.618,349185,8.143,10690,6171,40,0
1.073,2457,9.626,58798,49466,171,0
0.845,44161,8.997,17129,14540,27,0
0.734,336769,8.781,14883,7225,40,0
1.104,2317,9.579,83182,70237,164,0
0.944,2462,9.585,60280,50172,157,0
0.578,349441,8.779,9654,5846,37,0
0.965,2318,9.621,86618,68362,150,0
0.988,2319,9.717,67691,67342,223,0
1.276,2457,9.564,61407,50603,151,0
1.167,177025,8.84,30083,13990,71,0
1.337,2464,9.645,55722,50767,191,0
1.019,2317,9.559,74754,68429,184,0
1.37,2463,9.643,60639,50828,177,0
1.075,2321,9.713,75101,67865,210,0
1.233,2460,9.644,66312,51008,147,0
0.45,42369,9.097,13862,14357,39,0
1.105,179073,9.048,26316,13226,74,0
0.961,2332,9.67,72536,68774,204,0
0.795,336641,8.734,15447,8108,30,0
0.474,39425,8.822,12753,7234,37,0
0.844,175361,8.834,18714,8744,48,0
0.692,177153,9.142,13373,7544,53,0
0.551,38785,8.845,13138,9305,27,0
0.721,324609,8.64,14060,6126,20,0
0.486,41985,8.917,16610,9673,30,0
1.628,2458,9.579,52099,50365,197,0
0.465,43137,8.813,12793,12799,37,0
0.949,2332,9.761,92430,69897,124,0
0.405,43137,8.88,16418,14881,40,0
1.011,2320,9.651,76876,68275,164,0
1.268,2462,9.565,57785,50055,171,0
1.099,2316,9.679,85344,67900,144,0
1.446,2475,9.597,61967,49670,160,0
0.42,41985,8.816,14813,9759,33,0
0.659,340993,8.602,11801,6180,27,0
0.474,42241,8.904,21597,16663,33,0
1.003,2321,9.579,65780,65393,218,0
1.286,2453,9.468,70524,48952,115,0
0.547,38785,8.505,12228,9910,40,0
0.882,177153,8.834,17009,11113,94,0
1.01,2320,9.758,78531,70057,190,0
1.036,2462,9.543,79258,51254,75,0
0.516,39169,9.007,12176,7099,37,0
0.486,38785,8.967,11490,9798,27,0
0.785,2454,9.383,69370,50581,147,0
0.393,44545,8.593,11414,9383,43,0
0.799,336769,8.751,15564,7582,30,0
1.106,2453,9.587,65226,50303,151,0
1.473,2456,9.473,65570,51069,135,0
1.041,173057,8.854,23985,10977,34,0
0.729,176769,8.807,13986,8037,50,0
0.868,2454,9.602,68880,49647,127,0
1.297,2457,9.62,58148,50910,151,0
1.081,2317,9.611,73630,67624,190,0
0.959,2320,9.481,67128,65917,224,0
0.925,2453,9.58,78106,51852,107,0
0.972,2321,9.71,68946,66341,210,0
0.674,336769,8.736,13269,7971,37,0
0.501,42241,8.821,15961,12212,49,0
0.647,42497,8.915,15418,9622,27,0
1.145,2455,9.658,59145,50081,151,0
0.966,181249,8.636,21087,10960,74,0
0.628,348929,8.887,12514,7025,37,0
1.251,2457,9.584,63400,51521,151,0
1.567,2454,9.446,63427,48369,147,0
0.416,47105,8.746,12554,8855,30,0
1.001,2317,9.521,87984,65938,130,0
0.644,44801,8.827,23806,12245,48,0
0.972,2320,9.733,78593,69297,164,0
0.894,2319,9.567,91877,69446,130,0
0.963,180993,8.867,23263,12027,74,0
0.4,42753,9.103,10882,9086,37,0
1.0,2321,9.675,76740,68562,204,0
0.44,41729,8.78,12073,8527,27,0
0.491,38657,8.692,11095,7406,27,0
0.992,2321,9.754,84533,69558,170,0
0.429,43777,8.861,13100,9040,27,0
0.94,2338,9.837,91604,70409,133,0
0.465,43009,8.917,16369,13512,30,0
0.877,2453,9.607,74951,50569,107,0
0.958,2320,9.63,94373,71567,124,0
0.99,2317,9.54,95798,67797,90,0
0.497,38529,8.797,12598,9811,40,0
0.885,41857,8.882,19530,14510,36,0
0.977,2453,9.521,79453,51772,107,0
1.009,2332,9.484,58710,67610,254,0
0.455,42753,8.946,13022,8590,27,0
0.901,2475,9.611,65717,49892,150,0
0.708,336897,8.751,13256,7374,27,0
0.939,2319,9.556,72461,66011,204,0
0.475,20563,8.664,13816,8149,27,0
0.463,42113,9.107,14359,14322,39,0
0.433,39425,8.658,8812,6806,37,0
0.526,42113,8.809,21267,15001,39,0
0.945,2319,9.599,74254,67469,184,0
0.959,2319,9.609,70480,64815,198,0
