pwr,lat,cp,lut,ff,dsp,bram
1.291,2457,9.431,70896,51622,147,0
1.282,2457,9.376,70498,51404,141,0
1.189,2457,9.454,65701,51475,157,0
1.183,2457,9.377,65828,51139,151,0
1.183,2457,9.377,65828,51139,151,0
0.929,2457,9.424,62995,50861,151,0
1.49,2457,9.47,69804,51644,147,0
1.458,2457,9.51,67691,51192,147,0
1.55,2457,9.481,67122,50643,147,0
1.448,2457,9.474,67210,51139,147,0
1.074,2457,9.412,70653,51323,147,0
1.074,2457,9.412,70653,51323,147,0
1.07,2457,9.423,68204,50612,147,0
1.07,2457,9.423,68204,50612,147,0
1.442,2457,9.472,66443,50770,147,0
0.963,2465,9.536,80338,52070,107,0
0.963,2465,9.536,80338,52070,107,0
1.352,2465,9.551,78781,51724,107,0
1.352,2465,9.551,78781,51724,107,0
1.301,2465,9.587,78329,51738,107,0
1.347,2465,9.538,81343,51882,107,0
1.352,2465,9.551,78781,51724,107,0
1.325,2457,9.406,70323,51435,147,0
1.033,2465,9.565,68823,51439,147,0
1.202,2465,9.617,72254,51644,127,0
1.316,2465,9.541,73931,51946,127,0
1.307,2465,9.53,78870,52098,107,0
1.352,2465,9.551,78781,51724,107,0
1.296,2465,9.573,78220,52509,107,0
1.321,2465,9.666,76157,51900,107,0
1.321,2465,9.666,76157,51900,107,0
1.073,2465,9.648,74289,51774,107,0
1.309,2465,9.736,71874,51487,127,0
1.309,2465,9.736,71874,51487,127,0
1.238,2465,9.664,68269,51555,147,0
1.469,2465,9.729,67904,50824,147,0
1.211,2465,9.602,69965,52080,147,0
1.31,2465,9.642,68985,51787,147,0
1.307,2465,9.677,66944,51034,147,0
1.316,2465,9.682,69202,51010,147,0
1.342,2465,9.694,69205,51121,147,0
1.305,2465,9.695,67545,51255,147,0
1.255,2476,9.7,68102,51917,150,0
1.217,2465,9.713,73516,52184,127,0
1.25,2475,9.749,73526,51706,130,0
1.35,2457,9.645,63009,51177,157,0
1.334,2457,9.516,67525,51293,147,0
1.334,2457,9.516,67525,51293,147,0
1.209,2457,9.513,62392,50909,157,0
1.024,2457,9.625,61449,51450,177,0
1.248,2475,9.64,62269,50954,160,0
1.393,2475,9.634,62174,51019,160,0
0.974,2466,9.621,67427,51286,150,0
0.914,2466,9.621,67697,51688,150,0
0.915,2466,9.624,67374,51618,150,0
0.898,2457,9.552,68660,51903,147,0
0.915,2466,9.624,67374,51618,150,0
0.917,2457,9.563,68880,51325,147,0
1.333,2457,9.554,67887,51585,147,0
0.961,2457,9.56,68632,51273,147,0
0.899,2457,9.499,61882,50750,157,0
0.863,2475,9.561,60554,50480,160,0
1.169,2466,9.616,61317,51292,180,0
1.123,2457,9.494,62769,50990,157,0
1.157,2475,9.55,62183,50876,160,0
1.157,2475,9.55,62183,50876,160,0
1.067,2475,9.603,60868,51031,160,0
1.389,2475,9.639,60694,51237,160,0
0.891,2475,9.558,63934,51062,160,0
1.145,2475,9.537,63341,51055,160,0
0.962,2475,9.609,61500,51161,160,0
1.253,2475,9.604,61214,51020,160,0
1.204,2475,9.627,61748,50790,160,0
1.311,2469,9.568,64115,51473,160,0
1.226,2457,9.501,64227,51353,157,0
0.922,2475,9.664,63089,50809,160,0
0.949,2475,9.639,64728,51246,160,0
1.032,2475,9.639,64400,50343,160,0
0.934,2475,9.52,61316,50550,160,0
1.023,2475,9.635,63995,50473,160,0
0.893,2466,9.519,67559,50893,150,0
1.032,2475,9.639,64400,50343,160,0
0.831,2457,9.424,63941,50950,157,0
0.994,2475,9.582,61483,50600,160,0
1.034,2457,9.495,62866,50917,157,0
0.831,2457,9.424,63941,50950,157,0
0.896,2457,9.498,63540,51053,157,0
1.271,2457,9.42,63204,51126,157,0
0.956,2457,9.46,62957,51081,157,0
1.328,2457,9.487,63240,51107,157,0
0.896,2457,9.498,63540,51053,157,0
0.893,2466,9.519,67559,50893,150,0
0.93,2457,9.437,63129,50928,157,0
0.841,2475,9.515,62025,50780,160,0
0.841,2475,9.515,62025,50780,160,0
1.05,2475,9.561,61371,50988,160,0
0.841,2475,9.515,62025,50780,160,0
0.906,2475,9.514,62166,50995,160,0
1.185,2457,9.436,63841,51248,157,0
0.839,2475,9.56,73578,52180,130,0
