pwr,cp,lut,ff,dsp,bram
0.263,6.558,1044,1065,10,0
0.282,7.425,2418,2063,16,0
0.26,6.253,1999,1308,6,0
0.269,5.624,2535,2240,17,0
0.27,7.425,1606,1385,15,0
0.279,6.55,2048,1588,18,0
0.3,6.198,2743,2525,21,0
0.267,6.225,1637,1346,10,0
0.295,7.49,2352,2017,16,0
0.271,4.813,1883,1343,13,0
0.265,6.554,1280,1025,7,0
0.348,7.531,3618,3452,50,0
0.271,5.074,946,689,5,0
0.261,4.606,1070,711,4,0
0.298,7.029,2814,2698,20,0
0.474,7.746,7661,5735,42,0
0.269,6.148,1727,1568,12,0
0.3,6.118,2820,2577,15,0
0.264,5.829,1709,1219,10,0
0.276,6.17,1876,1875,16,0
0.258,4.638,978,593,4,0
0.256,5.249,1091,570,4,0
0.256,4.244,1056,542,4,0
0.261,5.198,1163,676,4,0
0.257,4.384,947,567,4,0
0.256,3.696,853,603,3,0
0.253,4.497,784,615,1,0
0.255,4.472,920,656,1,0
0.263,4.636,1130,962,1,0
0.258,5.148,1010,702,1,0
0.256,4.317,918,660,1,0
0.269,4.823,1322,1015,11,0
0.264,4.565,1131,966,1,0
0.255,5.927,861,640,2,0
0.251,3.988,698,514,2,0
0.478,7.55,7697,5626,38,0
0.253,5.381,763,603,2,0
0.295,7.397,2268,2491,38,0
0.485,7.731,7658,5695,37,0
0.255,5.013,1569,1213,2,0
0.253,4.221,762,485,3,0
0.25,4.076,688,510,2,0
0.258,4.389,1000,645,2,0
0.266,5.906,881,799,9,0
0.251,3.988,698,514,2,0
0.256,3.737,892,597,3,0
0.28,5.139,1661,1482,15,0
0.26,5.898,1130,615,4,0
0.255,3.845,704,593,3,0
0.266,6.297,1265,957,4,0
0.274,4.854,1237,927,9,0
0.255,4.372,776,579,1,0
0.255,3.591,713,600,3,0
0.258,4.242,999,654,3,0
0.254,3.975,800,577,2,0
0.254,3.789,750,551,3,0
0.254,4.701,794,529,3,0
0.253,3.743,747,600,3,0
0.254,4.05,748,602,3,0
0.252,5.644,745,470,4,0
0.256,3.859,861,619,3,0
0.252,4.869,771,491,3,0
0.281,5.945,1669,1441,9,0
0.278,6.643,1753,1447,10,0
0.252,4.105,782,456,4,0
0.253,3.586,779,571,2,0
0.249,5.716,705,472,2,0
0.265,5.945,1143,1032,6,0
0.265,6.101,920,824,8,0
0.251,5.941,757,479,2,0
0.255,6.2,982,583,3,0
0.249,3.889,632,496,2,0
0.253,6.312,908,584,3,0
0.257,5.772,1173,779,3,0
0.267,5.052,1652,1201,11,0
0.255,5.061,834,583,3,0
0.254,6.017,1209,686,4,0
0.252,5.276,716,522,1,0
0.253,4.788,1051,650,5,0
0.283,7.479,1424,1587,31,0
0.257,6.887,1099,1061,7,0
0.249,5.68,657,462,2,0
0.268,4.914,873,883,9,0
0.25,3.905,654,509,1,0
0.254,6.586,831,558,3,0
0.256,6.029,861,675,3,0
0.257,5.48,808,579,0,0
0.257,7.382,1023,746,2,0
0.253,6.351,912,578,7,0
0.268,5.034,1383,1207,11,0
0.259,6.296,936,636,2,0
0.251,3.837,619,509,2,0
0.251,3.837,619,509,2,0
0.254,6.414,880,549,4,0
0.255,4.248,969,681,1,0
0.251,7.158,801,543,1,0
0.267,6.969,1817,1344,10,0
0.253,4.174,787,576,2,0
0.253,7.015,776,521,3,0
0.257,5.206,953,648,1,0
