pwr,cp,lut,ff,dsp,bram
0.279,6.298,1965,1601,16,0
0.442,8.052,8154,6266,42,0
0.482,7.882,8548,6179,42,0
0.263,6.52,1954,1010,4,0
0.278,6.698,2185,1880,14,0
0.464,8.022,9245,7131,46,0
0.26,6.545,1329,1112,8,0
0.31,6.31,2576,2898,27,0
0.284,6.049,2263,2088,17,0
0.279,6.142,2139,1553,8,0
0.261,6.648,1380,1144,14,0
0.258,6.534,1307,1065,12,0
0.262,6.607,1561,1249,13,0
0.264,6.489,1053,1053,12,0
0.264,6.489,1053,1053,12,0
0.255,6.638,988,689,4,0
0.255,6.638,988,689,4,0
0.255,6.638,988,689,4,0
0.274,5.557,2296,1871,16,0
0.255,6.638,988,689,4,0
0.255,6.638,988,689,4,0
0.274,5.557,2296,1871,16,0
0.274,5.557,2296,1871,16,0
0.274,5.557,2296,1871,16,0
0.255,6.638,988,689,4,0
0.255,6.638,988,689,4,0
0.274,5.557,2296,1871,16,0
0.26,6.516,1183,1087,14,0
0.274,5.557,2296,1871,16,0
0.274,6.208,1628,1558,17,0
0.273,6.58,1428,1156,16,0
0.274,6.208,1628,1558,17,0
0.274,6.256,2042,1777,13,0
0.254,5.421,876,623,3,0
0.268,5.394,1587,1264,12,0
0.266,5.383,1518,1375,12,0
0.267,5.357,1604,1290,12,0
0.283,7.208,2016,1819,36,0
0.272,5.718,1246,967,11,0
0.295,7.822,2602,2382,42,0
0.267,5.391,1532,1307,12,0
0.263,5.315,1524,1240,12,0
0.268,5.458,882,706,8,0
0.292,7.403,2135,2074,37,0
0.255,5.508,985,650,2,0
0.262,5.259,1465,1276,10,0
0.451,7.461,7399,5415,33,0
0.253,5.609,1154,813,2,0
0.253,5.609,1154,813,2,0
0.274,6.636,1648,1397,14,0
0.248,3.829,684,499,1,0
0.273,6.104,1284,1185,12,0
0.263,4.528,999,634,2,0
0.262,3.945,935,697,2,0
0.261,5.021,1162,942,2,0
0.259,6.596,1591,1430,13,0
0.248,3.829,684,499,1,0
0.262,3.945,935,697,2,0
0.262,3.945,935,697,2,0
0.262,3.945,935,697,2,0
0.262,3.945,935,697,2,0
0.257,4.125,935,611,1,0
0.256,4.63,974,615,0,0
0.257,4.125,935,611,1,0
0.257,4.125,935,611,1,0
0.257,4.125,935,611,1,0
0.257,4.125,935,611,1,0
0.256,4.63,974,615,0,0
0.257,4.125,935,611,1,0
0.257,4.125,935,611,1,0
0.256,4.63,974,615,0,0
0.257,4.125,935,611,1,0
0.257,4.125,935,611,1,0
0.257,4.125,935,611,1,0
0.257,4.125,935,611,1,0
0.257,4.125,935,611,1,0
0.257,4.216,973,611,1,0
0.257,4.125,935,611,1,0
0.248,4.115,746,521,0,0
0.262,3.945,935,697,2,0
0.257,3.764,755,568,2,0
0.268,6.734,2194,1661,15,0
0.268,6.734,2194,1661,15,0
0.268,6.734,2194,1661,15,0
0.268,6.734,2194,1661,15,0
0.276,6.222,1654,1454,15,0
0.268,6.734,2194,1661,15,0
0.252,4.201,965,650,3,0
0.258,5.075,1197,776,2,0
0.253,5.475,890,556,3,0
0.256,4.218,729,540,3,0
0.257,3.764,755,568,2,0
0.257,3.764,755,568,2,0
0.257,3.764,755,568,2,0
0.257,3.764,755,568,2,0
0.257,3.764,755,568,2,0
0.257,3.764,755,568,2,0
0.257,3.764,755,568,2,0
0.257,3.764,755,568,2,0
0.257,3.764,755,568,2,0
