pwr,cp,lut,ff,dsp,bram
0.291,6.317,2576,2297,21,0
0.285,5.67,1631,1442,12,0
0.311,7.073,4083,3023,25,0
0.261,5.518,984,600,4,0
0.273,6.302,2061,1827,12,0
0.26,5.488,1498,1125,9,0
0.265,5.555,1576,912,6,0
0.263,6.393,1556,1481,13,0
0.534,7.682,9391,6809,46,0
0.299,6.694,2503,2255,12,0
0.263,5.794,1110,582,6,0
0.254,4.902,700,455,3,0
0.254,4.902,700,455,3,0
0.274,5.504,970,1079,8,0
0.253,4.629,690,456,2,0
0.252,3.995,758,475,2,0
0.252,3.995,758,475,2,0
0.316,5.027,2338,2063,21,0
0.252,3.995,758,475,2,0
0.253,4.178,840,513,2,0
0.255,4.121,770,553,2,0
0.264,6.1,1006,842,3,0
0.252,4.579,761,486,2,0
0.258,4.817,979,618,5,0
0.287,5.511,1303,1446,11,0
0.253,4.699,641,507,2,0
0.268,5.118,1385,1301,11,0
0.263,5.253,1295,1286,7,0
0.248,4.003,727,446,2,0
0.278,5.527,1357,1393,10,0
0.253,5.69,1339,818,4,0
0.26,6.122,1419,862,6,0
0.295,6.435,2216,1818,19,0
0.286,5.233,1536,1460,15,0
0.284,6.396,1940,1654,12,0
0.294,6.275,1918,1784,19,0
0.282,6.604,2119,1720,10,0
0.267,5.93,1693,1058,8,0
0.263,4.714,1554,1211,9,0
0.28,6.591,1475,1226,17,0
0.294,6.767,2453,2015,12,0
0.276,5.925,1650,1443,11,0
0.298,6.438,2753,2114,19,0
0.287,6.147,1941,1858,19,0
0.274,5.48,1449,1188,9,0
0.289,6.372,2396,1898,10,0
0.266,5.175,1423,1196,10,0
0.268,5.626,1620,1192,9,0
0.256,4.548,1092,596,4,0
0.281,6.237,2314,1745,16,0
0.274,6.405,1837,1402,6,0
0.253,5.008,846,519,2,0
0.271,7.241,1858,1837,33,0
0.25,4.819,790,479,1,0
0.278,6.176,1563,1276,7,0
0.288,6.414,2435,2089,13,0
0.253,5.344,997,585,2,0
0.252,4.733,618,438,3,0
0.249,4.697,689,431,3,0
0.252,4.733,618,438,3,0
0.249,4.697,689,431,3,0
0.252,5.579,659,401,3,0
0.252,4.733,618,438,3,0
0.249,4.697,689,431,3,0
0.25,4.723,671,442,3,0
0.249,4.654,648,449,2,0
0.256,4.156,1000,561,4,0
0.249,4.654,648,449,2,0
0.263,5.108,1168,1186,7,0
0.259,4.384,1430,937,6,0
0.27,5.464,1005,850,9,0
0.259,5.052,1460,1375,12,0
0.281,5.555,1420,1288,15,0
0.267,6.22,1675,1214,8,0
0.252,4.037,823,568,1,0
0.438,7.534,7984,5922,38,0
0.306,5.896,3315,2689,17,0
0.265,5.126,1228,1105,7,0
0.249,5.365,949,605,2,0
0.262,5.951,1123,605,8,0
0.253,5.884,735,581,3,0
0.312,6.569,3552,2973,23,0
0.266,5.844,2029,1147,0,0
0.325,6.942,4434,4066,32,0
0.291,6.629,2545,2034,8,0
0.265,6.103,1096,812,6,0
0.338,6.288,3704,3180,29,0
0.275,5.502,2066,1359,13,0
0.271,6.137,1835,1408,10,0
0.258,4.204,1012,566,5,0
0.28,6.0,1700,1467,13,0
0.259,4.722,1057,611,4,0
0.265,5.402,1446,748,7,0
0.255,5.107,860,485,2,0
0.254,5.407,930,544,4,0
0.448,8.197,8264,6130,36,0
0.271,5.439,1326,1302,8,0
0.257,4.541,1000,579,2,0
0.282,6.434,1866,1619,11,0
0.278,5.678,2189,1719,11,0
