pwr,cp,lut,ff,dsp,bram
0.492,7.757,8922,6571,45,0
0.272,5.732,1527,1456,15,0
0.267,5.666,1757,883,12,0
0.277,6.275,2434,1944,10,0
0.286,6.92,1767,1753,21,0
0.307,6.653,3741,2861,18,0
0.289,6.138,2117,1910,19,0
0.252,4.407,754,478,2,0
0.265,6.404,1323,1065,14,0
0.26,4.927,1116,650,2,0
0.252,4.407,754,478,2,0
0.252,4.407,754,478,2,0
0.252,5.255,770,568,2,0
0.252,4.839,748,481,3,0
0.262,5.737,875,819,8,0
0.276,5.716,1259,1024,7,0
0.254,4.314,764,465,2,0
0.249,4.256,742,455,2,0
0.249,4.253,730,446,2,0
0.252,3.603,806,536,0,0
0.26,6.044,1227,837,5,0
0.245,3.85,751,524,0,0
0.251,4.095,738,546,0,0
0.256,4.682,1018,591,3,0
0.246,4.023,809,510,0,0
0.253,4.044,789,525,1,0
0.249,4.367,802,527,0,0
0.256,5.214,1330,631,4,0
0.264,5.758,1150,806,7,0
0.257,4.055,1038,614,1,0
0.254,3.558,771,514,1,0
0.252,3.807,771,506,1,0
0.244,3.952,791,501,1,0
0.256,4.106,727,481,2,0
0.254,4.413,1031,584,0,0
0.256,4.373,786,534,1,0
0.257,5.404,1007,523,2,0
0.246,4.072,763,504,1,0
0.247,4.159,807,458,1,0
0.277,5.802,1540,1404,12,0
0.258,5.341,1036,576,4,0
0.25,4.453,890,521,3,0
0.295,5.58,2220,1939,24,0
0.296,7.853,2703,2664,41,0
0.255,4.889,963,528,0,0
0.269,6.418,1799,1343,6,0
0.268,7.377,1663,1617,32,0
0.252,5.52,975,576,2,0
0.259,5.197,1144,801,6,0
0.257,5.784,1230,747,5,0
0.25,3.96,654,440,2,0
0.258,5.609,1191,831,4,0
0.255,5.308,851,622,2,0
0.264,6.471,1226,796,7,0
0.252,4.851,903,497,3,0
0.254,4.913,946,745,0,0
0.25,4.326,923,574,0,0
0.248,4.898,679,454,3,0
0.279,5.583,1206,960,12,0
0.251,4.899,715,560,3,0
0.249,4.689,819,549,1,0
0.26,4.623,1211,649,7,0
0.292,6.506,2177,1875,14,0
0.264,6.026,1222,1288,8,0
0.267,5.864,1408,1104,11,0
0.249,4.679,843,479,3,0
0.242,4.469,681,472,1,0
0.266,5.508,950,903,6,0
0.25,4.797,819,502,1,0
0.251,4.526,767,519,1,0
0.25,3.736,712,492,1,0
0.244,3.874,745,485,1,0
0.248,3.889,744,486,1,0
0.247,3.86,720,502,1,0
0.244,3.938,778,497,1,0
0.255,4.138,689,498,2,0
0.248,4.625,842,584,1,0
0.247,3.939,688,468,2,0
0.245,5.002,747,462,2,0
0.253,4.413,1026,549,1,0
0.251,4.37,782,519,1,0
0.264,6.086,1033,819,7,0
0.242,3.84,798,500,1,0
0.251,3.628,751,475,1,0
0.258,4.622,793,553,1,0
0.247,3.405,871,461,2,0
0.245,3.527,806,500,1,0
0.245,3.527,806,500,1,0
0.251,3.41,915,474,2,0
0.247,3.851,762,486,1,0
0.244,4.059,720,449,2,0
0.265,5.921,981,817,8,0
0.251,4.133,773,564,1,0
0.243,3.469,788,497,1,0
0.25,4.367,783,579,1,0
0.244,3.938,761,507,1,0
0.249,3.555,774,498,1,0
0.25,4.859,1008,661,2,0
0.256,4.909,747,587,3,0
0.253,5.153,848,579,3,0
