pwr,cp,lut,ff,dsp,bram
0.291,6.317,2576,2297,21,0
0.285,5.67,1631,1442,12,0
0.311,7.073,4083,3023,25,0
0.261,5.518,984,600,4,0
0.273,6.302,2061,1827,12,0
0.26,5.488,1498,1125,9,0
0.265,5.555,1576,912,6,0
0.263,6.393,1556,1481,13,0
0.534,7.682,9391,6809,46,0
0.299,6.694,2503,2255,12,0
0.264,5.596,1675,842,8,0
0.305,6.612,2655,2449,24,0
0.481,7.911,9076,6693,48,0
0.257,6.235,1092,571,2,0
0.256,6.077,1040,703,2,0
0.274,6.869,1584,1253,12,0
0.257,4.429,832,502,4,0
0.283,6.549,2426,2208,14,0
0.278,6.005,1088,951,8,0
0.258,6.175,1169,502,6,0
0.296,6.439,2559,2316,28,0
0.26,4.98,1496,1057,4,0
0.287,5.145,2445,2253,13,0
0.27,6.912,1416,1473,15,0
0.273,6.358,1414,1127,18,0
0.28,6.281,2042,1811,15,0
0.266,5.986,1276,928,5,0
0.257,3.883,1320,756,1,0
0.297,8.369,2996,3433,52,0
0.265,4.979,1597,902,2,0
0.267,6.75,1595,1283,18,0
0.282,6.393,2054,1446,8,0
0.249,4.725,662,401,4,0
0.277,6.698,2114,1712,12,0
0.261,5.766,1670,1080,6,0
0.337,8.366,4227,4803,63,0
0.28,5.928,2166,1763,6,0
0.503,7.935,8494,7014,48,0
0.296,6.73,2893,1940,13,0
0.263,5.092,1774,1032,2,0
0.262,5.558,1412,866,4,0
0.335,6.494,3778,3346,32,0
0.32,6.285,3217,3351,30,0
0.284,6.713,2115,2124,16,0
0.31,7.268,2821,3015,33,0
0.27,6.357,2085,1374,10,0
0.266,5.169,1658,1362,8,0
0.296,5.369,2564,2422,18,0
0.286,7.169,1767,1639,34,0
0.261,5.181,1123,656,8,0
0.274,6.869,1584,1253,12,0
0.262,5.613,1490,750,7,0
0.252,5.853,877,563,5,0
0.274,6.314,1789,1509,10,0
0.262,5.706,1028,673,5,0
0.266,6.279,1895,1161,10,0
0.492,7.556,7862,6234,41,0
0.274,6.101,1291,1284,11,0
0.259,5.008,980,576,2,0
0.289,6.772,2740,2561,26,0
0.278,6.273,1419,1052,8,0
0.303,5.437,3411,2962,20,0
0.262,5.558,1412,866,4,0
0.263,5.491,1888,1475,5,0
0.266,6.005,2119,1428,2,0
0.486,7.537,8697,6716,43,0
0.275,6.914,1818,1833,18,0
0.272,6.123,1233,963,10,0
0.277,6.698,2114,1712,12,0
0.503,7.935,8494,7014,48,0
0.296,6.439,2559,2316,28,0
0.287,5.145,2445,2253,13,0
0.257,3.883,1320,756,1,0
0.47,8.125,10033,8050,63,0
0.256,6.118,1325,855,3,0
0.253,5.553,1125,704,3,0
0.262,5.56,1630,861,8,0
0.283,6.815,2235,1987,15,0
0.263,6.461,1201,1074,9,0
0.32,6.285,3217,3351,30,0
0.275,5.985,956,946,9,0
0.279,6.556,1748,1550,22,0
0.273,6.081,1978,1868,10,0
0.248,4.596,853,625,1,0
0.361,7.689,2392,2219,37,0
0.258,5.753,1133,730,1,0
0.26,5.521,1257,682,3,0
0.279,5.917,2165,1683,6,0
0.296,7.858,2166,2179,42,0
0.251,4.82,748,438,4,0
0.258,4.957,1090,696,0,0
0.262,5.177,1834,1524,8,0
0.257,4.917,1040,676,2,0
0.278,6.3,1524,1292,15,0
0.26,5.488,1498,1125,9,0
0.279,5.812,1560,1385,16,0
0.26,6.417,987,617,4,0
0.257,4.99,1580,1400,6,0
0.297,6.392,2589,1980,18,0
0.287,6.301,2295,1939,21,0
