pwr,cp,lut,ff,dsp,bram
0.291,6.317,2576,2297,21,0
0.291,6.771,2893,2775,24,0
0.294,6.501,2570,2468,18,0
0.294,6.501,2570,2468,18,0
0.294,6.501,2570,2468,18,0
0.3,6.33,2583,2444,18,0
0.294,6.074,2192,2069,15,0
0.292,6.043,2232,2084,15,0
0.292,6.043,2232,2084,15,0
0.298,6.193,2328,2148,15,0
0.298,6.193,2328,2148,15,0
0.295,6.674,2773,2710,24,0
0.293,6.032,2288,2022,17,0
0.296,6.666,2776,2695,26,0
0.296,6.64,2848,2739,26,0
0.296,6.64,2848,2739,26,0
0.295,6.661,2923,2712,26,0
0.295,6.687,3065,2716,26,0
0.332,6.668,3373,3522,35,0
0.296,6.666,2776,2695,26,0
0.295,6.687,3065,2716,26,0
0.291,6.472,2625,2323,21,0
0.29,6.477,2650,2278,21,0
0.308,7.381,3027,3355,33,0
0.297,6.435,2563,2282,24,0
0.321,5.896,2683,3239,22,0
0.29,5.417,2348,1965,17,0
0.322,7.548,3458,4004,48,0
0.329,7.552,3361,4109,46,0
0.304,7.06,2991,3303,33,0
0.304,7.06,2991,3303,33,0
0.301,6.69,2691,2560,30,0
0.301,7.039,3030,3317,33,0
0.302,6.495,2680,2538,26,0
0.302,6.495,2680,2538,26,0
0.299,6.536,2682,2610,24,0
0.308,6.801,2904,3222,29,0
0.338,6.549,3575,3444,32,0
0.311,6.795,3114,3126,29,0
0.285,5.229,2122,1956,13,0
0.283,5.771,1892,1689,13,0
0.284,5.717,1956,1728,13,0
0.289,5.676,1715,1548,14,0
0.294,6.392,2019,1922,21,0
0.294,5.542,1989,2087,23,0
0.282,5.476,1736,1580,14,0
0.289,5.676,1715,1548,14,0
0.282,5.476,1736,1580,14,0
0.289,5.676,1715,1548,14,0
0.293,5.452,1857,1685,14,0
0.283,5.754,1834,1623,15,0
0.289,5.644,1876,1650,15,0
0.289,5.644,1876,1650,15,0
0.285,5.634,1855,1666,15,0
0.284,5.836,1851,1640,15,0
0.283,5.754,1834,1623,15,0
0.283,5.754,1834,1623,15,0
0.281,5.787,1959,1658,13,0
0.265,4.972,1495,1404,13,0
0.292,6.788,2081,2191,27,0
0.288,6.09,2040,2113,20,0
0.293,6.4,2421,2287,29,0
0.267,5.034,1501,1414,13,0
0.266,4.971,1545,1448,13,0
0.276,4.953,1437,1436,13,0
0.284,5.716,1838,1713,13,0
0.299,6.537,2194,2233,26,0
0.276,4.953,1437,1436,13,0
0.272,4.895,1519,1410,13,0
0.272,4.895,1519,1410,13,0
0.272,4.895,1519,1410,13,0
0.27,4.84,1576,1515,11,0
0.27,4.84,1576,1515,11,0
0.276,4.953,1437,1436,13,0
0.272,4.895,1519,1410,13,0
0.276,4.953,1437,1436,13,0
0.273,5.001,1430,1472,13,0
0.272,5.154,1408,1588,13,0
0.275,5.825,1472,1478,13,0
0.287,6.471,1618,1895,23,0
0.276,5.817,1486,1644,13,0
0.273,5.802,1479,1491,11,0
0.288,6.45,1826,2060,22,0
0.271,4.943,1489,1475,11,0
0.269,4.951,1361,1454,11,0
0.285,5.891,1878,1671,11,0
0.286,5.856,1341,1337,10,0
0.269,4.951,1361,1454,11,0
0.273,5.118,1516,1444,13,0
0.271,4.943,1489,1475,11,0
0.276,4.916,1487,1488,13,0
0.286,5.503,1679,1603,12,0
0.275,4.696,1318,1320,12,0
0.287,6.15,1592,1583,17,0
0.288,5.466,1310,1327,12,0
0.291,6.24,1861,1676,21,0
0.281,4.926,1466,1450,12,0
0.278,4.983,1542,1557,13,0
0.277,5.781,1523,1548,12,0
0.301,6.508,1726,1759,22,0
