pwr,lat,cp,lut,ff,dsp,bram
0.27,313529,4.124,2833,2287,0,0
0.259,299249,5.26,1978,1962,0,0
0.26,361745,3.165,1101,979,0,0
0.273,272705,6.811,7941,7516,0,0
0.265,437553,4.556,3313,2448,0,0
0.278,450833,6.038,5842,4812,0,0
0.255,352545,4.404,1655,1154,0,0
0.268,330993,3.994,4571,3611,0,0
0.264,453961,5.776,2059,1528,0,0
0.275,395529,8.297,5362,6323,0,0
0.26,338193,3.267,1185,987,0,0
0.252,231809,6.093,1728,1271,0,0
0.266,438625,5.593,3375,3001,0,0
0.258,307553,3.738,2723,2053,0,0
0.265,239889,4.85,3862,3368,0,0
0.255,377185,3.43,1468,1174,0,0
0.285,309705,7.001,10027,8034,0,0
0.264,346561,4.014,2558,2760,0,0
0.258,286961,4.38,1235,743,0,0
0.267,334145,4.148,1839,1693,0,0
0.255,311521,4.299,1003,655,0,0
0.255,311521,4.481,1052,648,0,0
0.25,305377,3.95,724,455,0,0
0.256,342193,4.106,922,608,0,0
0.252,274753,4.559,927,519,0,0
0.258,338113,4.163,1110,801,0,0
0.26,344385,3.854,1009,828,0,0
0.259,233729,4.992,1731,894,0,0
0.254,289105,3.555,1029,752,0,0
0.253,289105,3.504,1028,752,0,0
0.25,291169,3.345,784,381,0,0
0.262,438625,4.503,2050,1817,0,0
0.25,323937,3.616,766,395,0,0
0.257,258385,3.567,1318,741,0,0
0.25,274817,3.503,854,495,0,0
0.25,274769,3.696,837,482,0,0
0.257,331041,3.7,1071,768,0,0
0.261,274865,3.383,1380,909,0,0
0.248,307521,4.508,652,314,0,0
0.248,307569,3.529,635,327,0,0
0.251,340241,3.647,772,384,0,0
0.248,274817,3.667,698,400,0,0
0.248,291153,3.637,664,323,0,0
0.248,246113,4.006,686,379,0,0
0.252,309569,3.2,831,509,0,0
0.25,262433,3.694,804,460,0,0
0.248,274721,3.559,695,382,0,0
0.248,274721,3.559,695,382,0,0
0.254,229729,3.701,1149,715,0,0
0.257,461169,3.968,1796,1613,0,0
0.25,295233,3.445,920,573,0,0
0.25,274721,4.157,875,475,0,0
0.25,274769,4.146,885,480,0,0
0.248,274769,3.765,690,387,0,0
0.251,221473,3.88,911,581,0,0
0.248,250129,3.548,752,378,0,0
0.248,250193,3.504,767,392,0,0
0.266,371057,4.942,4032,3512,0,0
0.253,268625,3.531,1346,1118,0,0
0.255,258385,3.088,1132,756,0,0
0.257,252241,3.301,1142,775,0,0
0.251,221537,4.143,990,593,0,0
0.255,258385,3.088,1132,756,0,0
0.257,266577,4.131,1202,810,0,0
0.258,362865,4.984,2764,2497,0,0
0.256,428369,4.201,1779,1590,0,0
0.248,250193,3.504,767,392,0,0
0.247,266513,3.441,728,344,0,0
0.254,299281,3.253,1095,604,0,0
0.248,266577,3.269,742,358,0,0
0.247,254225,3.594,692,327,0,0
0.247,266513,3.441,728,344,0,0
0.248,266577,3.269,742,358,0,0
0.247,266577,3.421,684,360,0,0
0.248,266577,3.269,742,358,0,0
0.248,266609,3.475,746,362,0,0
0.247,237841,3.525,714,339,0,0
0.256,210289,3.637,1943,1548,0,0
0.253,246065,3.779,1011,605,0,0
0.254,246129,3.49,1036,609,0,0
0.255,247121,3.975,1136,737,0,0
0.268,285073,6.759,5402,6494,0,0
0.247,254225,3.362,705,319,0,0
0.254,201089,3.422,1452,1083,0,0
0.249,254321,3.631,762,403,0,0
0.251,200993,4.2,1395,1029,0,0
0.249,237937,3.983,786,412,0,0
0.252,201057,3.977,1457,1082,0,0
0.249,237905,4.619,793,408,0,0
0.254,201089,3.485,1454,1086,0,0
0.248,237873,3.379,713,352,0,0
0.248,237825,4.005,705,355,0,0
0.248,237873,3.379,713,352,0,0
0.253,254225,3.796,1086,603,0,0
0.253,239953,3.756,894,554,0,0
0.252,287041,3.763,977,533,0,0
0.249,237937,4.188,784,415,0,0
0.253,254273,3.535,1089,593,0,0
0.255,240033,3.029,931,634,0,0
0.262,311745,3.489,1534,1262,0,0
