pwr,lat,cp,lut,ff,dsp,bram
0.262,525457,5.381,1700,1202,0,0
0.256,259377,3.548,1136,959,0,0
0.264,455833,4.567,1888,1493,0,0
0.257,322897,3.755,2026,1331,0,0
0.256,332961,4.739,2638,2453,0,0
0.265,492753,4.956,3435,2659,0,0
0.258,272689,4.389,2876,1783,0,0
0.271,508241,4.854,3102,2481,0,0
0.264,293185,5.648,4075,4391,0,0
0.27,473489,5.395,3109,2168,0,0
0.259,287025,3.972,1527,985,0,0
0.263,286961,3.905,1605,1163,0,0
0.259,287025,3.972,1527,985,0,0
0.262,221537,4.002,3328,3189,0,0
0.254,221537,3.911,1730,1705,0,0
0.256,259377,3.548,1136,959,0,0
0.258,233777,4.381,2362,1893,0,0
0.256,259377,3.548,1136,959,0,0
0.259,222593,3.447,1444,1056,0,0
0.259,222593,3.447,1444,1056,0,0
0.259,222593,3.447,1444,1056,0,0
0.258,271649,3.488,1228,949,0,0
0.256,250529,4.575,2102,1458,0,0
0.259,222593,3.447,1444,1056,0,0
0.254,278897,3.913,1615,1608,0,0
0.274,421217,6.337,6760,3031,0,0
0.259,222529,3.444,1337,1010,0,0
0.277,395649,4.993,5284,3540,0,0
0.259,327905,3.723,1258,1506,0,0
0.269,400625,4.45,2146,1938,0,0
0.259,222529,3.444,1337,1010,0,0
0.261,271601,3.622,1043,877,0,0
0.261,271601,3.622,1043,877,0,0
0.269,433369,5.138,1842,1308,0,0
0.259,322849,3.578,1525,1133,0,0
0.261,312545,4.18,1744,1888,0,0
0.267,466177,6.039,2139,1659,0,0
0.275,247001,4.842,5073,4493,0,0
0.257,400753,4.44,2443,2114,0,0
0.256,295201,4.109,1606,1603,0,0
0.253,369921,4.345,1402,1094,0,0
0.261,271601,3.622,1043,877,0,0
0.267,402753,4.642,2019,1836,0,0
0.258,319657,4.047,1142,729,0,0
0.257,280833,3.717,985,828,0,0
0.263,300513,4.708,3856,3263,0,0
0.308,352993,6.133,9864,9073,0,0
0.255,256369,3.947,1153,776,0,0
0.257,345425,4.23,1574,1351,0,0
0.258,274849,4.219,1355,1031,0,0
0.272,330073,4.961,3279,2771,0,0
0.258,239905,3.661,1032,874,0,0
0.258,239905,3.661,1032,874,0,0
0.258,239905,3.661,1032,874,0,0
0.254,229713,4.027,1582,1655,0,0
0.256,268577,3.722,1049,865,0,0
0.258,239905,3.661,1032,874,0,0
0.256,184641,4.818,2971,2907,0,0
0.274,333065,3.854,2327,2025,0,0
0.254,448865,4.769,1905,1687,0,0
0.255,221489,4.787,2107,2098,0,0
0.256,184641,4.818,2971,2907,0,0
0.255,221537,4.366,2611,2359,0,0
0.258,184737,4.431,2446,2406,0,0
0.258,244049,3.956,1703,1557,0,0
0.258,238913,4.033,1692,1219,0,0
0.258,236865,3.951,2352,1670,0,0
0.258,497921,4.249,1620,1505,0,0
0.256,229777,4.344,1725,1488,0,0
0.267,224577,3.889,2413,1982,0,0
0.253,292113,3.62,2115,1916,0,0
0.253,292113,3.62,2115,1916,0,0
0.259,215361,3.717,1071,792,0,0
0.259,215361,3.717,1071,792,0,0
0.259,215361,3.717,1071,792,0,0
0.259,215361,3.717,1071,792,0,0
0.259,215361,3.717,1071,792,0,0
0.259,215361,3.717,1071,792,0,0
0.258,303345,3.302,989,700,0,0
0.258,303345,3.302,989,700,0,0
0.258,303345,3.302,989,700,0,0
0.258,303345,3.302,989,700,0,0
0.258,303345,3.302,989,700,0,0
0.258,303345,3.224,935,719,0,0
0.258,303345,3.224,935,719,0,0
0.256,303393,3.11,882,704,0,0
0.276,401921,6.246,5733,4681,0,0
0.268,338161,3.691,1880,1332,0,0
0.255,336129,3.297,749,655,0,0
0.271,518705,5.683,3965,2080,0,0
0.255,370897,3.401,894,713,0,0
0.25,336177,3.882,1113,1158,0,0
0.25,336177,3.882,1113,1158,0,0
0.25,336177,3.882,1113,1158,0,0
0.251,336177,3.628,1009,1055,0,0
0.258,481553,4.835,1877,1522,0,0
0.259,309521,3.956,1239,770,0,0
0.255,303393,3.12,1199,1084,0,0
0.26,354545,4.088,1817,1297,0,0
0.258,254257,3.392,938,725,0,0
