pwr,lat,cp,lut,ff,dsp,bram
0.266,495937,4.917,2726,2232,0,0
0.271,347409,4.336,1934,1678,0,0
0.261,284913,3.371,1218,948,0,0
0.268,540905,5.445,3299,2665,0,0
0.257,354561,4.436,1628,1593,0,0
0.259,321825,3.512,1677,1717,0,0
0.263,422369,5.568,3748,3569,0,0
0.273,442641,5.314,5620,3201,0,0
0.268,340209,4.028,3042,3264,0,0
0.29,395513,5.825,8686,6994,0,0
0.258,313937,3.842,1236,928,0,0
0.258,258225,3.8,1836,1555,0,0
0.256,286929,4.557,1866,1883,0,0
0.257,367921,4.393,2236,978,0,0
0.259,316609,3.593,1447,1212,0,0
0.261,342273,4.949,2891,2454,0,0
0.256,308465,3.561,927,628,0,0
0.256,308513,3.86,939,637,0,0
0.259,348433,3.592,1143,746,0,0
0.26,356705,3.564,1437,1087,0,0
0.26,222561,4.539,2987,2404,0,0
0.254,309457,3.213,963,739,0,0
0.252,352865,3.957,1503,1034,0,0
0.256,266529,3.633,2165,2082,0,0
0.259,284913,3.475,1097,849,0,0
0.254,305393,3.44,1114,766,0,0
0.258,307409,3.612,1297,839,0,0
0.256,325841,3.462,826,716,0,0
0.256,276705,3.873,1896,1440,0,0
0.249,305489,4.13,2218,1687,0,0
0.254,364817,3.819,1249,762,0,0
0.257,325841,3.298,1164,973,0,0
0.257,284977,3.362,1019,798,0,0
0.261,409929,4.393,2565,2014,0,0
0.252,278785,3.331,933,699,0,0
0.269,350465,5.348,4529,5701,0,0
0.26,309473,3.85,1304,1116,0,0
0.267,377177,4.024,2414,2155,0,0
0.252,297153,3.921,847,776,0,0
0.263,201025,3.923,3657,3855,0,0
0.255,256177,3.397,833,659,0,0
0.256,328017,4.538,2174,2363,0,0
0.255,248017,3.47,1216,1008,0,0
0.251,280753,3.692,760,550,0,0
0.25,280753,3.499,735,542,0,0
0.245,280769,3.947,549,375,0,0
0.247,278705,3.922,489,330,0,0
0.255,215265,3.468,898,651,0,0
0.248,280753,4.129,566,472,0,0
0.245,280769,3.563,576,347,0,0
0.259,360657,4.126,1245,1095,0,0
0.245,297153,3.461,556,357,0,0
0.247,231649,3.655,591,421,0,0
0.253,297169,3.663,828,567,0,0
0.249,264433,3.597,588,402,0,0
0.247,264401,3.455,540,362,0,0
0.253,297169,3.663,828,567,0,0
0.25,188641,3.19,611,395,0,0
0.262,358641,4.178,1821,1287,0,0
0.268,310505,4.101,1667,1335,0,0
0.284,268561,6.939,8699,8461,0,0
0.253,422081,3.75,743,482,0,0
0.256,297585,3.739,1074,659,0,0
0.254,278737,4.104,687,498,0,0
0.257,495825,4.364,1204,1051,0,0
0.262,231665,3.69,1060,675,0,0
0.261,477441,4.736,2137,1746,0,0
0.257,309457,4.012,1046,738,0,0
0.257,260385,3.928,1173,713,0,0
0.253,188721,4.032,1235,1284,0,0
0.256,150833,4.138,2948,2133,0,0
0.272,458113,5.327,2805,2331,0,0
0.255,328993,4.275,1912,831,0,0
0.26,230785,4.486,3119,1638,0,0
0.261,254265,4.529,2683,3100,0,0
0.299,348865,6.934,11163,13588,0,0
0.279,437409,5.219,5609,4648,0,0
0.267,222457,3.67,1389,1092,0,0
0.279,424801,5.468,5260,5093,0,0
0.277,389329,5.679,5523,5809,0,0
0.26,325841,3.826,1152,688,0,0
0.26,251121,3.648,1255,1127,0,0
0.258,265505,4.682,1697,1313,0,0
0.254,319761,4.289,2848,2343,0,0
0.267,403641,3.89,1377,1072,0,0
0.258,284993,3.324,1138,638,0,0
0.255,201121,4.992,2366,1878,0,0
0.258,311569,3.467,1362,826,0,0
0.261,237873,3.563,1052,727,0,0
0.277,434353,6.566,4902,3792,0,0
0.25,213265,3.973,1569,1768,0,0
0.254,338161,3.333,824,534,0,0
0.256,277857,4.441,2721,2575,0,0
0.255,278817,3.561,909,583,0,0
0.271,370001,5.615,4975,3708,0,0
0.253,239921,4.73,1824,1506,0,0
0.254,331009,3.679,1027,696,0,0
0.266,404777,4.911,1668,1545,0,0
0.263,308417,3.352,1392,1004,0,0
0.26,260273,3.362,1095,806,0,0
