pwr,lat,cp,lut,ff,dsp,bram
0.274,401929,7.224,5574,5202,0,0
0.273,489729,4.469,3163,2360,0,0
0.254,255217,4.061,2624,1929,0,0
0.258,248049,3.569,1023,663,0,0
0.259,313745,3.917,1289,1027,0,0
0.257,389377,4.65,1824,1770,0,0
0.27,444689,5.765,3937,2285,0,0
0.27,446833,5.291,3087,2407,0,0
0.258,347697,5.815,7045,6375,0,0
0.252,242033,4.186,2258,1735,0,0
0.258,248049,3.569,1023,663,0,0
0.257,296193,5.06,2794,2387,0,0
0.257,231601,3.933,1012,726,0,0
0.252,256225,3.584,1073,600,0,0
0.263,260265,4.121,1909,1463,0,0
0.253,329905,3.786,831,539,0,0
0.258,245985,3.629,1432,835,0,0
0.256,276689,3.368,1139,647,0,0
0.256,260321,3.414,1093,642,0,0
0.256,305361,4.315,1109,756,0,0
0.267,540865,5.047,2283,1626,0,0
0.252,256225,3.529,1074,587,0,0
0.257,272545,4.285,1151,806,0,0
0.268,278753,4.279,3021,2242,0,0
0.252,256225,3.529,1074,587,0,0
0.256,217281,4.041,2261,1593,0,0
0.259,256265,4.436,1955,1115,0,0
0.265,338081,4.525,2929,3282,0,0
0.26,233697,4.901,2687,1636,0,0
0.278,358785,6.066,4235,3192,0,0
0.267,200961,4.675,4090,2932,0,0
0.25,272561,3.969,974,614,0,0
0.255,262497,3.614,1017,631,0,0
0.26,264385,3.697,1106,753,0,0
0.254,319681,5.057,1653,1805,0,0
0.266,299169,4.001,2733,2038,0,0
0.272,317625,5.016,3302,2781,0,0
0.257,221425,3.929,1469,1231,0,0
0.263,256321,4.796,3188,2448,0,0
0.268,442705,5.216,3477,2313,0,0
0.261,323865,4.616,1292,956,0,0
0.255,272545,4.185,1169,726,0,0
0.257,231601,3.933,1012,726,0,0
0.259,231601,4.004,975,713,0,0
0.256,295121,3.967,1141,803,0,0
0.265,355545,4.089,2042,1465,0,0
0.256,313697,4.231,2345,1245,0,0
0.267,321649,3.289,1789,1279,0,0
0.252,250097,3.913,1938,1387,0,0
0.257,229617,3.693,933,698,0,0
0.259,213217,3.77,989,801,0,0
0.255,199937,3.92,2487,1786,0,0
0.258,229617,3.645,922,711,0,0
0.256,229617,3.48,990,700,0,0
0.254,327873,3.29,1013,555,0,0
0.256,278769,3.483,1037,562,0,0
0.258,246017,3.381,1077,624,0,0
0.257,213313,3.835,1063,816,0,0
0.255,327873,3.08,1012,533,0,0
0.257,266433,3.734,2285,1595,0,0
0.256,311505,3.155,1102,579,0,0
0.254,311505,3.233,1100,596,0,0
0.262,246113,3.368,1307,719,0,0
0.257,262417,3.484,1076,559,0,0
0.257,262369,3.474,1044,549,0,0
0.256,246001,3.444,1053,531,0,0
0.257,246033,3.482,1030,616,0,0
0.254,319681,3.52,1084,586,0,0
0.252,295105,3.309,1095,592,0,0
0.259,250081,3.804,1641,1086,0,0
0.257,262369,3.474,1044,549,0,0
0.254,311489,3.219,1065,609,0,0
0.27,440561,4.224,2051,1709,0,0
0.253,327857,2.851,995,611,0,0
0.253,344241,2.909,1020,615,0,0
0.253,327889,2.934,1046,583,0,0
0.271,454993,4.195,3004,2980,0,0
0.246,311473,3.13,589,393,0,0
0.246,345329,3.647,1123,1153,0,0
0.259,452897,4.583,2091,1755,0,0
0.256,348401,3.467,788,506,0,0
0.252,281793,3.856,1942,1566,0,0
0.248,323761,3.159,668,482,0,0
0.263,388289,4.1,1578,1434,0,0
0.254,356753,4.828,2362,1882,0,0
0.255,297297,3.55,1585,1271,0,0
0.258,246033,3.357,911,624,0,0
0.256,262433,3.262,866,558,0,0
0.25,295185,3.374,963,687,0,0
0.262,215361,3.718,1118,990,0,0
0.252,276785,3.47,1274,891,0,0
0.25,323857,3.571,1007,779,0,0
0.247,270609,3.416,585,372,0,0
0.256,229681,3.405,877,548,0,0
0.249,229697,3.341,623,346,0,0
0.255,232801,4.228,2698,1822,0,0
0.257,258401,4.617,2425,1684,0,0
0.255,278817,3.772,1928,1385,0,0
0.257,299345,5.372,1455,1329,0,0
0.257,295169,3.542,1145,696,0,0
