pwr,lat,cp,lut,ff,dsp,bram
0.277,369945,4.855,4348,3878,0,0
0.285,456017,7.028,9667,10002,0,0
0.27,377377,5.245,6483,5669,0,0
0.256,199009,4.451,2773,2234,0,0
0.271,502129,4.958,2885,2374,0,0
0.259,368913,4.789,2511,1803,0,0
0.262,297281,4.04,2181,1554,0,0
0.266,291041,3.673,3148,3657,0,0
0.265,395601,4.895,1949,1527,0,0
0.252,489761,3.928,1959,1492,0,0
0.261,383361,4.13,1800,1589,0,0
0.254,289073,3.943,819,710,0,0
0.256,277713,3.883,1676,1138,0,0
0.254,250129,4.314,1728,1445,0,0
0.259,348353,4.364,3445,2943,0,0
0.265,514289,6.115,2377,1622,0,0
0.257,211249,4.138,2631,1875,0,0
0.254,291073,3.872,1658,1845,0,0
0.264,446753,4.457,1582,1368,0,0
0.27,367049,6.968,4985,4782,0,0
0.262,368993,3.889,1628,1324,0,0
0.267,553265,5.064,2078,1991,0,0
0.257,325825,4.16,1521,1138,0,0
0.255,346481,4.634,3206,3106,0,0
0.27,369089,5.311,6202,7616,0,0
0.283,523481,5.611,4395,3036,0,0
0.272,489793,5.131,2731,2188,0,0
0.276,282993,6.296,4428,4074,0,0
0.268,477505,5.538,3374,3028,0,0
0.266,216337,4.284,3156,2349,0,0
0.271,396673,5.381,4076,2913,0,0
0.258,321969,4.0,1586,1306,0,0
0.287,400785,6.346,10272,10635,0,0
0.273,383361,5.903,3251,3871,0,0
0.248,250225,5.46,2283,2022,0,0
0.268,464049,5.517,2268,1631,0,0
0.267,433329,4.83,3750,2054,0,0
0.258,233889,3.856,2121,1677,0,0
0.257,251185,4.221,2065,1558,0,0
0.261,298305,5.773,2375,2130,0,0
0.259,344265,3.992,1899,1347,0,0
0.258,451889,4.296,2493,1740,0,0
0.253,382225,4.84,3160,3201,0,0
100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
0.259,309537,4.209,2026,2285,0,0
0.267,411905,4.282,2534,2311,0,0
0.26,248177,4.571,3043,1935,0,0
0.256,227561,4.436,2385,2003,0,0
0.257,213297,3.813,1839,1405,0,0
0.285,374169,4.888,4994,4381,0,0
0.267,386321,5.133,3407,3227,0,0
0.254,330897,3.328,1043,774,0,0
0.283,450865,6.02,5612,3545,0,0
0.269,428321,4.534,2625,1928,0,0
0.278,395457,5.043,5663,5180,0,0
0.253,263489,4.286,2191,1518,0,0
0.251,278849,4.298,1805,1794,0,0
0.256,387249,4.06,954,715,0,0
0.258,256337,4.446,1366,1038,0,0
0.259,263449,4.413,1975,1684,0,0
0.258,278849,3.859,1838,1850,0,0
0.262,372977,4.041,2796,2376,0,0
0.257,232769,4.431,3094,2082,0,0
0.26,405905,4.457,2539,1883,0,0
0.264,201137,4.413,4673,4922,0,0
0.279,407841,5.024,3547,3020,0,0
0.278,459121,5.611,5224,3654,0,0
0.258,381201,3.77,1174,982,0,0
0.268,225681,4.858,2991,2814,0,0
0.271,295281,4.794,4009,4221,0,0
0.26,289137,4.353,2001,1516,0,0
0.266,397681,4.772,2678,2346,0,0
0.259,330049,4.7,2935,3131,0,0
0.255,222577,4.905,3420,3119,0,0
0.252,278961,4.65,3061,2786,0,0
0.267,399585,4.935,2543,2170,0,0
0.267,328129,4.548,2862,2572,0,0
0.272,274817,5.229,3002,3080,0,0
0.263,303441,3.921,1145,1073,0,0
0.263,207105,4.708,2799,2948,0,0
0.265,300281,3.936,1475,1053,0,0
0.254,235825,4.954,2731,2096,0,0
0.257,317713,4.108,1271,947,0,0
0.288,267745,5.698,11455,10974,0,0
0.261,383153,4.634,2878,1318,0,0
0.256,331137,4.946,2228,1670,0,0
0.26,203137,4.675,3351,3352,0,0
0.261,321825,4.253,1735,1460,0,0
0.261,561377,5.228,2496,1986,0,0
0.252,338305,4.06,1223,1120,0,0
0.269,397633,4.934,2241,2009,0,0
0.264,465137,4.494,2079,1517,0,0
0.276,377121,5.502,3061,3167,0,0
0.258,440617,4.836,1856,1770,0,0
0.265,441825,5.049,4158,2417,0,0
0.263,379153,4.079,1944,1516,0,0
0.26,297297,4.201,1759,1605,0,0
0.27,356657,4.539,2764,2046,0,0
0.262,260401,4.457,2768,1967,0,0
0.259,236865,3.841,1494,1462,0,0
