pwr,lat,cp,lut,ff,dsp,bram
0.277,369945,4.855,4348,3878,0,0
0.277,369945,4.855,4348,3878,0,0
0.268,277785,4.757,2715,2410,0,0
0.262,286985,4.049,2173,1506,0,0
0.264,305353,3.988,1926,1426,0,0
0.27,304345,4.864,1817,1981,0,0
0.263,341193,3.67,2217,1396,0,0
0.288,314601,5.629,6587,5245,0,0
0.28,380153,6.002,6160,4106,0,0
0.282,429305,5.938,6082,4297,0,0
0.288,351465,5.388,5836,4232,0,0
0.262,255273,4.479,2815,2317,0,0
0.267,292097,3.954,1902,1474,0,0
0.267,230737,3.99,3173,3262,0,0
0.263,216369,4.445,2356,1946,0,0
0.257,288001,3.686,2150,1615,0,0
0.27,308553,4.081,3671,2780,0,0
0.269,215425,5.726,6973,5598,0,0
0.273,331025,4.111,4602,3043,0,0
0.273,286977,3.586,5326,3713,0,0
0.271,352513,3.906,4819,3567,0,0
0.28,264481,5.381,5334,4695,0,0
0.283,359761,4.991,7116,3871,0,0
0.286,373073,4.762,7280,4273,0,0
0.284,391489,5.088,7997,4785,0,0
0.286,389473,4.732,6849,3955,0,0
0.274,446753,4.213,5827,3108,0,0
0.285,346369,4.941,6725,4034,0,0
0.279,337217,5.369,9332,5328,0,0
0.275,379169,4.037,6036,3133,0,0
0.297,354577,5.899,6269,4996,0,0
0.279,386345,4.89,7353,4372,0,0
0.268,364833,4.045,5214,2713,0,0
0.269,338529,5.342,4971,2773,0,0
0.272,338497,5.048,5812,3042,0,0
0.273,451801,5.535,2864,1544,0,0
0.27,481489,4.461,3517,2631,0,0
0.267,353553,4.417,5616,3096,0,0
0.267,493793,5.307,2206,1352,0,0
0.278,334401,5.426,5925,3980,0,0
0.279,342609,6.143,6829,3575,0,0
0.271,453089,5.027,4007,2110,0,0
0.307,256241,5.851,7775,7479,0,0
0.279,411889,5.327,4761,3892,0,0
0.259,346321,4.569,3198,2671,0,0
0.263,313537,5.056,4112,3754,0,0
0.264,467121,4.46,2636,2451,0,0
0.286,442513,5.392,4226,2697,0,0
0.288,461009,4.332,3748,2273,0,0
0.273,412073,5.201,5105,2841,0,0
0.273,474361,3.919,5030,2701,0,0
0.258,455905,4.15,3030,1566,0,0
0.261,512225,4.588,2064,1370,0,0
0.262,456913,4.671,2126,1446,0,0
0.266,508065,4.435,2347,1701,0,0
0.255,542897,4.557,1609,1055,0,0
0.266,286993,4.952,3697,3299,0,0
0.263,472289,4.995,2164,1640,0,0
0.269,393457,4.977,3032,2762,0,0
0.269,432433,5.654,3093,2571,0,0
0.264,387329,5.308,3779,3575,0,0
0.267,403761,5.054,3058,2063,0,0
0.267,488705,5.289,2834,2169,0,0
0.264,515329,5.127,2452,1866,0,0
0.266,403809,6.244,4117,3810,0,0
0.265,450769,4.949,2246,1409,0,0
0.261,444689,5.575,3311,2658,0,0
0.265,418097,4.916,3440,3098,0,0
0.261,354513,4.311,2867,2330,0,0
0.269,450769,5.039,3183,2548,0,0
0.265,452865,5.368,2721,2733,0,0
0.266,328129,5.732,4283,4140,0,0
0.266,456929,4.971,3579,3072,0,0
0.265,516257,4.789,2176,1932,0,0
0.271,344385,5.825,4860,4552,0,0
0.266,403825,5.48,3373,3294,0,0
0.275,430273,4.692,4164,3482,0,0
0.266,334161,5.762,4124,3840,0,0
0.266,327905,5.055,3825,4020,0,0
0.269,377105,5.808,3014,2719,0,0
0.272,395521,5.313,3233,2761,0,0
0.265,444609,4.858,2355,2205,0,0
0.26,565409,5.472,1637,1301,0,0
0.261,540897,4.61,2038,1713,0,0
0.266,379233,5.492,4240,4163,0,0
0.264,536785,4.9,2435,2122,0,0
0.277,372961,6.249,6264,5751,0,0
0.279,332145,6.116,4292,4118,0,0
0.269,485617,5.305,5004,4764,0,0
0.267,412961,5.119,3530,2819,0,0
0.265,301329,5.795,3669,3056,0,0
0.274,473361,5.46,3602,3426,0,0
0.265,467121,4.546,3107,2615,0,0
0.265,377281,5.57,3355,3238,0,0
0.258,258289,4.207,1815,1331,0,0
0.26,360609,3.595,1260,991,0,0
0.257,404721,3.749,1313,1129,0,0
0.264,389329,5.573,2103,1941,0,0
0.26,335009,3.524,1106,846,0,0
0.258,310481,3.812,1985,1720,0,0
