pwr,lat,cp,lut,ff,dsp,bram
0.397,56317,7.305,5011,2969,13,0
0.414,2558,9.5,7438,10091,106,0
0.375,2524,7.739,4117,6403,26,0
0.379,21295,7.829,9668,10674,71,0
0.431,50142,8.579,7103,5431,21,0
0.261,39521,7.607,3746,1689,5,0
0.296,228476,6.897,1348,1419,16,0
0.278,39027,7.913,3882,1690,5,0
0.305,135604,6.668,1852,2127,27,0
0.364,129923,7.688,3879,1722,13,0
0.29,65703,6.729,926,975,13,0
0.3,120043,6.866,1265,1636,24,0
0.336,134616,7.591,3580,1318,2,0
0.81,10199,9.315,19234,18615,131,0
0.287,37051,7.015,1437,1866,14,0
0.291,45943,7.052,1326,1734,23,0
0.513,20313,8.618,11851,8915,50,0
0.275,21266,6.984,5136,5698,32,0
0.326,40015,7.71,4239,1718,5,0
0.36,124736,7.531,3844,1664,8,0
0.266,34087,6.793,1319,1545,15,0
0.314,2539,7.247,4049,6774,36,0
0.314,2539,7.247,4049,6774,36,0
0.283,34087,6.825,1377,1572,15,0
0.266,34087,6.793,1319,1545,15,0
0.314,2539,7.247,4049,6774,36,0
0.365,2577,8.706,20693,15205,64,0
0.277,42485,6.906,1465,1784,17,0
0.266,34087,6.793,1319,1545,15,0
0.755,2586,8.235,14024,12562,79,0
0.285,34087,6.947,1382,1547,15,0
0.279,29147,7.142,1287,1417,12,0
0.287,139556,7.253,1022,1125,12,0
0.286,60763,7.131,834,822,10,0
0.373,2543,7.482,5120,7787,60,0
0.277,33099,6.891,1525,1798,12,0
0.273,33099,6.831,1519,1786,12,0
0.285,37051,6.943,1371,1614,14,0
0.285,37051,6.863,1463,1616,14,0
0.279,29147,7.142,1287,1417,12,0
0.277,29147,6.835,1469,2007,12,0
0.298,2526,7.496,3768,6258,30,0
0.279,29147,7.188,1347,1449,12,0
0.279,29147,7.188,1347,1449,12,0
0.285,37051,6.863,1463,1616,14,0
0.279,29147,7.188,1347,1449,12,0
0.279,29147,7.142,1287,1417,12,0
0.279,29147,7.188,1347,1449,12,0
0.279,29147,7.142,1287,1417,12,0
0.331,46931,6.885,2759,2961,20,0
0.279,29147,7.142,1287,1417,12,0
0.279,29147,7.142,1287,1417,12,0
0.279,29147,7.188,1347,1449,12,0
0.279,29147,7.188,1347,1449,12,0
0.279,29147,7.142,1287,1417,12,0
0.283,34087,6.825,1377,1572,15,0
0.279,29147,7.188,1347,1449,12,0
0.285,37051,6.943,1371,1614,14,0
0.28,34581,6.822,1294,1577,15,0
0.279,29147,7.142,1287,1417,12,0
0.284,35075,6.782,1123,1301,14,0
0.277,27665,6.646,980,1164,13,0
0.275,22231,7.336,949,1011,10,0
0.277,22231,7.112,1115,1163,10,0
0.29,65703,6.823,872,953,13,0
0.287,34581,6.871,1183,1378,14,0
0.275,31123,7.145,994,1123,11,0
0.277,27665,6.706,1010,1165,13,0
0.287,37051,6.776,1043,1260,14,0
0.275,22231,7.336,949,1011,10,0
0.277,32111,7.169,1168,1190,11,0
0.277,35569,6.786,1158,1310,14,0
0.288,37051,7.136,1051,1252,14,0
0.277,23219,7.159,1052,1171,10,0
0.279,31617,6.884,1032,1126,11,0
0.313,2529,7.19,2748,4187,26,0
0.317,2529,7.189,2668,4132,26,0
0.317,2529,7.189,2668,4132,26,0
0.275,31123,7.032,1023,1097,11,0
0.275,31123,7.204,1020,1128,11,0
0.289,65703,6.6,853,952,13,0
0.272,27171,6.51,970,1139,13,0
0.311,2529,7.111,2688,3919,26,0
0.352,2528,8.127,7587,4190,6,0
0.293,2545,7.546,3066,4705,36,0
0.37,2546,6.788,3175,5056,36,0
0.293,2545,7.546,3066,4705,36,0
0.277,36557,6.682,1001,1229,14,0
0.277,36557,6.682,1001,1229,14,0
0.286,37051,6.682,1011,1259,14,0
0.311,2529,7.008,2598,3824,26,0
0.402,2561,7.66,3574,5429,46,0
0.405,2561,7.0,3602,5371,46,0
0.316,2529,7.444,2752,4112,26,0
0.299,2544,8.692,8061,5071,16,0
0.285,2545,7.975,3095,4723,36,0
0.311,2529,7.008,2598,3824,26,0
0.311,2529,7.008,2598,3824,26,0
0.297,2545,6.977,3652,5227,36,0
0.273,42485,6.891,1372,1757,17,0
