pwr,lat,cp,lut,ff,dsp,bram
0.325,43226,7.239,4749,3007,10,0
0.663,2575,9.012,18709,19827,126,0
0.331,139803,7.323,3489,1171,4,0
0.539,2579,8.845,14824,11557,56,0
0.287,43473,7.92,2733,2699,21,0
0.325,170184,7.757,2628,2500,30,0
0.546,2582,9.516,10891,11690,81,0
0.283,238603,6.889,1313,1460,18,0
0.464,2554,7.834,6743,11047,66,0
0.326,139556,7.756,3593,1436,2,0
0.324,48166,7.508,5256,3247,12,0
0.274,43967,7.886,2753,2743,21,0
0.274,43967,7.886,2753,2743,21,0
0.274,43967,7.886,2753,2743,21,0
0.291,43473,8.273,4885,2837,10,0
0.274,43967,7.886,2753,2743,21,0
0.271,21256,7.242,2145,2756,11,0
0.306,2544,7.405,3615,5303,36,0
0.283,26196,7.024,2108,2388,14,0
0.283,26196,7.024,2108,2388,14,0
0.28,26207,6.916,2552,3406,24,0
0.277,21267,7.078,2511,3133,21,0
0.271,21256,7.242,2145,2756,11,0
0.28,26207,6.916,2552,3406,24,0
0.283,10136,8.695,6494,4963,0,0
0.271,21256,7.242,2145,2756,11,0
0.283,26196,7.024,2108,2388,14,0
0.532,10194,8.841,19818,14151,57,0
0.266,26196,6.771,2115,2872,14,0
0.283,26196,7.024,2108,2388,14,0
0.321,12611,8.42,5652,5072,7,0
0.306,2544,7.405,3615,5303,36,0
0.306,2544,7.405,3615,5303,36,0
0.306,2544,7.405,3615,5303,36,0
0.362,2564,7.979,7133,8123,76,0
0.281,213903,7.026,1032,1181,15,0
0.282,213903,6.806,1015,1265,15,0
0.29,213903,6.716,1219,1213,15,0
0.301,2529,7.335,3692,5009,26,0
0.533,12662,8.884,20295,14125,61,0
0.862,2628,8.986,34576,27586,148,0
0.283,26207,6.947,2853,3639,24,0
0.264,12607,7.725,3748,4861,13,0
0.265,12606,8.545,7091,5170,3,0
0.308,238356,7.036,1589,1817,23,0
0.335,26196,7.756,6244,3337,4,1
0.263,87933,6.97,1183,1263,15,0
0.277,82993,6.685,986,1341,15,0
0.357,43226,7.713,3935,1544,3,0
0.305,86204,6.899,1528,2067,18,0
0.555,2586,8.192,13906,13152,79,0
0.274,78053,6.927,947,1227,12,0
0.268,38533,7.051,1246,1598,15,0
0.268,38533,7.051,1246,1598,15,0
0.268,38533,7.051,1246,1598,15,0
0.268,38533,7.051,1246,1598,15,0
0.268,38533,7.051,1246,1598,15,0
0.268,38533,7.051,1246,1598,15,0
0.268,38533,7.051,1246,1598,15,0
0.268,38533,7.051,1246,1598,15,0
0.268,38533,7.051,1246,1598,15,0
0.267,33593,7.206,1227,1524,12,0
0.267,33593,7.206,1227,1524,12,0
0.289,238603,6.974,1039,1422,19,0
0.47,2564,8.461,9225,9262,67,0
0.3,20262,7.979,5408,3096,0,0
0.335,52118,7.385,4972,4785,36,0
0.274,26196,6.536,2562,2926,14,0
0.304,46437,7.132,1772,1827,17,0
0.345,55823,8.137,6805,4933,23,0
0.282,238603,6.79,1148,1253,17,0
0.448,20298,7.588,8434,8671,50,0
0.287,129923,6.944,1399,1508,23,0
0.287,21256,6.961,2433,2895,11,0
0.309,49401,7.042,2728,3354,21,0
0.328,2529,7.041,3682,4538,26,0
0.294,12623,8.028,7284,5498,23,0
0.316,124983,7.188,1807,1830,22,0
0.313,2529,7.204,3106,4129,26,0
0.313,2529,7.204,3106,4129,26,0
0.313,2529,7.204,3106,4129,26,0
0.315,2515,7.314,2879,3618,20,0
0.276,21256,7.064,2098,2516,11,0
0.276,21256,7.064,2098,2516,11,0
0.276,21256,7.064,2098,2516,11,0
0.276,21256,7.064,2098,2516,11,0
0.286,21737,7.407,3229,1209,0,0
0.564,10172,7.839,16004,16710,91,0
0.288,78053,6.934,973,1132,12,0
0.31,2515,7.247,3292,4206,20,0
0.277,43967,7.681,3854,1777,6,0
0.287,21256,6.961,2433,2895,11,0
0.287,21256,6.961,2433,2895,11,0
0.287,21256,6.961,2433,2895,11,0
0.287,21256,6.961,2433,2895,11,0
0.276,21256,7.064,2098,2516,11,0
0.276,21256,7.064,2098,2516,11,0
0.289,10141,7.714,3922,4684,11,0
0.276,21256,7.064,2098,2516,11,0
0.279,21256,7.46,2248,2820,11,0
