pwr,lat,cp,lut,ff,dsp,bram
0.501,26225,8.376,12272,9775,43,0
0.309,2595,7.481,6747,9749,48,0
0.319,2544,7.203,4188,6125,36,0
0.287,35075,6.68,1154,1237,14,0
0.327,52859,7.269,4030,2194,8,0
0.275,27171,6.829,838,1015,13,0
0.312,63974,7.561,3763,1657,5,0
0.333,61751,7.757,4741,3418,12,0
0.291,48907,7.112,2499,2895,21,0
0.579,2596,8.32,11176,11417,87,0
0.325,2532,7.875,3758,4628,30,0
0.31,2529,7.025,2670,4139,26,0
0.31,2529,7.025,2670,4139,26,0
0.279,26430,6.665,1399,1704,13,0
0.301,25936,7.166,4018,1899,3,0
0.293,55576,7.706,3936,1394,0,0
0.287,12623,7.009,4347,5812,33,0
0.279,27171,6.928,875,1045,13,0
0.302,30876,6.653,2008,2820,13,0
0.267,12607,7.566,3098,4592,13,0
0.295,43473,7.142,1232,1393,15,0
0.267,12607,7.566,3098,4592,13,0
0.276,45696,6.443,1272,1440,13,0
0.31,2529,7.025,2670,4139,26,0
0.275,27171,6.829,838,1015,13,0
0.307,44955,6.689,1656,1492,17,0
0.31,2529,7.025,2670,4139,26,0
0.299,2546,7.463,3239,5180,36,0
0.277,27171,7.019,1099,1378,13,0
0.37,2528,7.946,7362,4367,6,0
0.277,27171,7.019,1099,1378,13,0
0.275,26190,8.052,4944,2993,3,0
0.275,26190,8.052,4944,2993,3,0
0.286,26207,8.385,5509,3655,13,0
0.3,2544,7.571,4184,5496,36,0
0.302,2544,7.667,4307,5838,36,0
0.332,2529,7.25,3457,4473,26,0
0.282,26206,7.085,3139,3827,23,0
0.303,56317,7.145,4898,2965,13,0
0.333,82993,7.351,3824,1666,5,0
0.31,2529,7.025,2670,4139,26,0
0.285,30629,6.81,1413,1835,13,0
0.277,22231,6.812,999,1058,10,0
0.288,28159,7.385,3467,1926,2,0
0.281,124983,7.393,1391,1486,28,0
0.295,59775,8.243,2801,3565,21,0
0.317,233663,7.366,3529,1524,8,0
0.298,43473,7.864,2961,2800,21,0
0.302,233663,7.061,946,1067,15,0
0.446,2564,8.523,9653,10384,67,0
0.275,26677,7.192,1043,1196,10,0
0.292,30629,6.78,1365,1820,13,0
0.284,26183,6.809,1037,1326,13,0
0.275,27171,6.829,838,1015,13,0
0.281,27171,6.583,894,997,13,0
0.298,26677,7.238,3394,1218,3,0
0.281,27171,6.583,894,997,13,0
0.302,2529,7.165,2651,3547,26,0
0.309,2595,7.954,5914,8870,48,0
0.284,21243,6.741,1110,1291,10,0
0.31,2511,7.792,3401,5371,20,0
0.281,27171,6.583,894,997,13,0
0.285,26183,6.542,1142,1327,13,0
0.311,2539,7.47,3502,5531,36,0
0.308,85216,6.707,1453,2086,27,0
0.317,2524,7.527,3740,6268,26,0
0.668,2575,8.663,18842,20467,126,0
0.281,34087,6.582,1300,1664,15,0
0.317,2524,7.527,3740,6268,26,0
0.344,2523,8.0,9355,6327,6,0
0.3,12622,7.479,7188,4894,23,0
0.277,36557,6.87,1079,1203,14,0
0.3,2529,6.774,3336,4329,26,0
0.379,2528,7.654,9568,4987,6,0
0.332,44461,7.095,2543,3301,21,0
0.378,2528,7.942,7965,3591,6,0
0.277,31617,6.931,959,1280,13,0
0.272,25202,7.676,4924,2299,3,0
0.352,2540,7.462,4703,7732,46,0
0.278,34334,6.425,1562,2068,15,0
0.327,25689,7.256,3554,1543,3,0
0.281,34087,6.582,1300,1664,15,0
0.267,12607,7.566,3098,4592,13,0
0.308,2529,7.159,2738,3753,26,0
0.277,27171,6.647,1041,1194,13,0
0.358,2540,7.509,6153,9077,46,0
0.283,26183,6.922,1223,1293,13,0
0.285,26183,6.542,1142,1327,13,0
0.277,22231,7.165,839,921,10,0
0.37,2528,7.946,7362,4367,6,0
0.294,26677,7.279,3344,1214,3,0
0.533,2559,8.288,17048,18577,106,0
0.313,49895,6.978,1848,1912,18,0
0.39,2558,9.21,11609,10087,86,0
0.269,26188,8.656,6752,5417,6,0
0.309,2511,7.454,3330,4869,20,0
0.31,2511,7.789,3375,5332,20,0
0.294,36804,6.751,1408,1823,17,0
0.307,2529,6.978,2581,3997,26,0
0.285,26183,6.542,1142,1327,13,0
