pwr,lat,cp,lut,ff,dsp,bram
0.32,2530,7.743,3800,5315,30,0
0.319,228723,7.097,3664,1531,4,0
0.332,164256,7.631,2053,2544,32,0
0.555,2559,8.804,16901,20105,105,0
0.303,45943,6.804,1856,2012,17,0
0.339,81017,7.802,3510,1754,3,0
0.505,2558,10.097,15431,14286,106,0
0.659,2574,8.927,25019,21420,105,0
0.353,2510,8.578,9738,7039,0,0
0.283,45943,6.174,1068,1275,13,0
0.281,30135,6.764,1159,1158,11,0
0.281,30135,6.764,1159,1158,11,0
0.282,35569,6.729,1157,1222,14,0
0.28,42979,7.481,1437,1698,14,0
0.275,29641,6.792,1082,1091,11,0
0.303,2530,7.635,3577,5005,30,0
0.303,2530,7.635,3577,5005,30,0
0.275,29641,6.792,1082,1091,11,0
0.294,60763,6.765,808,794,10,0
0.292,36804,7.224,2120,2733,16,0
0.295,60763,6.844,751,821,10,0
0.275,26677,6.961,1011,1296,10,0
0.27,20263,7.156,1752,2472,10,0
0.342,2524,7.202,3924,6077,26,0
0.281,25689,6.941,1496,1838,10,0
0.446,20298,7.566,8393,8801,50,0
0.291,41003,6.944,1067,1058,10,0
0.316,2511,7.533,3554,5159,20,0
0.259,25203,6.976,2328,3145,13,0
0.258,20263,7.18,2201,2547,10,0
0.287,41003,7.016,804,895,10,0
0.275,29641,6.792,1082,1091,11,0
0.303,2530,7.635,3577,5005,30,0
0.274,22231,6.909,995,1027,10,0
0.292,41003,6.943,810,906,10,0
0.272,22231,6.941,986,1005,10,0
0.293,127453,7.368,1131,1391,18,0
0.282,65703,6.728,854,1009,13,0
0.268,38039,7.404,3573,1700,5,0
0.476,2549,9.356,13443,10451,40,0
0.275,43473,7.106,1907,1925,14,0
0.287,41003,6.513,1019,1079,10,0
0.271,134863,6.975,911,897,11,0
0.282,25218,6.901,2774,3350,23,0
0.307,2529,8.479,7462,5435,10,0
0.32,2543,8.489,8117,5792,16,0
0.299,45943,6.88,840,1033,13,0
0.288,60516,7.066,756,869,10,0
0.289,60763,7.319,1088,1035,10,0
0.288,124983,7.381,1420,1692,20,0
0.305,41003,7.025,1300,1528,20,0
0.285,85463,6.261,1083,1296,15,0
0.34,2511,7.573,3353,4557,20,0
0.299,45943,6.88,840,1033,13,0
0.315,45449,7.085,1100,1323,13,0
0.305,2543,8.34,7458,5354,16,0
0.262,21249,7.658,2598,3434,12,0
0.284,80523,6.781,1118,1227,12,0
0.283,65703,6.593,1049,1154,13,0
0.298,2545,7.651,3086,4823,36,0
0.297,60763,6.703,816,775,10,0
0.304,2529,7.189,3082,4110,26,0
0.305,2564,8.297,3738,5672,66,0
0.535,2577,8.435,16163,15080,84,0
0.326,2524,7.144,4202,6103,26,0
0.461,2555,8.708,11283,9438,46,0
0.323,60763,7.453,3510,1104,3,0
0.353,2528,7.899,7892,4439,6,0
0.261,34087,6.978,927,1211,12,0
0.294,80523,7.262,900,1067,12,0
0.277,31123,6.772,1023,1364,13,0
0.281,26677,6.921,1088,1404,10,0
0.288,60516,7.066,756,869,10,0
0.289,41003,6.892,808,886,10,0
0.271,20263,7.101,1773,2377,10,0
0.277,26183,6.965,951,1139,10,0
0.296,127453,7.367,1146,1335,18,0
0.275,26677,6.961,1011,1296,10,0
0.261,33593,6.894,1168,1381,12,0
0.274,29147,6.639,1043,1053,11,0
0.274,29147,6.639,1043,1053,11,0
0.275,26677,7.019,1037,1214,10,0
0.275,29641,6.792,1082,1091,11,0
0.263,33593,6.872,1127,1330,12,0
0.31,2515,7.26,2767,3629,20,0
0.276,31123,6.738,1026,1366,13,0
0.306,2530,7.736,3394,4834,30,0
0.259,42485,7.095,1293,1549,14,0
0.278,30629,6.752,1113,1139,11,0
0.303,2530,7.635,3577,5005,30,0
0.277,21737,6.924,929,932,10,0
0.276,26677,6.714,912,1034,13,0
0.318,2531,7.732,3067,4264,30,0
0.277,21737,6.924,929,932,10,0
0.313,2529,7.089,3102,4129,26,0
0.313,2529,7.089,3102,4129,26,0
0.313,2529,7.089,3102,4129,26,0
0.313,2529,7.204,3106,4129,26,0
0.277,21737,6.924,929,932,10,0
0.276,29641,6.811,984,1185,11,0
