pwr,lat,cp,lut,ff,dsp,bram
0.277,21267,7.277,2529,3007,21,0
0.561,10172,7.843,15865,16651,90,0
0.384,50883,7.398,4508,4520,29,0
0.391,2539,8.536,11459,8275,26,0
0.339,318137,7.363,3430,1621,9,0
0.32,2544,7.542,4206,5721,36,0
0.392,43226,7.754,5645,1949,3,0
0.36,54835,7.448,6910,4875,22,0
0.558,2559,8.554,18422,18413,106,0
0.278,124983,7.497,1251,1618,17,0
0.384,57552,8.322,7574,6579,21,0
0.3,45696,7.801,3571,2016,9,0
0.258,25203,7.169,2404,3082,13,0
0.389,129676,7.379,5696,2452,19,0
0.316,2544,8.425,7730,4862,16,0
0.499,2573,8.513,13924,12546,73,0
0.663,2561,9.687,17622,19868,110,0
0.309,39027,7.91,3770,1585,4,0
0.285,45449,7.04,1408,1473,15,0
0.289,21254,8.254,5156,3146,1,0
0.331,175124,6.991,2024,2570,33,0
0.332,2539,8.737,11104,7415,26,0
0.403,2527,7.732,4909,7399,40,0
0.381,171913,7.307,5581,2412,14,0
0.299,21264,7.418,4758,6123,32,0
0.308,2531,7.856,4353,5897,30,0
0.431,2563,10.992,8842,7904,56,0
0.293,46437,7.367,1821,2279,14,0
0.312,2544,7.614,3977,5925,36,0
0.304,44214,7.292,2345,1703,22,0
0.293,34581,7.719,3629,1486,4,0
0.273,42485,7.219,2143,1677,14,0
0.39,2598,9.214,7961,7815,101,0
0.311,139803,7.103,3730,1328,4,0
0.457,2541,8.095,6682,8335,60,0
0.308,41497,7.687,4847,1877,7,1
0.286,38039,7.136,2511,3620,18,0
0.259,39027,6.666,1220,1462,15,0
0.372,82993,7.333,3544,1471,5,0
0.364,38286,7.965,5499,2073,0,0
0.27,139803,7.299,994,1059,11,0
0.386,2510,8.254,8739,5772,0,0
0.356,56564,7.647,5054,4857,34,0
0.442,194143,7.867,4189,2086,14,0
0.332,315914,7.743,4559,2151,14,0
0.513,21283,8.165,16189,15437,91,0
0.449,2550,9.104,13581,10145,40,0
0.313,2544,8.324,8456,5554,16,0
0.467,2554,7.765,8642,11214,66,0
0.308,2538,8.559,7494,5545,16,0
0.286,26204,6.961,3206,3847,24,0
0.522,2580,9.251,14223,12054,56,0
0.311,77559,7.145,1487,1978,14,0
0.423,2526,8.36,10121,7134,20,0
0.35,164009,7.839,2198,2415,38,0
0.29,139556,7.198,1112,1183,12,0
0.347,2526,8.421,9338,7347,20,0
0.333,82993,7.212,3938,1583,5,0
0.294,33593,7.317,2156,2290,16,0
0.65,26223,8.548,21092,17964,124,0
0.3,2530,7.699,3711,5382,30,0
0.299,21254,7.513,3076,4751,14,0
0.332,40015,7.398,5191,1451,4,0
0.278,82993,6.478,1183,1684,16,0
0.305,44461,7.33,3864,2103,8,0
0.305,135604,7.194,2129,1989,30,0
0.696,2577,8.735,22954,20897,122,0
0.254,21254,7.403,3078,3380,11,0
0.306,2545,8.519,7738,5201,16,0
0.36,54835,7.448,6910,4875,22,0
0.347,49648,6.987,2547,3088,22,0
0.293,34581,7.719,3629,1486,4,0
0.289,21263,8.192,7702,5831,22,0
0.332,2559,8.078,4928,7328,46,0
0.326,25689,7.793,4699,3120,0,0
0.526,2580,9.429,14278,11314,56,0
0.333,312456,7.464,3669,1672,13,0
0.282,41497,7.716,4753,2985,8,0
0.311,2531,7.731,3861,5247,30,0
0.316,2544,8.425,7730,4862,16,0
0.281,213903,7.553,3104,1249,2,0
0.289,37545,6.994,2046,2202,17,0
0.394,2578,9.136,10371,10055,66,0
0.31,2544,8.662,6427,5016,16,0
0.282,30629,6.832,1375,1391,12,0
0.31,2564,8.643,4209,5875,66,0
0.283,21256,7.453,2454,2660,11,0
0.343,59775,6.405,2818,3056,26,0
0.646,2575,8.462,18376,20608,126,0
0.283,26206,7.817,4959,3031,13,0
0.515,2565,9.653,14629,12243,50,0
0.293,29147,6.955,1659,1925,12,0
0.447,166479,8.088,6718,3114,20,0
0.398,82499,7.657,6308,2390,7,0
0.309,43473,7.017,1752,1840,21,0
0.299,45943,7.448,2244,2864,19,0
0.356,166726,6.995,2360,2931,30,0
0.454,164256,7.908,6364,2754,23,0
0.355,2514,8.383,8350,4745,0,0
0.298,2544,8.426,7467,4597,16,0
