pwr,lat,cp,lut,ff,dsp,bram
0.501,26225,8.376,12272,9775,43,0
0.501,26225,8.376,12272,9775,43,0
0.501,26225,8.376,12272,9775,43,0
0.501,26225,8.376,12272,9775,43,0
0.501,26225,8.376,12272,9775,43,0
0.499,21285,8.415,12208,9581,40,0
0.499,21285,8.415,12208,9581,40,0
0.501,26225,8.376,12272,9775,43,0
0.499,21285,8.415,12208,9581,40,0
0.476,26225,8.398,12909,10152,43,0
0.462,21285,8.375,12626,10064,40,0
0.462,21285,8.375,12626,10064,40,0
0.462,21285,8.375,12626,10064,40,0
0.462,21285,8.375,12626,10064,40,0
0.462,21285,8.375,12626,10064,40,0
0.462,21285,8.375,12626,10064,40,0
0.501,26225,8.376,12272,9775,43,0
0.476,26225,8.398,12909,10152,43,0
0.476,26225,8.398,12909,10152,43,0
0.462,21285,8.375,12626,10064,40,0
0.477,26225,8.428,11815,8805,43,0
0.482,26225,8.04,10961,8782,43,0
0.482,26225,8.04,10961,8782,43,0
0.578,10171,8.589,20286,16056,80,0
0.596,12641,8.849,19209,16762,83,0
0.589,12641,8.629,19752,16357,83,0
0.589,12641,8.629,19752,16357,83,0
0.589,12641,8.629,19752,16357,83,0
0.589,12641,8.629,19752,16357,83,0
0.589,12641,8.629,19796,16407,83,0
0.501,26225,8.376,12272,9775,43,0
0.589,12641,8.629,19796,16407,83,0
0.589,12641,8.629,19796,16407,83,0
0.589,12641,8.629,19752,16357,83,0
0.589,12641,8.629,19752,16357,83,0
0.589,12641,8.629,19752,16357,83,0
0.596,12641,8.849,19209,16762,83,0
0.596,12641,8.849,19209,16762,83,0
0.482,26225,8.04,10961,8782,43,0
0.596,12641,8.849,19209,16762,83,0
0.521,26239,7.964,12865,10596,53,0
0.482,26225,8.04,10961,8782,43,0
0.596,12641,8.849,19209,16762,83,0
0.669,12657,7.856,21393,16360,103,0
0.596,12641,8.849,19209,16762,83,0
0.596,12641,8.849,19209,16762,83,0
0.596,12641,8.849,19209,16762,83,0
0.596,12641,8.849,19209,16762,83,0
0.596,12641,8.849,19209,16762,83,0
0.596,12641,8.849,19209,16762,83,0
0.596,12641,8.849,19209,16762,83,0
0.596,12641,8.849,19209,16762,83,0
0.482,26225,8.04,10961,8782,43,0
0.482,26225,8.04,10961,8782,43,0
0.596,12641,8.849,19209,16762,83,0
0.596,12641,8.849,19209,16762,83,0
0.596,12641,8.849,19209,16762,83,0
0.582,12641,8.335,19690,16991,83,0
0.584,10171,8.581,19579,16372,80,0
0.56,10171,8.673,19843,17501,80,0
0.56,10171,8.673,19843,17501,80,0
0.584,10171,8.581,19579,16372,80,0
0.584,10171,8.581,19579,16372,80,0
0.584,10171,8.581,19579,16372,80,0
0.584,10171,8.581,19579,16372,80,0
0.584,10171,8.581,19579,16372,80,0
0.56,10171,8.693,19843,17501,80,0
0.584,10171,8.581,19579,16372,80,0
0.596,12641,8.849,19209,16762,83,0
0.291,10136,8.529,5448,4702,0,0
0.291,10136,8.529,5448,4702,0,0
0.291,10136,8.529,5448,4702,0,0
0.291,10136,8.529,5448,4702,0,0
0.291,10136,8.529,5448,4702,0,0
0.289,10136,8.804,6115,5255,0,0
0.291,10136,8.529,5448,4702,0,0
0.291,10136,8.529,5448,4702,0,0
0.291,10136,8.529,5448,4702,0,0
0.296,10151,8.059,8580,6361,20,0
0.291,10136,8.529,5448,4702,0,0
0.296,10151,8.059,8580,6361,20,0
0.291,10136,8.529,5448,4702,0,0
0.311,10141,8.793,6208,5156,1,0
0.296,10151,8.059,8580,6361,20,0
0.291,10136,8.529,5448,4702,0,0
0.277,12606,8.362,6148,5002,3,0
0.291,10136,8.529,5448,4702,0,0
0.291,10136,8.529,5448,4702,0,0
0.291,10136,8.529,5448,4702,0,0
0.296,10151,8.059,8580,6361,20,0
0.3,12621,7.961,8387,6136,23,0
0.584,10171,8.581,19579,16372,80,0
0.277,12606,8.362,6148,5002,3,0
0.296,10151,8.059,8580,6361,20,0
0.296,10151,8.059,8580,6361,20,0
0.588,10171,8.482,21926,17180,99,0
0.296,10151,8.059,8580,6361,20,0
0.584,10171,8.581,19579,16372,80,0
0.291,10136,8.529,5448,4702,0,0
0.369,38286,7.596,5866,2082,0,0
