pwr,cp,lut,ff,dsp,bram
0.825,9.103,16066,14772,519,0
0.281,6.407,3279,2736,19,0
0.261,6.177,933,630,6,0
0.377,8.304,5815,9092,21,0
0.279,4.768,1825,2144,12,0
0.274,6.895,4027,5042,10,0
0.309,8.964,7706,5912,6,0
0.275,6.359,1776,1773,12,0
0.275,7.628,7178,8497,0,0
0.265,6.66,4227,1693,0,0
0.285,7.327,2567,616,9,0
0.279,6.157,3114,2261,6,0
0.273,9.8,37338,7981,0,0
0.292,6.291,9597,10207,12,0
0.286,6.983,6540,9411,22,0
0.269,5.606,1028,754,6,0
0.291,7.056,2709,809,10,0
0.303,6.963,2224,2785,40,0
0.258,4.695,650,352,9,0
0.277,6.366,1242,959,12,0
0.519,9.351,80008,13158,0,0
0.429,9.871,7603,5812,132,0
0.244,3.056,284,221,0,0
0.467,8.621,32988,7487,0,0
0.249,4.654,600,760,0,0
0.248,5.35,3360,333,0,0
0.304,6.836,3142,651,6,0
0.274,6.792,2658,936,0,0
0.253,3.867,683,935,0,0
0.244,3.59,437,325,0,0
0.244,3.023,202,191,0,0
0.244,2.708,218,156,0,0
0.298,7.465,4412,1076,8,0
0.252,3.555,818,620,0,0
0.269,6.333,914,672,12,0
0.245,2.745,320,295,0,0
0.246,3.003,242,197,0,0
0.269,6.509,955,645,12,0
0.246,2.392,226,204,0,0
0.245,3.035,200,204,0,0
0.246,2.727,223,198,0,0
0.245,2.635,197,157,0,0
0.245,2.635,197,157,0,0
100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
0.285,7.405,3039,513,8,0
0.245,2.425,207,174,0,0
0.243,1.951,123,151,0,0
0.242,2.491,175,131,0,0
0.67,9.805,30578,2899,78,0
0.244,3.493,378,305,0,0
0.324,7.846,4511,832,18,0
0.321,7.878,5174,916,16,0
0.319,8.009,6025,965,16,0
0.253,5.308,2183,3167,0,0
0.246,3.229,353,259,0,0
0.289,7.053,3329,764,8,0
0.664,8.575,30502,2714,78,0
0.29,6.958,3257,741,7,0
0.321,7.405,4489,789,18,0
0.352,7.879,5307,975,15,0
0.246,3.229,353,259,0,0
0.246,3.229,353,259,0,0
0.288,6.93,2520,660,9,0
0.243,2.275,146,176,0,0
0.243,1.951,123,151,0,0
0.286,7.147,3102,628,8,0
0.681,9.756,37835,3665,89,0
0.315,7.3,6214,2541,16,0
0.248,4.166,476,646,0,0
0.328,7.833,5864,2240,18,0
1.138,9.145,74868,6959,176,0
0.683,9.588,38924,5278,89,0
0.247,4.048,1901,2603,0,0
0.291,7.443,3213,700,8,0
1.368,9.572,80984,13316,179,0
0.271,7.433,5027,2583,0,0
0.267,6.722,1700,459,3,0
0.273,7.151,2644,1406,3,0
0.302,8.309,5507,1426,0,0
1.378,9.499,82596,15961,192,0
0.243,2.471,222,147,0,0
0.244,2.771,415,238,0,0
0.329,8.064,5305,925,12,0
0.29,6.981,2909,512,5,0
0.25,3.805,598,812,0,0
0.281,6.952,2387,520,9,0
0.28,4.851,2794,4164,0,0
0.243,3.125,268,167,0,0
0.269,6.174,1548,580,12,0
0.803,9.212,37543,3725,92,0
0.247,4.799,1466,1823,0,0
0.244,2.558,239,238,0,0
0.288,7.098,3190,666,8,0
0.679,9.877,34664,3192,107,0
0.266,7.19,502,299,22,0
0.243,2.482,224,127,0,0
0.292,7.197,3300,763,8,0
0.246,2.777,439,264,0,0
1.241,9.974,78554,12498,194,0
0.242,2.223,108,56,0,0
