pwr,cp,lut,ff,dsp,bram
0.455,8.584,9625,7069,152,0
0.682,9.912,39987,3743,102,0
0.271,5.269,2094,672,6,0
0.259,4.284,835,427,0,0
0.31,8.258,19126,9200,0,0
0.282,6.112,4067,1306,0,0
0.28,7.137,6909,1385,0,0
0.276,6.65,4470,1346,0,0
0.269,6.695,3335,1172,0,0
0.306,6.169,5374,4914,20,0
0.285,6.915,1654,1043,22,0
0.239,2.581,150,85,0,0
0.239,2.581,150,85,0,0
0.239,2.581,150,85,0,0
0.239,2.581,150,85,0,0
0.239,2.581,150,85,0,0
0.239,2.581,150,85,0,0
0.491,8.639,29463,6618,0,0
0.285,6.323,1388,1275,21,0
0.239,2.581,150,85,0,0
0.491,8.639,29463,6618,0,0
0.239,2.581,150,85,0,0
0.239,2.581,150,85,0,0
0.239,2.581,150,85,0,0
0.239,2.581,150,85,0,0
0.25,4.505,638,460,0,0
0.298,6.679,992,778,40,0
0.265,6.286,2165,766,0,0
0.279,7.016,3985,1424,0,0
0.377,7.994,3147,2193,119,0
0.241,3.265,524,170,0,0
0.239,2.581,150,85,0,0
0.239,2.581,150,85,0,0
0.239,2.581,150,85,0,0
0.271,6.978,3729,1376,0,0
0.265,6.286,2165,766,0,0
0.289,7.608,3070,567,12,0
0.363,7.673,3521,2899,83,0
0.278,6.286,3277,1190,0,0
0.358,8.2,17984,17037,0,0
0.28,6.648,7741,1552,0,0
0.239,2.581,150,85,0,0
0.239,2.581,150,85,0,0
0.239,2.581,150,85,0,0
0.276,6.763,3354,1247,0,0
0.555,9.073,79664,15823,0,0
0.303,5.713,2296,1633,43,0
0.271,5.918,3254,984,0,0
0.248,3.66,140,75,0,0
0.286,6.957,3586,579,26,0
0.31,6.361,5388,1574,5,0
0.287,6.48,1258,549,23,0
0.27,6.768,3909,2360,22,0
0.285,6.691,1706,737,24,0
0.288,6.149,1068,653,21,0
0.391,8.393,19144,3103,0,0
0.369,8.63,15212,3298,0,0
0.403,8.905,18891,2255,51,0
0.312,7.566,2554,2788,67,0
0.267,6.912,3321,816,0,0
0.366,8.542,17641,2924,0,0
0.248,3.66,140,75,0,0
0.28,4.325,4001,4878,0,0
0.239,2.166,282,82,0,0
0.283,6.805,965,464,20,0
0.543,7.777,3601,3064,238,0
0.315,6.727,1640,932,43,0
0.287,6.497,1017,778,22,0
0.239,2.166,282,82,0,0
0.279,6.456,1243,1467,21,0
0.504,9.098,3561,2050,239,0
0.239,2.166,282,82,0,0
0.315,6.727,1640,932,43,0
0.254,4.822,1606,2276,0,0
0.281,6.582,930,411,20,0
0.284,6.161,704,538,21,0
0.31,7.016,1561,973,43,0
0.248,3.422,393,304,0,0
0.504,9.098,3561,2050,239,0
0.281,6.229,721,485,21,0
0.305,7.849,3745,1101,43,0
0.239,2.166,282,82,0,0
0.278,6.798,1493,1329,21,0
0.279,6.456,1243,1467,21,0
0.305,7.849,3745,1101,43,0
0.65,8.816,6629,3314,307,0
0.277,6.914,540,492,20,0
0.308,7.544,2172,1092,43,0
0.249,3.968,494,338,0,0
0.291,6.571,1563,623,22,0
0.281,6.136,947,803,21,0
0.243,3.087,598,315,0,0
0.246,4.068,997,1248,0,0
0.342,8.974,1874,1166,94,0
0.291,5.178,6262,8121,0,0
0.308,6.629,2580,3252,43,0
0.276,6.857,757,396,22,0
0.463,8.096,3471,2689,132,0
0.301,7.397,3364,919,36,0
0.292,6.03,3031,695,0,0
