pwr,cp,lut,ff,dsp,bram
0.711,9.11,33754,8806,102,0
0.275,7.966,3147,1751,7,0
0.304,7.067,1631,1357,43,0
0.401,8.705,17619,15891,178,0
0.265,6.43,3093,1614,10,0
0.279,6.592,2350,2023,0,0
0.273,7.166,1178,937,0,0
0.291,9.242,1183,983,1,0
0.267,5.438,3989,578,18,0
0.323,7.328,8613,2198,12,0
0.276,5.451,1163,895,10,0
0.271,5.427,1287,783,10,0
0.272,5.657,932,669,10,0
100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
0.276,5.386,1101,413,10,0
0.251,3.458,626,483,0,0
0.253,3.48,628,489,0,0
100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
0.507,7.165,4111,2263,194,0
0.3,7.605,2695,741,0,0
0.251,6.308,877,81,0,0
0.272,5.518,1767,1227,11,0
0.274,4.897,1306,1016,21,0
0.331,7.877,5010,3777,102,0
100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
0.88,8.451,8289,2621,473,0
0.274,7.942,2418,213,3,0
0.343,7.017,2036,1380,95,0
0.463,8.302,4941,1653,192,0
0.261,6.042,1011,419,0,0
0.273,7.165,1645,28,2,0
0.274,6.386,1751,993,4,0
0.461,8.699,20946,2453,57,0
0.283,5.202,1296,794,22,0
0.247,3.391,644,323,0,0
0.373,8.706,13678,8224,7,0
0.342,8.444,11890,9338,6,0
0.356,9.588,11523,17410,3,0
0.395,8.905,10096,8039,6,0
0.333,8.401,8592,6808,3,0
0.301,7.672,4427,2184,7,0
0.293,8.077,5913,8947,0,0
0.267,6.701,1061,406,0,0
0.392,8.901,16164,17391,0,0
0.621,9.235,39217,8759,109,0
0.372,8.377,14465,12046,3,0
0.331,8.575,6879,5010,3,0
0.559,9.201,31755,4607,99,0
0.62,8.838,35502,7764,112,0
0.323,8.44,6390,3605,2,0
0.473,8.476,12967,3394,52,0
0.247,3.148,281,87,0,0
0.33,7.29,6106,3882,17,0
0.354,6.916,11577,8203,102,0
0.453,8.02,10485,6868,120,0
0.316,8.167,9650,3416,0,0
0.313,7.263,7105,3409,0,0
0.331,9.097,20042,3704,1,0
0.314,8.173,8884,5158,4,0
0.268,5.302,1895,752,10,0
0.505,7.41,4480,2598,195,0
0.303,5.366,1486,487,31,0
0.246,3.42,299,127,0,0
0.557,7.523,3517,2303,239,0
0.601,8.303,8102,5611,202,0
0.278,9.571,2532,1903,3,0
0.282,8.96,4127,1987,0,0
0.241,4.417,1358,953,1,0
0.238,3.088,203,62,0,0
0.235,2.825,141,39,0,0
0.245,3.725,611,324,2,0
0.248,4.084,643,359,0,0
0.228,7.373,1427,1554,1,0
0.254,4.435,578,160,0,0
100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
0.268,4.459,5585,1134,1,0
0.274,9.623,3261,2699,2,0
0.308,6.551,6070,8111,15,0
0.269,5.569,2087,1483,10,0
0.268,5.198,953,359,16,0
0.255,4.257,2179,1810,0,0
0.243,3.062,493,102,0,0
0.268,7.149,1901,777,3,0
0.299,5.683,3996,2704,10,0
0.245,3.962,1059,380,0,0
0.277,5.196,1530,598,18,0
0.246,3.27,354,201,0,0
0.266,5.059,1127,650,15,0
0.327,6.313,7551,5499,42,0
0.245,3.019,347,165,0,0
0.246,3.693,915,278,0,0
0.244,2.45,419,231,0,0
0.249,2.88,397,240,0,0
0.261,8.952,1136,89,2,0
0.249,3.507,491,283,0,0
100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
0.248,3.785,402,271,0,0
0.248,3.209,762,267,0,0
0.391,7.94,5424,4378,138,0
0.41,7.649,16317,19700,75,0
