pwr,cp,lut,ff,dsp,bram
0.288,6.528,3489,2833,0,0
0.275,6.245,2630,816,4,0
0.283,7.837,6036,9620,0,0
0.249,3.493,277,168,0,0
0.582,8.879,2558,1890,250,0
0.269,6.049,674,465,11,0
0.278,7.296,3886,3868,10,0
0.301,6.36,2460,811,3,0
0.287,8.374,13918,1247,0,0
0.275,4.858,1339,1018,10,0
0.249,3.493,277,168,0,0
0.249,3.493,277,168,0,0
0.266,6.099,1093,786,19,0
0.246,3.417,833,261,0,0
0.239,3.505,744,241,0,0
0.604,8.224,14376,13585,336,0
0.242,3.221,539,210,0,0
0.268,5.463,976,482,11,0
0.287,5.473,871,840,18,0
0.293,6.072,1544,1328,32,0
0.65,8.403,3383,3190,252,0
0.249,3.493,277,168,0,0
0.242,3.713,1119,439,0,0
0.242,3.221,539,210,0,0
0.236,1.953,106,70,0,0
0.237,2.835,512,169,0,0
0.237,2.835,512,169,0,0
0.274,6.079,1434,899,12,0
0.285,6.931,1688,1333,22,0
0.273,4.953,2139,1611,11,0
0.292,6.401,2729,1951,23,0
0.242,2.893,265,120,0,0
0.237,2.835,512,169,0,0
0.24,3.358,305,127,0,0
0.26,4.951,2098,556,11,0
0.284,8.123,3865,1537,0,0
0.24,2.871,468,133,0,0
0.288,6.067,1418,494,15,0
0.271,6.221,1684,468,0,0
0.286,6.579,3002,2596,12,0
0.24,3.358,305,127,0,0
0.242,3.257,451,232,0,0
0.241,2.355,88,98,0,0
0.42,9.732,33235,6697,0,0
0.241,3.201,42,106,0,0
0.263,6.469,1558,271,5,0
0.239,2.401,148,73,0,0
0.242,3.683,209,120,0,0
0.278,6.955,1060,584,18,0
0.241,2.762,191,136,0,0
0.312,7.385,2190,1732,54,0
0.263,6.304,985,593,5,0
0.369,7.489,4040,3842,108,0
0.263,4.973,511,373,10,0
0.283,5.944,1826,882,21,0
0.308,6.603,893,915,42,0
0.518,8.203,7152,6091,223,0
0.311,7.513,2389,1798,54,0
0.243,3.225,152,86,0,0
0.235,2.429,194,79,0,0
0.243,3.115,257,105,0,0
0.313,7.227,4394,822,26,0
0.264,6.006,1670,1161,12,0
0.268,6.416,912,467,4,0
0.364,7.916,11159,9248,43,0
0.246,3.512,506,220,0,0
0.245,3.249,408,193,0,0
0.329,7.456,5533,3807,54,0
0.276,4.893,1310,605,11,0
0.269,5.547,1019,615,11,0
0.305,5.59,1869,947,42,0
0.355,6.969,7243,5719,54,0
0.263,6.334,2106,1182,12,0
0.274,5.214,1037,602,11,0
0.269,5.899,1737,917,12,0
0.302,6.586,1397,1132,42,0
0.292,6.222,5367,2745,7,0
0.253,3.226,1023,1004,0,0
0.316,8.924,9835,3326,0,0
0.262,5.907,1504,464,0,0
0.245,3.627,188,125,0,0
0.275,6.752,3163,882,0,0
0.241,3.149,828,215,0,0
0.242,2.613,173,214,0,0
0.285,7.596,6074,1893,4,0
0.239,2.682,119,137,0,0
0.25,3.367,827,256,0,0
0.272,5.763,1846,1002,22,0
0.291,7.194,2068,1435,17,0
0.244,1.785,145,51,0,0
0.244,1.785,145,51,0,0
0.301,6.06,1937,1250,41,0
0.242,2.006,188,89,0,0
0.274,6.949,3036,503,7,0
0.25,3.725,1111,1626,0,0
0.259,5.438,373,285,11,0
0.292,7.068,1804,873,38,0
0.27,5.76,1932,803,11,0
0.274,6.919,2987,750,1,0
0.249,3.468,900,374,0,0
