pwr,cp,lut,ff,dsp,bram
0.298,6.299,1966,763,21,0
0.335,6.989,6337,5281,7,0
0.317,9.096,16909,5146,0,0
0.371,8.414,16897,3156,0,0
0.283,7.007,978,575,21,0
0.273,6.352,981,466,21,0
0.304,7.828,6648,5736,10,0
0.269,7.026,2181,1961,10,0
0.31,6.9,6701,8010,20,0
0.41,8.666,16997,16674,16,0
0.292,7.472,3538,1069,8,0
0.279,6.457,1355,650,12,0
0.544,9.878,24423,20938,0,0
0.67,8.926,44755,5683,92,0
0.281,6.327,1232,752,23,0
0.673,10.524,37061,2851,105,0
0.282,6.661,1330,1249,21,0
0.243,3.113,447,209,0,0
0.291,7.862,5405,4943,20,0
0.307,7.286,6032,1082,8,0
0.276,6.615,3947,4593,10,0
0.296,6.631,5559,2926,6,0
0.3,6.156,4395,3244,11,0
0.296,7.9,5828,2126,0,0
0.265,6.811,1575,366,4,0
0.264,5.383,487,295,10,0
0.28,6.201,952,622,11,0
0.271,5.047,2320,1367,5,0
0.416,9.527,39976,7106,0,0
0.315,7.108,7683,8837,4,0
0.273,6.142,3686,1511,0,0
0.301,6.636,2139,1373,22,0
0.302,6.572,4623,6417,15,0
0.417,8.002,12296,12302,0,0
0.294,7.353,4478,2154,6,0
0.571,9.864,32809,5687,101,0
0.267,6.992,3069,1445,0,0
0.289,6.726,5627,1660,0,0
0.267,4.922,592,395,10,0
0.244,2.83,136,73,0,0
0.304,9.399,9090,11686,0,0
0.374,9.177,39661,6257,0,0
0.279,6.665,1139,579,18,0
0.307,7.31,3897,5354,20,0
0.279,6.643,3696,2736,11,0
0.286,7.104,6033,1093,0,0
0.278,7.414,2911,1185,7,0
0.273,6.366,1379,1033,11,0
0.291,7.229,2054,654,8,0
0.285,6.821,3536,897,7,0
0.263,5.94,1690,423,0,0
0.831,10.203,11269,13970,512,0
0.305,7.32,6117,1142,10,0
0.369,8.093,5936,4965,159,0
0.279,6.58,6155,1639,0,0
0.275,5.026,1499,1063,10,0
0.308,8.437,6932,3306,2,0
0.267,6.002,1647,542,0,0
0.282,6.35,1486,871,11,0
0.521,8.991,15920,7915,67,0
1.002,8.562,6732,4784,526,0
0.276,6.512,1389,801,11,0
0.283,5.071,1989,1275,11,0
0.413,8.041,4196,4002,153,0
0.267,7.317,2331,249,9,0
0.272,4.875,661,437,10,0
0.281,7.007,1231,525,18,0
0.258,5.938,1712,405,0,0
0.273,7.46,3957,2584,9,0
0.291,6.819,6178,5522,12,0
0.272,5.023,2074,1304,11,0
0.308,5.562,3942,3159,9,0
0.278,6.698,2833,2425,0,0
0.299,6.299,2328,629,7,0
0.293,7.765,4216,4422,0,0
0.263,6.973,1738,655,0,0
0.287,5.44,889,766,21,0
0.268,6.505,655,397,12,0
0.307,7.227,5760,2998,16,0
0.277,6.78,1723,1597,4,0
0.284,6.94,2556,487,12,0
0.271,6.514,1258,679,11,0
0.269,6.836,2069,2442,23,0
0.286,6.732,2800,2153,4,0
0.278,6.415,2278,2159,0,0
0.269,5.111,514,424,10,0
0.268,7.337,2877,867,0,0
0.27,6.625,1597,1226,3,0
0.285,5.837,2195,1244,19,0
0.317,8.574,11867,2199,0,0
0.342,7.845,12367,10141,3,0
0.309,6.818,7096,1505,0,0
0.281,7.612,2157,602,7,0
0.284,8.124,2038,1060,34,0
0.32,7.759,8316,8741,6,0
0.256,6.047,3369,1538,0,0
0.305,7.552,6331,8830,11,0
0.353,7.735,14856,19562,10,0
0.383,7.653,14829,10270,22,0
0.288,5.986,1433,1197,20,0
