pwr,cp,lut,ff,dsp,bram
0.281,6.026,1619,626,0,0
0.281,6.026,1619,626,0,0
0.279,6.636,1853,950,0,0
0.276,6.224,1689,768,3,0
0.272,7.085,2109,566,0,0
0.281,6.45,1357,575,0,0
0.278,6.278,1862,668,0,0
0.277,6.517,1470,698,0,0
0.273,6.122,1822,520,3,0
0.275,6.587,1513,523,3,0
0.262,6.687,1371,641,0,0
0.268,6.312,1979,970,0,0
0.344,8.832,12819,10545,0,0
0.267,6.833,1940,547,0,0
0.276,6.886,4177,4814,0,0
0.278,6.841,2531,1229,0,0
0.267,6.433,1819,805,0,0
0.344,7.273,22123,15571,0,0
0.275,6.277,2362,590,3,0
0.32,6.832,12658,7659,2,0
0.287,6.01,3007,801,3,0
0.525,9.074,61983,19115,57,0
0.279,7.131,2845,1139,7,0
0.292,6.723,2682,1526,8,0
0.298,8.337,6037,9010,6,0
0.306,8.335,6234,8966,7,0
0.284,6.841,3528,1189,7,0
0.296,8.328,5860,3719,8,0
0.293,6.545,3386,1442,7,0
0.264,6.117,2022,1109,0,0
0.352,7.774,10439,9060,2,0
0.27,6.312,2518,2006,3,0
0.363,8.503,9896,8638,6,0
0.27,6.483,2033,891,4,0
0.31,8.395,5870,3522,2,0
0.27,6.861,2019,494,4,0
0.277,6.966,3151,861,9,0
0.276,6.908,4272,674,6,0
0.274,7.148,2705,1049,8,0
0.337,8.33,7646,5484,3,0
0.267,7.989,2949,954,8,0
0.266,6.796,1315,313,4,0
0.275,6.646,3417,674,8,0
0.271,6.574,1830,404,4,0
0.264,6.703,1328,318,4,0
0.273,6.865,2468,324,8,0
0.266,6.936,1357,320,4,0
0.256,6.714,1467,460,0,0
0.265,6.592,1901,867,0,0
0.259,6.611,1461,486,0,0
0.285,7.846,3256,1642,2,0
0.283,7.251,2290,1244,0,0
0.267,6.778,2938,724,0,0
0.266,6.566,2978,649,0,0
0.266,7.194,3695,645,2,0
0.28,7.306,2525,1270,0,0
0.287,7.27,2580,1248,0,0
0.259,6.608,1696,389,0,0
0.261,6.714,3617,629,2,0
0.254,6.472,1433,373,0,0
0.264,7.025,2524,963,0,0
0.282,7.463,3897,1639,0,0
0.256,6.755,1284,497,0,0
0.252,6.634,1461,515,0,0
0.296,7.331,3269,1658,0,0
0.26,6.752,1565,557,0,0
0.269,6.007,1892,791,0,0
0.268,6.819,3562,1072,2,0
0.261,7.349,2940,605,2,0
0.27,6.873,3508,1175,0,0
0.268,7.074,2891,641,0,0
0.257,6.705,1539,389,0,0
0.27,6.62,3556,1198,0,0
0.264,7.267,2314,1135,0,0
0.264,7.057,3166,1172,0,0
0.281,6.878,2700,1494,0,0
0.293,7.762,3620,1488,1,0
0.275,6.856,2999,599,1,0
0.269,6.68,3658,1103,2,0
0.286,7.392,3858,1501,0,0
0.283,7.47,3637,1628,0,0
0.263,6.613,1853,454,0,0
0.264,6.561,2812,741,0,0
0.284,7.371,3350,1696,0,0
0.284,7.22,2525,1265,0,0
0.266,6.861,3592,1095,0,0
0.263,6.741,2928,687,0,0
0.27,6.196,2386,755,0,0
0.268,6.492,3547,941,2,0
0.27,6.196,2386,755,0,0
0.268,6.634,1998,858,0,0
0.281,7.345,3505,1845,0,0
0.253,6.493,1490,454,0,0
0.276,6.183,2278,710,0,0
0.261,7.033,3511,609,2,0
0.261,6.635,2964,697,0,0
0.26,5.98,1292,480,0,0
0.271,6.288,3372,1079,0,0
0.312,7.574,7900,4315,0,0
0.269,7.662,2356,346,8,0
