pwr,lat,cp,lut,ff,dsp,bram
0.482,752108,9.029,16609,14408,6,64
0.784,6576224,9.485,24791,22011,10,64
0.477,1265363,7.328,5697,5107,15,64
0.503,700119,9.812,49003,44446,12,64
0.682,157526,9.518,47926,41773,26,64
0.376,866122,7.016,3356,2571,4,64
0.452,7126880,9.076,14983,13267,11,64
0.622,6660030,9.412,30918,34586,9,64
0.408,7732747,7.023,3558,2725,12,64
0.617,668526,9.831,47666,43584,4,60
0.472,753002,8.95,15043,13958,6,64
0.48,7696473,9.572,15986,16381,3,64
0.514,414594,9.438,29416,22331,15,64
0.479,364253,9.714,40362,42281,17,64
0.828,152650,9.334,48423,34245,30,128
0.476,693629,9.468,30024,30883,6,64
0.438,1152869,7.285,4920,4032,6,64
0.477,7727559,9.366,17265,19675,4,64
0.624,844504,9.426,28782,32306,73,64
0.46,884631,7.843,6286,5100,41,64
0.37,6915401,6.791,2651,2192,4,64
0.425,6552334,7.305,2933,2345,5,64
0.391,7081494,7.153,2821,2407,10,64
0.561,873797,9.47,24991,25655,10,64
0.396,853143,7.352,5494,4420,16,64
0.425,6979619,6.982,2777,2149,4,64
0.449,834141,7.38,5056,4785,34,64
0.391,830175,7.416,4460,3754,4,64
0.452,579948,8.978,24885,22065,7,64
0.426,875157,7.013,3345,2633,4,64
0.372,7004240,6.798,2795,2315,5,64
0.388,8126497,7.153,3043,2695,9,64
0.393,7064410,6.922,2561,1993,5,64
0.386,866210,6.833,3741,2995,4,64
0.382,883914,7.37,3453,2841,7,64
0.391,879477,7.224,4169,3354,7,64
0.503,6889622,7.727,5911,5523,73,64
0.429,972853,7.225,3872,3010,7,64
0.429,882165,8.898,14646,14069,4,64
0.412,963989,7.243,3637,2908,8,64
0.461,824576,8.764,15914,15035,6,64
0.404,6835338,7.109,2539,2148,3,64
0.385,826090,7.348,3937,2993,4,64
0.409,843743,7.122,4050,3188,7,64
0.851,101100,9.909,31132,28823,3,384
0.71,688233,9.277,15654,15637,11,64
0.408,892821,7.5,3682,2866,7,64
1.008,241203,9.502,24016,22557,3,192
0.406,8134154,6.963,2617,2194,5,64
0.42,814243,6.958,3562,2898,8,64
0.417,867619,7.111,3594,2697,6,64
0.419,867651,7.26,3386,2623,6,64
0.379,911702,7.402,3722,2906,8,64
0.378,883914,7.705,3405,2829,7,64
0.394,8071911,7.016,3435,2977,11,64
0.402,8125237,7.29,3109,2711,8,64
0.367,892682,6.983,3681,2931,7,64
1.096,158460,9.249,26090,27750,27,256
0.434,1117100,8.016,5051,4670,9,64
0.605,751391,9.818,25668,26098,12,64
0.402,854831,7.21,3401,2587,3,64
0.409,6897022,7.223,2757,2038,8,64
0.388,794901,7.18,3847,2872,3,64
0.381,794762,7.487,3708,2809,3,64
0.396,796483,7.564,3443,2642,5,64
0.432,892807,7.837,4361,3457,11,64
0.389,794953,7.149,3373,2561,3,64
0.402,854862,7.002,3233,2434,3,64
0.447,1067778,8.019,5922,5448,6,64
0.541,416841,9.823,32646,31304,11,64
0.379,892681,7.773,3623,2897,7,64
0.378,892698,7.64,4142,3353,11,64
0.401,854862,7.413,3175,2449,3,64
0.379,855100,7.203,3444,2747,3,64
0.397,799412,7.183,4731,3650,7,64
0.372,799123,7.384,3925,3312,3,64
0.432,810536,6.968,4659,3558,3,64
0.398,854723,7.267,3110,2512,3,64
0.4,854638,6.912,3279,2592,3,64
0.423,892666,7.127,4451,3490,11,64
0.475,307247,9.231,20025,19686,5,64
0.472,307247,8.85,18664,15623,5,64
0.446,307247,9.326,19154,15817,5,64
0.418,6736008,7.424,3434,3334,15,64
0.497,367062,9.448,18976,15735,12,64
0.432,6629577,7.769,4796,4160,15,64
0.392,1177130,7.408,4041,3987,7,64
0.391,7003905,7.842,4037,3748,14,64
0.386,6913487,7.39,2560,2157,3,64
0.389,6895247,6.945,2496,2225,3,64
0.416,7131024,7.338,3901,3422,18,64
0.379,6836907,6.742,3092,2662,12,64
0.417,1075678,7.597,5292,5638,9,64
0.366,794780,7.821,4052,3265,3,64
0.444,1088521,7.134,3839,3296,3,64
0.422,1088469,7.651,4235,3668,3,64
0.389,794953,7.301,3350,2558,3,64
0.389,794953,7.301,3350,2558,3,64
0.389,794953,7.301,3350,2558,3,64
0.406,1070729,7.156,3814,3368,3,64
