pwr,lat,cp,lut,ff,dsp,bram
0.52,704558,9.002,25250,19902,17,64
0.602,686347,9.515,39377,39554,7,65
0.664,704613,10.133,46151,56339,16,63
0.477,6887656,9.206,15255,13401,32,64
0.427,1136391,7.427,5097,4177,12,64
0.369,835981,7.26,3773,3246,8,64
0.62,692075,9.594,26318,29371,4,64
0.541,695392,9.485,33048,30824,15,64
0.688,695285,9.837,52082,52915,17,64
0.358,6619740,7.515,3306,2535,3,64
0.371,834976,7.101,3881,3250,6,64
0.371,834976,7.101,3881,3250,6,64
0.371,834976,7.101,3881,3250,6,64
0.401,850246,7.904,4723,4639,33,64
0.371,834976,7.101,3881,3250,6,64
0.373,836398,7.289,3878,3263,8,64
0.402,845969,7.761,4069,4414,34,65
0.398,7694797,7.243,3559,2825,5,64
0.412,6619825,7.29,2858,2703,3,64
0.496,6605141,9.215,28703,28695,6,64
0.408,6629130,7.473,3080,2494,4,64
0.402,864028,7.298,3661,2931,3,64
0.347,7752011,6.79,2892,2088,5,64
0.397,7752011,6.72,2885,2125,5,64
0.397,7752011,6.72,2885,2125,5,64
0.347,7752011,6.79,2892,2088,5,64
0.352,7749648,6.658,2515,2070,4,64
0.352,7749648,6.658,2515,2070,4,64
0.637,682711,9.909,48984,49197,6,64
0.47,364051,9.178,26626,18323,12,64
0.381,890608,6.922,3115,2538,7,64
0.422,905878,7.607,3934,4101,33,64
0.554,643948,9.555,39202,34701,9,64
0.508,699826,9.311,40321,38571,44,64
0.38,885885,7.223,3809,3538,6,64
0.439,793695,8.621,15685,14291,6,64
0.665,699480,9.23,50338,50784,51,64
0.425,863574,7.356,4388,3630,6,64
0.578,693092,9.665,33469,26616,8,64
0.413,960907,7.23,3815,2984,11,64
0.553,359491,9.458,44527,31803,13,64
0.361,836120,7.276,3788,3277,8,64
0.361,836120,7.276,3788,3277,8,64
0.361,836120,7.276,3788,3277,8,64
0.361,836120,7.276,3788,3277,8,64
0.405,896617,7.305,3185,2552,12,64
0.366,830223,7.098,3864,3744,6,64
0.561,770561,9.539,27482,25477,6,64
0.394,894642,7.109,3977,3687,6,64
0.661,152761,9.283,50121,36351,27,64
0.398,897174,7.073,3654,3078,8,64
0.395,901728,7.1,3397,2726,8,64
0.378,816659,7.596,3983,3585,6,64
0.403,1050146,7.237,3530,3025,15,64
0.513,6614248,8.984,25761,21423,6,64
0.538,693034,9.721,22728,21133,6,64
0.375,961359,6.807,3208,2661,7,64
0.361,834954,6.982,3425,2972,7,64
0.386,798941,7.288,4419,4372,3,65
0.386,798941,7.288,4419,4372,3,65
0.525,810923,9.009,27377,24315,6,64
0.369,834954,6.979,3663,3173,6,64
0.364,7675838,7.309,2885,2382,3,64
0.455,301240,8.973,20068,14926,12,64
0.371,817162,7.087,3680,3076,3,64
0.436,7696530,9.281,16661,17403,3,65
0.502,301100,8.891,19443,14530,15,128
0.369,817002,7.033,4100,3662,4,64
0.369,834954,6.973,3664,3173,6,64
0.435,7696562,8.888,14834,15334,3,65
0.461,300966,8.753,19943,15025,12,64
0.379,794729,6.929,3732,3153,4,64
0.372,7749091,6.67,2614,2096,4,64
0.369,812714,6.903,3114,2702,7,64
0.372,890415,6.964,2858,2362,7,64
0.372,890415,6.964,2858,2362,7,64
0.372,890415,6.964,2858,2362,7,64
0.388,7749231,6.647,2419,1858,4,64
0.372,890415,6.964,2858,2362,7,64
0.369,812714,6.903,3114,2702,7,64
0.388,7749231,6.647,2419,1858,4,64
0.382,890415,6.89,3198,2440,7,64
0.382,890793,7.153,3778,2774,7,64
0.377,6613264,7.47,2904,2570,5,64
0.377,830506,6.731,3256,2722,7,64
0.697,153071,9.305,47237,34359,30,128
0.377,830366,6.665,3364,2806,7,64
0.596,348761,9.739,47227,42905,10,64
0.388,7786960,6.805,2931,2540,7,64
0.391,920286,6.781,3747,3294,10,64
0.392,776937,6.608,4887,4293,9,64
0.384,830345,6.903,4962,4611,6,64
0.384,830345,6.903,4962,4611,6,64
0.394,781277,6.995,5559,5169,9,64
0.394,781417,6.817,5439,5182,9,64
0.822,92006,8.885,50745,42817,55,192
0.56,167500,9.162,42713,31714,27,64
0.567,167500,9.331,42574,32106,27,64
0.529,687872,9.563,27161,27403,6,64
0.52,163161,9.131,38400,28723,24,64
