pwr,lat,cp,lut,ff,dsp,bram
0.658,749221,9.247,53639,52393,14,63
0.425,1232604,7.431,4915,4325,6,63
0.706,629101,9.835,59207,62549,44,64
0.482,699995,9.396,15871,16094,10,64
0.482,688934,9.252,16865,16311,6,65
0.629,152490,9.228,53293,40958,27,64
0.498,844618,9.474,21351,26727,73,64
0.605,695769,9.964,37937,38792,19,64
0.614,710740,9.763,30834,38434,17,65
0.494,701907,9.525,14955,14919,9,64
0.553,6673492,9.197,28013,27868,11,64
0.431,956448,7.197,3391,3487,8,64
0.406,960864,7.023,3313,3004,7,64
0.38,892337,7.067,3511,3071,7,63
0.453,7980923,9.305,15824,14962,7,64
0.412,7955932,6.972,2796,2393,3,64
0.398,960896,6.988,3558,3120,7,64
0.359,7810816,7.213,3644,2602,4,64
0.403,898592,6.842,3061,2828,6,64
0.434,828507,8.867,15090,13560,6,63
0.424,1104225,8.898,13735,11895,6,64
0.384,8042251,6.814,2233,2098,3,64
0.432,828539,9.158,14908,14520,6,63
0.444,810608,8.964,14578,12041,6,63
0.408,7757440,6.758,3008,2095,3,63
0.365,892692,6.942,3035,2986,8,64
0.38,794698,6.953,3591,3169,7,64
0.39,825834,6.975,3897,3689,8,64
0.442,793173,9.08,13952,11876,6,64
0.392,825834,6.979,4040,3724,8,64
0.386,794646,6.94,4094,3602,7,64
0.368,7760049,6.479,3584,2847,7,64
0.375,901233,6.776,3291,3126,7,63
0.387,999239,6.574,3356,2937,10,64
0.384,999679,6.545,3097,2806,10,64
0.394,991439,7.354,4222,3464,15,64
0.411,6855043,6.827,2990,2383,5,64
0.406,891850,7.29,3223,2545,15,64
0.367,8135393,6.918,2885,2509,8,64
0.391,929127,6.988,4219,3511,16,64
0.4,1150772,7.261,4577,4338,10,64
0.419,1067627,6.906,3645,2694,15,64
0.478,774640,8.624,16068,13538,13,64
0.443,669565,9.326,26768,17093,9,64
0.406,1128342,8.486,4627,5509,49,64
0.47,774672,9.009,15993,14101,13,64
0.432,1268506,7.117,3791,3218,14,66
0.379,8035964,6.838,2733,2354,4,64
0.4,1266281,7.535,3481,3309,10,64
0.379,812274,7.062,3408,2891,6,64
0.393,1106897,7.379,4008,3445,12,64
0.432,696182,9.452,23940,16147,7,64
0.428,700955,8.812,15085,11298,7,64
0.38,901123,6.81,4082,4152,8,64
0.369,816721,7.316,3277,3281,6,64
0.383,812222,7.403,3731,3341,6,64
0.365,871429,7.447,3439,3526,4,64
0.361,8104631,7.057,2540,2318,4,64
0.399,996847,6.969,3299,2698,14,64
0.394,887268,7.459,3438,3104,8,64
0.394,952075,7.068,3449,3095,7,64
0.388,7973642,6.658,3389,2914,6,64
0.45,8025542,8.596,13136,9810,7,64
0.445,810963,9.1,14631,13403,6,64
0.391,847889,7.127,4425,4162,8,64
0.405,7956146,6.837,3349,2857,6,64
0.362,8015638,7.048,2975,2703,6,64
0.375,812241,7.095,3558,3189,7,64
0.383,795285,6.929,3520,3150,7,64
0.383,812522,6.685,3617,3130,6,64
0.395,880971,6.757,3289,2891,3,64
0.604,628376,9.218,43975,43562,13,64
0.479,864569,9.043,21341,15936,7,64
0.491,702610,9.346,23909,29501,6,64
0.445,1158196,9.28,16025,13777,8,64
0.395,894549,7.035,2726,2449,6,64
0.516,360835,8.596,19371,13825,15,128
0.391,894804,7.138,3069,2580,6,64
0.402,894665,7.301,3106,2933,6,64
0.38,830282,6.811,3667,2999,7,64
0.385,899171,6.807,2819,2257,7,64
0.408,997038,6.985,3061,2277,14,64
0.386,8042659,6.632,1851,1386,3,64
0.386,8042691,6.646,1757,1324,3,64
0.392,999679,6.684,3499,2839,10,64
0.375,7973692,6.822,2108,1798,3,64
0.401,7991924,7.003,2865,2364,4,64
0.403,1246255,7.238,3507,3124,7,64
0.456,649991,8.71,13979,9526,6,64
0.455,374245,8.741,19187,16100,12,64
0.397,900872,7.293,3477,2739,9,64
0.408,1068206,6.788,3079,2310,14,64
0.391,990204,6.918,3502,3152,10,65
0.375,836444,6.671,3204,3126,6,63
0.377,830065,6.588,3192,2739,6,64
0.403,872291,7.315,3380,3070,6,64
0.438,296321,8.703,18241,13022,12,64
0.467,296320,8.7,19204,16711,12,64
0.399,880907,7.227,3358,3094,6,64
0.378,812381,7.108,3596,3132,7,64
