pwr,lat,cp,lut,ff,dsp,bram
0.732,152387,9.617,56014,48897,29,64
0.431,829477,9.21,17579,20013,6,64
0.462,1115027,9.26,17409,17723,9,65
0.496,6931792,9.119,20259,15408,13,64
0.435,772708,8.959,16744,16058,10,64
0.623,674901,9.634,44124,36094,4,65
0.385,1309381,7.521,3986,3450,13,64
0.498,688888,9.177,14495,16557,11,64
0.537,7725612,9.37,27352,27039,3,63
0.538,758503,9.292,16543,19032,18,64
0.576,768260,9.287,28060,27497,10,65
0.385,1309381,7.521,3986,3450,13,64
0.384,1211525,7.606,4162,3457,12,64
0.38,1150211,7.211,4394,4174,5,64
0.371,1154551,7.46,4465,4902,4,64
0.389,874493,7.071,3946,3715,4,64
0.403,911144,7.539,4305,4099,12,64
0.501,971526,9.542,23519,21334,5,64
0.389,7129877,7.207,3926,4313,16,64
0.404,896636,7.49,5096,4625,11,64
0.387,1085045,7.49,5030,4450,10,63
0.4,976700,7.307,3935,4458,11,64
0.405,939476,7.173,3378,2785,5,64
0.397,878693,6.937,4794,4352,4,64
0.399,964939,7.183,4804,4258,14,64
0.385,6854208,6.86,3906,3753,13,64
0.406,939476,7.013,3580,2749,5,64
0.403,930655,7.509,3456,2816,5,64
0.42,903892,7.372,3835,3318,5,64
0.475,734466,9.438,15897,11354,4,64
0.557,677619,10.068,34488,30081,4,64
0.395,879049,7.216,4831,4543,8,64
0.408,939036,7.033,3872,3575,4,64
0.364,896646,7.061,3723,3351,7,64
0.425,1127789,8.188,5858,5918,33,64
0.393,862420,7.159,5104,4362,8,64
0.425,890960,9.298,13884,12676,8,64
0.395,861062,6.952,4683,3947,7,64
0.457,945200,7.217,4728,4283,13,65
0.442,828460,9.323,15239,14820,8,64
0.407,871147,7.069,4074,3428,14,64
0.389,861062,6.979,4326,4029,7,64
0.384,829926,7.125,4575,3952,6,63
0.444,7950366,9.03,15423,14475,4,63
0.513,167599,9.617,36722,26799,3,64
0.539,167600,9.882,39299,28448,3,64
0.701,173875,9.1,70196,51605,23,64
0.64,161905,9.648,51111,38611,3,64
0.471,7958917,8.966,17189,18859,6,64
0.495,218404,9.186,35900,27382,6,64
0.432,871205,7.282,5641,4438,9,64
0.405,7906181,6.936,3404,2608,13,65
0.425,899010,7.154,3780,3426,15,63
0.458,703951,9.308,27247,24451,8,64
0.375,1356202,7.517,4027,3843,13,64
0.413,888863,7.289,3264,2929,15,64
0.36,1280753,7.662,4457,4889,10,63
0.437,1312700,7.741,4666,4300,6,64
0.389,1067242,7.751,5325,4554,10,64
0.423,897401,7.424,4680,4389,13,64
0.427,1215810,7.519,4018,3445,13,64
0.416,889105,7.494,5326,5114,9,65
0.43,1305116,7.649,4306,4072,9,64
0.397,964797,6.769,4329,3793,9,64
0.374,813663,6.692,3247,2867,5,64
0.376,813663,6.851,3339,2861,5,64
0.392,795204,7.233,3997,3246,10,64
0.394,795204,7.235,4374,3691,10,64
0.37,796311,7.183,3264,2847,5,64
0.376,814103,7.054,3293,2807,5,64
0.488,162922,9.352,23699,19996,6,64
0.485,162922,9.329,23807,20001,6,64
0.38,813821,7.183,3645,3257,5,64
0.513,698185,9.457,23441,27914,8,64
0.377,812292,7.176,3639,3179,3,64
0.386,814296,6.844,3398,2975,6,64
0.45,671273,8.82,15487,12692,5,64
0.378,813605,7.324,3637,3561,8,64
0.38,1089879,7.483,3777,3144,5,64
0.374,796311,7.134,3225,2838,5,64
0.458,689338,9.274,15718,13087,8,64
0.508,747513,9.15,16888,14553,10,64
0.514,864134,9.28,25050,20657,3,64
0.408,927333,7.486,2960,3227,12,64
0.398,6914871,7.34,3115,2940,5,64
0.561,669744,9.354,28146,21885,3,64
0.512,164729,8.823,27336,24559,27,64
0.407,8126218,6.843,2767,2734,8,64
0.387,7684743,6.997,2824,2446,3,64
0.565,1104467,9.183,26669,28443,12,63
0.443,689725,9.387,17390,13105,9,64
0.414,7776296,6.971,3560,2972,4,64
0.568,345239,9.819,45005,29820,12,64
0.529,1101885,9.37,26991,23127,13,64
0.925,232012,8.396,38917,43177,33,270
0.669,374839,9.45,47487,36342,43,64
0.404,896394,7.478,4650,4231,15,64
0.426,6902249,7.133,4438,3483,6,64
0.378,858498,7.087,3786,3581,9,64
0.398,1134146,7.355,4530,4413,9,64
