pwr,lat,cp,lut,ff,dsp,bram
0.658,749221,9.247,53639,52393,14,63
0.425,1232604,7.431,4915,4325,6,63
0.706,629101,9.835,59207,62549,44,64
0.482,699995,9.396,15871,16094,10,64
0.482,688934,9.252,16865,16311,6,65
0.629,152490,9.228,53293,40958,27,64
0.498,844618,9.474,21351,26727,73,64
0.605,695769,9.964,37937,38792,19,64
0.614,710740,9.763,30834,38434,17,65
0.494,701907,9.525,14955,14919,9,64
0.443,7696916,8.823,14881,12981,6,64
0.548,7730151,8.998,24359,21538,30,63
0.615,301216,9.756,51107,52089,16,128
0.512,296486,9.304,26824,21371,3,64
0.503,753704,9.279,14885,12427,12,64
0.523,1059173,9.324,29834,29325,12,64
0.725,152832,9.151,56363,47890,29,64
0.393,820130,7.914,5634,5047,10,63
0.494,650331,8.992,17780,18020,8,65
0.593,743658,9.378,27426,29389,14,64
0.65,696214,9.937,54365,60706,6,64
0.455,989080,8.611,15873,13627,10,64
0.547,630388,9.156,26206,18841,13,64
0.659,744413,9.506,44575,35303,4,65
0.482,687398,9.326,28268,22263,8,64
0.421,810659,9.171,13506,11391,6,64
0.479,6851827,9.016,20579,23269,3,65
0.543,799153,9.566,26003,23703,12,64
0.442,706539,9.462,28098,27895,11,65
0.433,1139544,7.704,6050,5344,14,64
0.48,8095831,8.054,4043,4136,50,64
0.418,1254969,7.6,4509,3595,11,63
0.5,8021164,9.236,18293,16137,43,65
0.465,1104193,9.117,17551,17941,56,65
0.624,688410,9.82,35882,38125,9,64
0.436,751983,8.718,12855,11591,6,64
0.465,844339,9.15,17093,15602,51,64
0.612,694856,8.453,27256,29254,19,64
0.457,847629,8.524,7040,7259,48,64
0.39,7977894,7.18,3230,3017,4,64
0.545,1344889,9.345,25846,23770,12,64
0.497,6897156,9.208,16351,16317,30,63
0.688,698072,9.593,52919,56561,37,63
0.415,6571127,7.253,4129,3785,11,65
0.464,660624,9.642,26522,17623,6,64
0.454,8026647,7.231,4284,3764,13,63
0.424,1104257,9.298,15256,11434,6,64
0.568,637521,8.624,37780,26992,21,64
0.505,766180,9.844,18151,23550,12,64
0.867,90260,9.362,68837,69950,8,64
0.447,1264856,8.679,16010,14043,10,64
0.735,152833,9.088,39786,37205,30,256
0.605,682306,9.536,48543,41383,37,61
0.413,898001,7.376,3920,3631,13,64
0.572,643968,9.041,27356,29347,14,64
0.484,6593448,8.823,17291,14556,4,64
0.778,748429,9.577,61966,71661,48,63
0.569,693820,9.522,26142,27760,17,64
0.44,7695257,7.105,4985,5017,9,65
0.565,649143,9.445,26527,25918,12,64
0.441,810627,9.106,13750,11502,6,64
0.846,691421,9.816,80214,86064,9,64
0.43,7688159,8.612,13052,10937,6,64
0.483,687398,9.216,28586,22277,8,64
0.771,152744,8.997,47354,50630,28,256
0.672,682192,9.583,48229,40881,6,61
0.384,999068,7.27,3732,3261,9,64
0.472,763710,8.847,16921,17690,5,65
0.56,7975758,9.502,26681,23898,15,64
0.723,678089,10.027,51802,56401,5,60
0.736,624984,9.305,73764,72078,50,64
0.543,688862,9.536,28421,23976,6,64
0.422,8016912,9.201,13747,10096,8,64
0.927,625175,10.031,70571,73453,58,63
0.494,753794,9.092,15428,10895,12,64
0.499,303804,9.646,28483,27310,4,64
0.607,359697,9.151,62416,53749,51,64
0.53,811394,9.162,25826,26501,6,63
0.452,8012164,8.667,14085,13170,7,64
0.581,682450,9.703,32672,23360,6,64
0.403,6909903,7.266,3239,2707,12,64
0.394,1112286,7.485,5735,5977,13,64
0.502,702101,9.826,17936,23675,8,64
0.557,594401,9.701,44756,38073,12,64
0.396,7740950,7.55,4280,4117,11,64
0.67,152607,9.254,53953,43167,8,128
0.394,8022735,6.978,3625,3310,7,64
0.484,706839,9.784,28856,28337,11,65
0.422,778514,6.921,5160,4810,16,64
0.505,7998842,9.262,22807,19232,5,64
0.516,704440,9.028,28225,29940,55,64
0.376,1003580,7.146,3448,3158,8,64
0.574,698340,9.125,29756,28502,11,64
0.453,761271,8.781,14136,12196,17,64
0.481,300670,9.087,18317,18276,13,64
0.448,8003662,9.017,13286,9556,6,64
0.739,691357,9.743,74609,84338,6,63
0.453,821955,9.613,17980,18388,48,65
0.599,686391,9.595,45829,34017,12,64
0.466,8035783,8.056,3975,4148,46,63
