pwr,lat,cp,lut,ff,dsp,bram
0.658,749221,9.247,53639,52393,14,63
0.697,725692,9.626,52671,52513,41,65
0.697,725692,9.626,52671,52513,41,65
0.673,749221,9.195,53105,53144,16,64
0.578,758011,9.524,28118,28153,16,64
0.578,758152,9.539,27958,28138,16,64
0.476,365540,8.782,28711,19999,13,64
0.481,365532,8.84,27699,17812,12,64
0.501,356712,8.84,27986,18198,12,64
0.525,218857,9.2,34827,25466,27,64
0.723,236165,9.17,57709,44722,24,64
0.605,761391,9.402,28531,28120,6,64
0.486,366666,8.939,27295,19046,22,64
0.475,366519,8.956,26571,17609,21,64
0.492,432389,9.165,28589,26882,23,64
0.52,432249,8.553,29109,27543,24,65
0.525,432249,8.681,29203,28192,24,64
0.581,766831,9.393,28680,28806,16,64
0.478,365469,8.76,28363,19970,13,64
0.478,365469,8.76,28363,19970,13,64
0.539,227610,8.908,36905,26889,31,64
0.534,224321,9.103,34128,24978,36,64
0.557,224322,8.82,36403,27281,36,64
0.469,365432,8.979,26492,17632,12,64
0.473,365432,8.957,26851,17349,12,64
0.469,365432,8.979,26492,17632,12,64
0.473,365432,8.957,26851,17349,12,64
0.484,366490,9.174,26237,17360,21,64
0.457,365532,8.687,24960,15836,15,64
0.499,227676,8.89,34084,24417,27,64
0.458,365461,8.768,25316,15837,15,64
0.458,365461,8.768,25316,15837,15,64
0.48,360991,8.751,26101,17225,16,64
0.474,360991,8.611,26370,17249,16,64
0.474,360991,8.611,26370,17249,16,64
0.474,360991,8.611,26370,17249,16,64
0.474,360991,8.611,26370,17249,16,64
0.469,360991,8.66,26361,17216,16,64
0.472,360991,8.826,26063,17000,13,64
0.518,223169,8.86,35747,25566,27,64
0.479,362043,8.822,24965,16081,24,64
0.511,224187,8.91,33915,24747,36,64
0.503,224187,9.132,33945,24805,36,64
0.512,223129,9.041,34237,24744,27,64
0.503,224187,9.132,33945,24805,36,64
0.512,223129,9.041,34237,24744,27,64
0.481,362043,8.919,28075,18031,21,64
0.508,223129,9.002,34458,24940,27,64
0.506,224186,9.012,37603,27752,36,64
0.479,362043,8.917,28033,18241,21,64
0.514,223127,8.864,37296,26148,24,64
0.521,218647,8.93,39077,29883,27,64
0.505,224186,8.827,38032,27754,36,64
0.532,224192,8.76,38756,30151,39,64
0.447,420545,8.999,26973,22082,21,64
0.501,420545,9.195,27317,22136,21,64
0.569,219706,8.745,40583,30726,36,64
0.78,230298,9.283,72227,52769,33,64
0.646,232676,9.023,62787,49191,34,64
0.569,219706,8.745,40583,30726,36,64
0.723,232676,8.901,68215,48528,33,64
0.561,219706,8.753,38976,30257,36,64
0.552,219705,8.51,38618,29587,36,64
0.556,219705,8.5,39840,29568,36,63
0.552,219705,8.51,38618,29587,36,64
0.551,219583,8.835,38573,29907,36,64
0.516,219705,8.554,39451,29574,36,64
0.739,217061,8.734,69453,52594,33,64
0.785,218322,8.727,72823,51459,29,128
0.731,225882,8.646,67956,52289,33,64
0.433,416172,9.086,25995,20570,21,64
0.509,400450,9.088,29839,23636,21,64
0.795,217921,8.787,71071,51932,33,128
0.526,211285,8.685,36592,29040,33,64
0.726,226097,8.888,70818,51902,30,64
0.461,399044,9.18,29839,23008,13,64
0.516,219705,8.554,39451,29574,36,64
0.546,220075,8.707,39218,27375,33,128
0.546,220075,8.707,39218,27375,33,128
0.548,211318,8.668,39985,27704,33,128
0.47,412125,9.108,28231,20968,18,64
0.713,233013,9.078,64791,48031,30,64
0.436,416573,9.166,25034,18959,18,64
0.781,227079,8.733,66541,50813,29,128
0.781,227079,8.733,66541,50813,29,128
0.782,218322,8.804,71390,51143,29,128
0.429,414765,9.289,24871,19319,12,64
0.546,354928,8.984,46191,28915,13,64
0.428,414765,8.907,21044,13402,12,64
0.428,414765,8.907,21044,13402,12,64
0.428,414644,9.325,26767,19425,12,64
0.458,351815,8.588,25282,16263,15,64
0.458,351815,8.588,25282,16263,15,64
0.485,294828,8.925,34324,22945,15,64
0.427,419092,9.076,22826,13908,13,64
0.458,351815,8.588,25282,16263,15,64
0.536,209510,8.681,38758,28331,27,128
0.472,356263,8.744,24434,16183,15,64
0.472,356263,8.744,24434,16183,15,64
0.464,300663,8.837,25197,16820,15,64
